
[00:00:00.000 --> 00:00:04.560]  摩西在舊約聖經《新命紀》八章八節那裡說
[00:00:04.560 --> 00:00:12.400]  「那地有小麥、大麥、葡萄樹、無花果樹、石榴樹、橄欖樹、和麥」
[00:00:12.400 --> 00:00:15.200]  當摩西告訴那些百姓知道
[00:00:15.200 --> 00:00:18.000]  神賜給他們的地是很豐富的時候
[00:00:18.000 --> 00:00:20.800]  他講了這一節的聖經
[00:00:20.800 --> 00:00:22.800]  從這節聖經我們可以看見
[00:00:22.800 --> 00:00:25.800]  聖地裡面的物產是多麼豐富
[00:00:25.800 --> 00:00:28.400]  而且有很多樣性的植物
[00:00:28.400 --> 00:00:31.400]  有些植物對我們來說可能很陌生
[00:00:31.400 --> 00:00:33.800]  比如對於什麼叫做香柏樹
[00:00:33.800 --> 00:00:35.000]  什麼叫做造甲木
[00:00:35.000 --> 00:00:37.000]  可能我們不太知道
[00:00:37.000 --> 00:00:39.800]  但是有些植物對我們來說也是很熟悉的
[00:00:39.800 --> 00:00:43.000]  比如小麥、大麥、葡萄樹
[00:00:43.000 --> 00:00:45.000]  或者無花果樹
[00:00:45.000 --> 00:00:47.200]  葡萄樹可以說是聖經裡面
[00:00:47.200 --> 00:00:50.800]  在舊約裡面常常提到的一種植物
[00:00:50.800 --> 00:00:55.200]  由以色列人派探子去窺探迦南全地
[00:00:55.200 --> 00:00:58.600]  探子要有兩個人抬著一吋的葡萄枝
[00:00:58.600 --> 00:01:00.000]  回去匯報
[00:01:00.000 --> 00:01:03.800]  我們就看見當時葡萄在整個聖地
[00:01:03.800 --> 00:01:06.600]  都是一個很熟悉的植物
[00:01:06.600 --> 00:01:09.000]  到了以色列王阿哈的時候
[00:01:09.000 --> 00:01:11.400]  他為了得拿白的葡萄園
[00:01:11.400 --> 00:01:13.200]  他作惡殺死了拿白
[00:01:13.200 --> 00:01:16.400]  我們又看見葡萄這種植物的出現
[00:01:16.400 --> 00:01:18.800]  而耶穌基督在一樣福音裡面提到
[00:01:18.800 --> 00:01:20.800]  「我是真葡萄樹」
[00:01:20.800 --> 00:01:23.000]  而由這個比喻裡面
[00:01:23.000 --> 00:01:26.200]  我們看見葡萄樹可以說是整個聖經
[00:01:26.200 --> 00:01:29.200]  新舊約裡面常見的一種植物
[00:01:29.200 --> 00:01:30.800]  今天我講到的題目是
[00:01:30.800 --> 00:01:34.000]  「我是」系列的第七「我是真葡萄樹」
[00:01:34.000 --> 00:01:36.200]  也是耶穌基督在一樣福音裡面
[00:01:36.200 --> 00:01:37.600]  七次提到「我是」
[00:01:37.600 --> 00:01:41.000]  最後所提到的「我是」
