
[00:00:00.000 --> 00:00:04.140]  好,弟兄姊妹,讓我們先聽神的話,讓我們先同心同道
[00:00:04.140 --> 00:00:07.860]  聽什麼樣,我們聽神的話,先同心同道
[00:00:07.860 --> 00:00:11.520]  差父神,多謝你
[00:00:11.520 --> 00:00:14.240]  讓我們仍然有生命,有氣息
[00:00:14.240 --> 00:00:18.520]  讓我們能夠可以再踏在地上
[00:00:18.520 --> 00:00:22.240]  活在今天的生命,生活當中
[00:00:22.240 --> 00:00:25.720]  並且能夠享受聆聽主理的說話
[00:00:25.720 --> 00:00:28.640]  感謝主理,賜我們一切
[00:00:29.560 --> 00:00:30.960]  我們帶著感恩的心
[00:00:30.960 --> 00:00:34.760]  去學習跟從主理的步伐
[00:00:34.760 --> 00:00:37.920]  求你打開我們的心思、意念
[00:00:37.920 --> 00:00:40.800]  讓我們能夠準確將你的道理
[00:00:40.800 --> 00:00:44.000]  藏在我們每一個人的生命當中
[00:00:44.000 --> 00:00:46.560]  活在每一天的生活裡面
[00:00:46.560 --> 00:00:48.760]  差天父,感謝你
[00:00:48.760 --> 00:00:51.160]  讓我們再次有生命氣息
[00:00:51.160 --> 00:00:55.360]  使我們能夠再次能夠站在地上面
[00:00:55.360 --> 00:00:57.640]  活在這個世界的當中
[00:00:58.160 --> 00:01:00.720]  依然有這個生命氣息來到
[00:01:00.720 --> 00:01:03.800]  聆聽主理的說話,我們先聲感謝
[00:01:03.800 --> 00:01:09.440]  很求你,許給我們一顆明白主道的心
[00:01:09.440 --> 00:01:12.120]  許我們能夠把你的道理
[00:01:12.120 --> 00:01:14.320]  記載在我們的靈裡面
[00:01:14.320 --> 00:01:16.800]  也活在我們生活的當中
[00:01:16.800 --> 00:01:18.760]  求你與我們同在
[00:01:18.760 --> 00:01:20.960]  開我們心扉
[00:01:20.960 --> 00:01:24.760]  學習怎麼樣隨著你走人生的道路
[00:01:24.760 --> 00:01:27.840]  我們禱告奉主耶穌的名稱
[00:01:27.840 --> 00:01:28.840]  阿彌陀佛
[00:01:28.840 --> 00:01:32.960]  我很喜歡逛街
[00:01:32.960 --> 00:01:34.640]  我很喜歡逛街
[00:01:34.640 --> 00:01:35.640]  你喜歡逛街
[00:01:35.640 --> 00:01:36.920]  你喜不喜歡逛街
[00:01:36.920 --> 00:01:38.920]  我很喜歡逛一家時裝店
[00:01:38.920 --> 00:01:41.280]  我也有去過一家時裝店
[00:01:41.280 --> 00:01:42.720]  逛那家時裝店
