
[00:00:00.000 --> 00:00:02.400]  我們繼續的使命下半部
[00:00:02.400 --> 00:00:04.000]  我們奉派
[00:00:04.000 --> 00:00:05.600]  上個禮拜陳寶雪說了甚麼
[00:00:05.600 --> 00:00:07.800]  以聖潔守護家庭
[00:00:07.800 --> 00:00:09.000]  今天會說甚麼
[00:00:09.000 --> 00:00:12.400]  以仁愛關懷疾苦
[00:00:12.400 --> 00:00:14.000]  以仁愛關懷疾苦
[00:00:14.000 --> 00:00:16.800]  我們從頭開始背起
[00:00:16.800 --> 00:00:18.800]  我們蒙召
[00:00:18.800 --> 00:00:21.800]  歡欣
[00:00:21.800 --> 00:00:24.200]  喜愛
[00:00:24.200 --> 00:00:26.400]  樂意
[00:00:26.400 --> 00:00:28.800]  勇於
[00:00:28.800 --> 00:00:30.600]  我們奉派
[00:00:30.600 --> 00:00:33.600]  以聖潔
[00:00:33.600 --> 00:00:36.800]  以仁愛
[00:00:36.800 --> 00:00:38.000]  接著下面那兩句
[00:00:38.000 --> 00:00:40.000]  就等下面兩個講完說了
[00:00:40.000 --> 00:00:41.000]  最後另外兩個
[00:00:41.000 --> 00:00:43.000]  以真理更新文化
[00:00:43.000 --> 00:00:45.800]  以謙卑力行公義
[00:00:45.800 --> 00:00:48.600]  在這世代祝福萬民
[00:00:48.600 --> 00:00:50.400]  今天我們說
[00:00:50.400 --> 00:00:53.200]  以仁愛關懷疾苦
[00:00:53.200 --> 00:00:54.600]  使命的上半部
[00:00:54.600 --> 00:00:58.200]  說我們蒙召成為一個甚麼的人
[00:00:58.200 --> 00:00:59.800]  使命的下半部
[00:00:59.800 --> 00:01:04.600]  是說在這個今時今日香港的社會
[00:01:04.600 --> 00:01:06.400]  在2013年
[00:01:06.400 --> 00:01:08.800]  面對香港的時代
[00:01:08.800 --> 00:01:12.200]  我們可以怎樣祝福萬民
[00:01:12.200 --> 00:01:14.400]  是說我們整個群體
[00:01:14.400 --> 00:01:16.200]  使命不是只給你一個
[00:01:16.200 --> 00:01:19.600]  是給豐盛家
[00:01:19.600 --> 00:01:21.800]  教會的群體是甚麼
[00:01:21.800 --> 00:01:24.200]  甚麼是教會的群體
[00:01:24.200 --> 00:01:25.200]  主的群體
[00:01:25.200 --> 00:01:28.200]  跟隨主的群體
[00:01:28.200 --> 00:01:30.200]  如果不是跟隨主的群體
[00:01:30.200 --> 00:01:31.600]  不可以叫做教會
[00:01:31.600 --> 00:01:35.400]  雖然它可能用教會兩個字作為名稱
[00:01:35.400 --> 00:01:37.600]  為了跟隨主的群體
[00:01:37.600 --> 00:01:39.800]  是教會的群體
[00:01:39.800 --> 00:01:41.000]  所以跟隨主的群體
[00:01:41.000 --> 00:01:43.400]  就是參加入
[00:01:43.400 --> 00:01:48.200]  歷世歷代追隨主的腳步的一個群體
[00:01:48.200 --> 00:01:54.000]  以主耶穌基督為教會的主的一個群體
[00:01:54.000 --> 00:01:56.400]  所以當我們思想我們今天
[00:01:56.400 --> 00:01:59.000]  在2013年在香港我們能夠做些甚麼的時候
[00:01:59.000 --> 00:02:03.200]  我們不能不回到聖經去看
[00:02:03.200 --> 00:02:05.600]  主耶穌
[00:02:05.600 --> 00:02:07.800]  如果追隨你的腳步
[00:02:07.800 --> 00:02:11.200]  你是怎樣的
[00:02:11.200 --> 00:02:15.200]  你昔日在聖經的時代
[00:02:15.200 --> 00:02:17.200]  你做了些甚麼
[00:02:17.200 --> 00:02:19.600]  以至今日我們知道
[00:02:19.600 --> 00:02:22.800]  我們可以做些甚麼
[00:02:22.800 --> 00:02:24.000]  回到聖經的時候
[00:02:24.000 --> 00:02:25.800]  耶穌是甚麼
[00:02:25.800 --> 00:02:28.600]  讓回第一章十四節
[00:02:28.600 --> 00:02:30.800]  道成了肉身住在我們中間
[00:02:30.800 --> 00:02:32.400]  所以我們說主耶穌是甚麼
[00:02:32.400 --> 00:02:34.800]  道成肉身
[00:02:34.800 --> 00:02:36.800]  充充滿滿的有恩典有真理
[00:02:36.800 --> 00:02:38.600]  我們也見過祂的榮光
[00:02:38.600 --> 00:02:40.800]  正是附讀生智的榮光
[00:02:40.800 --> 00:02:47.400]  耶穌就是上帝最大的啟示
[00:02:47.400 --> 00:02:49.000]  當我們說到上帝的啟示
[00:02:49.000 --> 00:02:50.200]  上到默示的時候
[00:02:50.200 --> 00:02:53.000]  我們不能不提聖經對嗎
[00:02:53.000 --> 00:02:54.800]  但我們不要忘記
[00:02:54.800 --> 00:02:56.800]  最大的啟示
