
[00:00:00.000 --> 00:00:04.040]  當我去到外地有機會主講陪寧會
[00:00:04.040 --> 00:00:07.280]  完了之後都會有一些恩福的人走出來
[00:00:07.280 --> 00:00:10.200]  來跟我去聊天
[00:00:10.200 --> 00:00:13.840]  也有試過有幾次有人跟我說
[00:00:13.840 --> 00:00:17.560]  我在恩福十幾年都沒辦法和牧師喫一餐飯
[00:00:17.560 --> 00:00:19.040]  你們是不是啊?
[00:00:19.040 --> 00:00:22.000]  有多少人沒和我喫過飯的?有沒有舉手啊?
[00:00:22.000 --> 00:00:25.320]  百分之九十九啦,我想起碼都是啦
[00:00:25.320 --> 00:00:26.560]  很正常啦
[00:00:26.560 --> 00:00:29.560]  一萬人要喫多少餐呢?大家知道啊
[00:00:30.000 --> 00:00:31.760]  但是去到外國呢
[00:00:31.760 --> 00:00:34.040]  他們說他很想和我喫飯
[00:00:34.040 --> 00:00:36.040]  講完之後,的確是的
[00:00:36.040 --> 00:00:38.640]  與其和那邊教會的長者喫飯
[00:00:38.640 --> 00:00:40.640]  不如和自己的會友喫吧
[00:00:40.640 --> 00:00:41.880]  這樣我就有機會
[00:00:41.880 --> 00:00:43.680]  我說不如這樣吧
[00:00:43.680 --> 00:00:45.440]  聚在一起吧
[00:00:45.440 --> 00:00:47.760]  所以他們就有機會和我喫飯
[00:00:47.760 --> 00:00:51.480]  有幾次喫完飯之後
[00:00:51.480 --> 00:00:54.440]  有些頂智媒體就向我討真情
[00:00:54.440 --> 00:00:57.000]  他說牧師
[00:00:57.000 --> 00:00:59.840]  我請你餵我
[00:01:00.000 --> 00:01:02.000]  的婚姻在這裏討告
[00:01:02.000 --> 00:01:05.720]  他說我要和你道歉
[00:01:05.720 --> 00:01:08.520]  我在八年前
[00:01:08.520 --> 00:01:10.520]  我沒聽你的勸導
[00:01:10.520 --> 00:01:13.800]  我就問他什麼事
[00:01:13.800 --> 00:01:18.360]  然後他就說
[00:01:18.360 --> 00:01:20.880]  最近他的婚姻出了變化
[00:01:20.880 --> 00:01:23.600]  老公
[00:01:23.600 --> 00:01:25.600]  有了第三者
[00:01:28.160 --> 00:01:30.160]  我開始
[00:01:30.160 --> 00:01:31.680]  記得
[00:01:31.680 --> 00:01:33.680]  八年前當他們
[00:01:33.680 --> 00:01:36.160]  這個太太和子女
[00:01:36.160 --> 00:01:38.520]  要移民去加拿大的時候
[00:01:38.520 --> 00:01:43.360]  告訴我老公會留在香港繼續工作
[00:01:43.360 --> 00:01:47.040]  因爲那份收入
[00:01:47.040 --> 00:01:50.320]  纔可以維持他們的生活
[00:01:50.320 --> 00:01:53.840]  我當時才勸他們
[00:01:53.840 --> 00:01:56.520]  我說從一個牧者的立場
[00:01:57.240 --> 00:01:59.240]  我是絕對不贊成
[00:01:59.240 --> 00:02:02.040]  你們這樣的安排
[00:02:02.040 --> 00:02:06.040]  要移民就一起移
[00:02:06.040 --> 00:02:09.160]  不移民就一起留
[00:02:09.160 --> 00:02:13.320]  因爲當你是帶着子女移民
[00:02:13.320 --> 00:02:15.320]  留下丈夫在這裏的時間
[00:02:15.320 --> 00:02:18.760]  其實真的給了撒旦留機會
[00:02:18.760 --> 00:02:21.680]  而對子女也不好
[00:02:21.680 --> 00:02:23.680]  我分析
[00:02:23.680 --> 00:02:25.280]  當小朋友小的時候
[00:02:25.280 --> 00:02:27.080]  他們最需要爹地
[00:02:27.080 --> 00:02:29.080]  爹地不在身邊
[00:02:29.080 --> 00:02:31.080]  當太太最需要丈夫
[00:02:31.080 --> 00:02:33.920]  丈夫不在身邊
[00:02:33.920 --> 00:02:36.320]  而丈夫需要你的時候
