
[00:00:00.000 --> 00:00:02.320]  在商界裡有一句話
[00:00:02.320 --> 00:00:04.400]  是這麼說的
[00:00:04.400 --> 00:00:06.680]  創業難
[00:00:06.680 --> 00:00:09.040]  接著還有一句,知道嗎?
[00:00:09.040 --> 00:00:10.520]  首頁困難
[00:00:10.520 --> 00:00:13.160]  所以有一張powerpoint會提醒我們
[00:00:13.160 --> 00:00:14.880]  如果你去過這些餐廳
[00:00:14.880 --> 00:00:20.400]  大嘟落、嘟快活、美嘟嘟、乜乜興的時候
[00:00:20.400 --> 00:00:23.840]  你如果有上下年紀
[00:00:23.840 --> 00:00:25.840]  你發覺這幾間餐廳
[00:00:25.840 --> 00:00:27.320]  在這十年裡
[00:00:27.320 --> 00:00:30.720]  他們的logo、品牌、裝修
[00:00:30.720 --> 00:00:32.160]  都不斷地換
[00:00:32.160 --> 00:00:33.120]  知道為什麼嗎?
[00:00:33.120 --> 00:00:34.560]  因為競爭是大的
[00:00:34.560 --> 00:00:37.080]  如果他們不競爭、不更換的時候
[00:00:37.080 --> 00:00:40.240]  員工不繼續培訓就很容易被淘汰
[00:00:40.240 --> 00:00:42.240]  所以在這個情況
[00:00:42.240 --> 00:00:43.760]  同樣在我們當中
[00:00:43.760 --> 00:00:45.320]  今天想藉著聖經裡
[00:00:45.320 --> 00:00:46.760]  《馬福音》裡
[00:00:46.760 --> 00:00:49.880]  我們看到門徒知道耶穌被釘
[00:00:49.880 --> 00:00:51.600]  在《馬福音》十六章
[00:00:51.600 --> 00:00:52.600]  今天想跟大家說
[00:00:52.600 --> 00:00:53.680]  九到二十節
[00:00:53.680 --> 00:00:55.920]  當門徒知道耶穌被釘
[00:00:55.920 --> 00:00:57.440]  死在十字架上
[00:00:57.440 --> 00:01:00.080]  被埋葬
[00:01:00.080 --> 00:01:03.640]  他們的心裡融化了
[00:01:03.640 --> 00:01:05.640]  倒塌了
[00:01:05.640 --> 00:01:08.080]  就好像我們有些親人離開一樣
[00:01:08.080 --> 00:01:10.240]  特別他們想一想
[00:01:10.240 --> 00:01:11.360]  耶穌
[00:01:11.360 --> 00:01:13.400]  你生前不是說過
[00:01:13.400 --> 00:01:14.920]  你會復活的嗎?
[00:01:14.920 --> 00:01:17.040]  為什麼沒有呢?
[00:01:17.040 --> 00:01:18.960]  他們很軟弱
[00:01:18.960 --> 00:01:22.000]  甚至乎不相信
[00:01:22.000 --> 00:01:24.240]  不相信耶穌復活這件事
