
[00:00:00.000 --> 00:00:06.820]  很快我們已經來到已忽所書的最後一個訊息
[00:00:06.820 --> 00:00:08.900]  今天我叫這個訊息做
[00:00:08.900 --> 00:00:14.160]  全副軍裝 敵黨魔鬼 或者是敵黨撒旦
[00:00:14.160 --> 00:00:16.100]  是一個很重要的訊息
[00:00:16.100 --> 00:00:20.160]  已忽所書是一本很重要給基督徒的一本書
[00:00:20.160 --> 00:00:24.540]  今天要跟大家講的是屬靈的真諫
[00:00:24.540 --> 00:00:28.760]  早在2002年其實CDC
[00:00:28.760 --> 00:00:32.160]  大家現在對CDC可能已經很熟悉
[00:00:32.160 --> 00:00:35.500]  在20年前相信大家都沒有聽過CDC
[00:00:35.500 --> 00:00:37.380]  或者不是很熟悉
[00:00:37.380 --> 00:00:40.700]  2002年CDC已經公佈
[00:00:40.700 --> 00:00:48.240]  原來在遊輪上已經有很多細菌的爆發
[00:00:48.240 --> 00:00:52.620]  在2002年就已經有21宗這麼多
[00:00:52.620 --> 00:00:56.420]  但在那時個個都好像不覺得是一回事
[00:00:56.420 --> 00:01:01.440]  仍然繼續坐遊輪去渡輪去開心
[00:01:01.440 --> 00:01:03.400]  為何現在又不同
[00:01:03.400 --> 00:01:05.740]  發覺原來是真的
[00:01:05.740 --> 00:01:08.180]  原來真的有病毒
[00:01:08.180 --> 00:01:11.500]  去年見到新冠病毒個個都害怕
[00:01:11.500 --> 00:01:14.040]  屬靈的真諫都是一樣
[00:01:14.040 --> 00:01:16.340]  你看不見摸不到
[00:01:16.340 --> 00:01:19.240]  好像細菌好像病毒一樣
[00:01:19.240 --> 00:01:20.780]  但我可以告訴你
[00:01:20.780 --> 00:01:23.560]  屬靈的真諫是絕對真實
[00:01:23.560 --> 00:01:27.020]  每天都在進行中
[00:01:27.020 --> 00:01:31.060]  其實聖經一早就已經告訴我們
[00:01:31.060 --> 00:01:34.340]  撒旦開始屬靈的真諫
[00:01:34.340 --> 00:01:37.700]  在創世紀的第三章已經開始
[00:01:37.700 --> 00:01:42.960]  他使阿當和夏娃犯罪墮落
