
[00:00:00.000 --> 00:00:01.480]  頂節目平安
[00:00:01.480 --> 00:00:04.480]  亦都保一聲新年快樂
[00:00:04.480 --> 00:00:08.320]  咁我開心喺新幾年我哋又可以一齊嚟到敬拜
[00:00:08.320 --> 00:00:10.680]  咁呢今日想同大家分享就係我哋嘅
[00:00:10.680 --> 00:00:15.960]  新一年我哋會用八福嚟到去開始我哋新嘅系列
[00:00:15.960 --> 00:00:18.440]  咁呢今日所講嘅會係第二福啦
[00:00:18.440 --> 00:00:22.200]  咁呀其實用八福開始今年嘅系列呢
[00:00:22.200 --> 00:00:23.880]  係一個好有意頭嘅事係咪
[00:00:23.880 --> 00:00:24.800]  因為係新年嘛
[00:00:24.800 --> 00:00:27.920]  大家都希望講一啲好有福氣嘅事情
[00:00:27.920 --> 00:00:29.600]  咁我哋從八福入面呢
[00:00:29.600 --> 00:00:31.200]  就好容易睇得出
[00:00:31.200 --> 00:00:35.120]  其實神呢都好願意將福氣畀我哋嘅
[00:00:35.120 --> 00:00:37.360]  所以喺登山補訓嘅時候呢
[00:00:37.360 --> 00:00:41.120]  主耶穌係用八福嚟到開始講論
[00:00:41.120 --> 00:00:45.560]  咁就先講到底喺神嘅眼中
[00:00:45.560 --> 00:00:46.600]  邊一啲嘅人
[00:00:46.600 --> 00:00:49.440]  神會覺得想要將福氣畀佢
[00:00:49.440 --> 00:00:52.280]  因為雖然神好喜歡將福氣畀大家
[00:00:52.280 --> 00:00:55.160]  但係縱觀你身邊嘅人
[00:00:55.160 --> 00:00:56.800]  一個現實嘅世界
[00:00:56.800 --> 00:01:00.840]  就唔係每一個人都活喺神嘅福氣當中㗎嘛
[00:01:00.840 --> 00:01:03.000]  你有時有時同人傾偈
[00:01:03.000 --> 00:01:04.760]  佢同你講下佢人生嘅故事
[00:01:04.760 --> 00:01:07.760]  你發覺點解好似一個坑接一個坑咁嘅
[00:01:07.760 --> 00:01:09.320]  即係就跌入坑入面入去
[00:01:09.320 --> 00:01:11.560]  就喺跌入坑嘅路上
[00:01:11.560 --> 00:01:13.480]  咁你就點都覺得唔覺得
[00:01:13.480 --> 00:01:15.960]  點都覺得你係畀神咀咒㗎
[00:01:15.960 --> 00:01:17.880]  到底你做咗啲乜嘢
[00:01:17.880 --> 00:01:21.280]  有啲人唔同有啲人你聽佢講故仔就發覺
[00:01:21.280 --> 00:01:22.920]  點解你係
[00:01:22.920 --> 00:01:27.480]  個個星期都有啲好驚人嘅見證出嚟
[00:01:27.480 --> 00:01:29.320]  今日又見到神嘅恩典
[00:01:29.320 --> 00:01:31.480]  明日又話神你有恩典
[00:01:31.480 --> 00:01:34.000]  點解你一個福氣接一個福氣嘅
