
[00:00:00.000 --> 00:00:03.500]  我很感謝神今天可以跟大家一起在這裡敬拜
[00:00:03.500 --> 00:00:06.800]  我很感謝神能夠和大家一起在這裡敬拜神
[00:00:06.800 --> 00:00:12.000]  這個月我們教會講到的專題是在屬靈的恩賜上做好管家
[00:00:12.000 --> 00:00:18.000]  我們這個月教會的主題就是要在屬靈恩賜上做好管家
[00:00:18.000 --> 00:00:20.000]  當我們講到這個題目的時候
[00:00:20.000 --> 00:00:24.000]  我們必須要明白什麼叫做屬靈的恩賜
[00:00:24.000 --> 00:00:26.000]  我們講這個題目的時候
[00:00:26.000 --> 00:00:28.500]  我們要明白什麼叫做屬靈的恩賜
[00:00:28.500 --> 00:00:32.000]  所謂的恩賜就是給的,就是一個禮物
[00:00:32.000 --> 00:00:34.500]  恩賜就是給的,所以是一個禮物
[00:00:34.500 --> 00:00:35.500]  是誰給的呢?
[00:00:35.500 --> 00:00:36.500]  是誰給的呢?
[00:00:36.500 --> 00:00:38.000]  是要送給誰的呢?
[00:00:38.000 --> 00:00:39.500]  是要送給誰的呢?
[00:00:39.500 --> 00:00:42.000]  那麼他給這個恩賜的目的是什麼?
[00:00:42.000 --> 00:00:44.000]  給這個恩賜的目的又是什麼?
[00:00:44.000 --> 00:00:46.000]  最後我們要想一件事情
[00:00:46.000 --> 00:00:49.500]  就是我有什麼恩賜,或者是說你有什麼恩賜?
[00:00:49.500 --> 00:00:53.000]  最後我們要想到的就是我有什麼恩賜,或者你有什麼恩賜?
[00:00:53.000 --> 00:00:55.500]  這就是我們牧師們要傳的信息
[00:00:55.500 --> 00:00:58.000]  這就是我們牧師們要傳遞的信息
[00:00:58.000 --> 00:01:02.000]  今天我希望用哥林多前書第十二章一到十一節
[00:01:02.000 --> 00:01:05.500]  來看屬靈的恩賜的意義
[00:01:05.500 --> 00:01:08.500]  今天我會用哥林多前書十二章這一段經文
[00:01:08.500 --> 00:01:10.500]  來看屬靈恩賜的意義
[00:01:10.500 --> 00:01:14.000]  那麼希望我們藉著這一段經文
[00:01:14.000 --> 00:01:17.000]  我們能夠看見屬靈恩賜的重要性
[00:01:17.000 --> 00:01:20.500]  希望藉著這一段經文能夠看到屬靈恩賜的重要性
