
[00:00:00.000 --> 00:00:02.420]  首先介紹彼得
[00:00:02.420 --> 00:00:05.680]  相信大家都很清楚 彼得是十二個使徒之一
[00:00:05.680 --> 00:00:09.980]  聖經四次提到使徒的名錄
[00:00:09.980 --> 00:00:12.020]  都是以彼得當先
[00:00:12.020 --> 00:00:14.360]  賣主的猶大是殿後的
[00:00:14.360 --> 00:00:15.780]  經文已經寫了
[00:00:15.780 --> 00:00:19.600]  可見彼得是使徒中一個很重要的代表人物
[00:00:19.600 --> 00:00:24.080]  發言人 甚至處於一個領導的地位
[00:00:24.080 --> 00:00:25.880]  而另外
[00:00:25.880 --> 00:00:30.200]  經文告訴我們 彼得的原名是西門
[00:00:30.200 --> 00:00:32.320]  耶穌第一次見他的時候
[00:00:32.320 --> 00:00:35.480]  就將他的名字改成了基法
[00:00:35.480 --> 00:00:40.160]  而基法是源自古代西亞通用的阿南文
[00:00:40.160 --> 00:00:43.760]  希臘文的意思就是彼得Peter
[00:00:43.760 --> 00:00:46.680]  基法和彼得的意思是相同的
[00:00:46.680 --> 00:00:51.920]  都像這幅圖一樣是石頭的意思
[00:00:51.920 --> 00:00:55.000]  剛才我提過 性格是可以改變的
[00:00:55.000 --> 00:00:59.840]  我們來看看 彼得前後性格的改變是怎樣
[00:00:59.840 --> 00:01:06.240]  在福音書裡 彼得一開始的時候是一塊橫石
[00:01:06.240 --> 00:01:08.680]  縱然他是跟隨耶穌
[00:01:08.680 --> 00:01:13.000]  但始終他是不願意捨棄自己的劣根性
[00:01:13.000 --> 00:01:17.000]  所以他並非像石頭那麼堅硬
[00:01:17.000 --> 00:01:21.720]  但在使徒行傳裡 彼得在教會初期的時候
[00:01:21.720 --> 00:01:24.440]  他是堅穩如盤石
[00:01:24.440 --> 00:01:28.920]  所以由此可見 耶穌給彼得新的名字
[00:01:28.920 --> 00:01:34.440]  是預示他在性格上有一個根本的改變
[00:01:34.440 --> 00:01:37.040]  我們來看看當中的改變是什麼
[00:01:37.040 --> 00:01:42.920]  因為例子眾多 我只能夠抽三對的對比跟大家分享
[00:01:42.920 --> 00:01:45.400]  第一個的對比
[00:01:45.400 --> 00:01:49.440]  衝動魯莽變為謙卑揚言
[00:01:49.440 --> 00:01:50.960]  我們一起讀
[00:01:50.960 --> 00:01:58.960]  主啊 我在這裡真好 祢若願意 我就在這裡搭三座棚
[00:01:58.960 --> 00:02:03.640]  一座為祢 一座為摩西 一座為以利亞
[00:02:03.640 --> 00:02:07.160]  相信大家都很熟悉 耶穌登山變相
[00:02:07.160 --> 00:02:10.280]  帶著彼得 約翰和雅各
[00:02:10.280 --> 00:02:17.280]  在山上摩西 以利亞顯現跟耶穌說話
[00:02:17.280 --> 00:02:20.680]  然後彼得就說了這一番話
[00:02:20.680 --> 00:02:25.280]  彼得衝口而出 出現了兩個很大的問題
