
[00:00:00.000 --> 00:00:01.760]  記得很多年前
[00:00:01.760 --> 00:00:05.240]  當我仍然在外地讀書的時候
[00:00:05.240 --> 00:00:09.280]  我就跟兩個男同學
[00:00:09.280 --> 00:00:14.280]  一起在學校附近租了一間屋一起住
[00:00:14.280 --> 00:00:18.560]  因為我們沒有錢
[00:00:18.560 --> 00:00:22.600]  所以就要找一間便宜的屋
[00:00:22.600 --> 00:00:24.360]  我們又沒有傢俬
[00:00:24.360 --> 00:00:32.880]  所以那間屋基本上有的傢俬是很基本
[00:00:32.880 --> 00:00:34.960]  有一張床
[00:00:34.960 --> 00:00:37.080]  房間有一個櫃
[00:00:37.080 --> 00:00:38.760]  很棒的了
[00:00:38.760 --> 00:00:44.160]  客廳有一個兩座椅的沙發
[00:00:44.160 --> 00:00:45.840]  沒有電視
[00:00:45.840 --> 00:00:47.360]  沒有任何風扇
[00:00:47.360 --> 00:00:48.360]  什麼都沒有的
[00:00:48.360 --> 00:00:50.440]  是這樣的了
[00:00:50.440 --> 00:00:54.840]  客廳也有一張桌子吃飯
[00:00:54.840 --> 00:00:56.800]  三張椅子
[00:00:56.800 --> 00:00:58.440]  三個人的
[00:00:58.440 --> 00:00:59.720]  一人一張
[00:00:59.720 --> 00:01:01.560]  所以如果你要溫習
[00:01:01.560 --> 00:01:02.240]  你怎樣也好
[00:01:02.240 --> 00:01:05.400]  總之你自己的椅子就搬來搬去的了
[00:01:05.400 --> 00:01:09.800]  因為只有這麼少傢俬
[00:01:09.800 --> 00:01:12.320]  所以我們就
[00:01:12.320 --> 00:01:14.600]  個人物品
[00:01:14.600 --> 00:01:18.480]  無論你說上完學換出來的衣服
[00:01:18.480 --> 00:01:21.520]  洗完之後很乾淨
[00:01:21.520 --> 00:01:22.640]  摺好的衣服
[00:01:22.640 --> 00:01:26.160]  甚至你的書本筆記等等
[00:01:26.160 --> 00:01:27.680]  你不會到處扔的
[00:01:27.680 --> 00:01:29.920]  因為你基本上沒有地方擺放
[00:01:29.920 --> 00:01:33.640]  所以你就會收好它
[00:01:33.640 --> 00:01:38.720]  不過我相信在香港
[00:01:38.720 --> 00:01:41.960]  自己的家可能有些不同
[00:01:41.960 --> 00:01:47.800]  你家的斷鼓可能多一張椅子坐
[00:01:47.800 --> 00:01:51.240]  甚至你的櫃子也有一些平面
[00:01:51.240 --> 00:01:53.480]  我們總是有一個
[00:01:53.480 --> 00:01:55.040]  不是很好的習慣
[00:01:55.040 --> 00:01:57.240]  所有的平面
[00:01:57.240 --> 00:01:58.920]  如果你桌子大一點
[00:01:58.920 --> 00:02:02.240]  有個角落有一堆東西堆在那裡
[00:02:02.240 --> 00:02:06.040]  弄著弄著就弄到非常老舊
[00:02:06.040 --> 00:02:08.480]  去到一個階段
[00:02:08.480 --> 00:02:10.640]  家人開始投訴了
[00:02:10.640 --> 00:02:12.160]  喂 大哥
[00:02:12.160 --> 00:02:13.600]  沒有椅子坐
[00:02:13.600 --> 00:02:16.080]  全都放在椅子上了
[00:02:16.080 --> 00:02:21.080]  死死地氣就去收拾一下
[00:02:21.080 --> 00:02:23.720]  如果沒有人去提醒
[00:02:23.720 --> 00:02:26.240]  甚至沒有人說自己
[00:02:26.240 --> 00:02:27.680]  基本上那堆東西
[00:02:27.680 --> 00:02:31.040]  就會永遠堆在那裡
[00:02:31.040 --> 00:02:34.240]  其實究竟可能在我們家
[00:02:34.240 --> 00:02:37.560]  是不是這個樣子呢
[00:02:37.560 --> 00:02:42.360]  我深信如果我們平時整理一點
[00:02:42.360 --> 00:02:47.720]  第一 就可以不用一次過收拾
[00:02:47.720 --> 00:02:50.040]  都挺辛苦的
[00:02:50.040 --> 00:02:53.240]  第二就釋放多點空間
[00:02:53.240 --> 00:02:54.800]  自己可能在家裡的感覺
[00:02:54.800 --> 00:02:57.320]  都會舒服一點的
[00:02:57.320 --> 00:03:01.920]  所以這些不好的習慣
[00:03:01.920 --> 00:03:05.800]  我相信有些時候都要被人說一下
[00:03:05.800 --> 00:03:08.000]  甚至是被人管一下
[00:03:08.000 --> 00:03:13.200]  我相信要這樣似乎才做得到
[00:03:13.200 --> 00:03:15.240]  我要說這個例子
[00:03:15.240 --> 00:03:17.320]  因為我上次跟大家分享
[00:03:17.320 --> 00:03:21.240]  希伯來書第十二章的頭三節
[00:03:21.240 --> 00:03:23.920]  那裡就是鼓勵我們要繼續
[00:03:23.920 --> 00:03:27.560]  在信仰的路上向前奔跑
[00:03:27.560 --> 00:03:30.320]  接著由第四節開始
[00:03:30.320 --> 00:03:32.040]  稍後大家就會見到
[00:03:32.040 --> 00:03:35.560]  這一段經文重複了很多次
[00:03:35.560 --> 00:03:40.080]  管教這個功課
[00:03:40.080 --> 00:03:45.880]  好讓我們透過這個在信仰歷程裏面
[00:03:45.880 --> 00:03:48.520]  非常重要的掙扎
[00:03:48.520 --> 00:03:52.840]  幫助我們能夠成長建立
[00:03:52.840 --> 00:03:56.240]  我想請大家先來跟我讀一讀
[00:03:56.240 --> 00:03:59.760]  十二章的第四至到第十三節
[00:03:59.760 --> 00:04:01.680]  好 預備起
[00:04:01.680 --> 00:04:03.680]  你們與罪惡相爭
[00:04:03.680 --> 00:04:06.960]  還沒有抵擋到流血的地步
[00:04:06.960 --> 00:04:11.320]  你們又忘了那勸你們如同勸兒子的話
[00:04:11.320 --> 00:04:15.560]  說 我兒你不可輕看主的管教
[00:04:15.560 --> 00:04:19.560]  被他責備的時候也不可灰心
[00:04:19.560 --> 00:04:22.960]  因為主所愛的他必管教
[00:04:22.960 --> 00:04:26.480]  又鞭打凡所收納的兒子
[00:04:26.480 --> 00:04:28.280]  你們所忍受的
[00:04:28.280 --> 00:04:30.320]  是神管教你們
[00:04:30.320 --> 00:04:33.000]  待你們如同待兒子
[00:04:33.000 --> 00:04:37.120]  應有兒子不被父親管教的
[00:04:37.120 --> 00:04:40.600]  管教原是眾子所共受的
[00:04:40.600 --> 00:04:42.760]  你們若不受管教
[00:04:42.760 --> 00:04:44.200]  就是私子
[00:04:44.200 --> 00:04:46.160]  不是兒子了
[00:04:46.160 --> 00:04:46.920]  再者
[00:04:46.920 --> 00:04:50.840]  我們曾有生生的父管教我們
[00:04:50.840 --> 00:04:53.240]  我們尚且敬重他
[00:04:53.240 --> 00:04:55.200]  何況萬靈之父
[00:04:55.200 --> 00:04:59.360]  我們豈不更當信服他得生魔
[00:04:59.360 --> 00:05:04.280]  生生的父都是暫隨己意管教我們
[00:05:04.280 --> 00:05:07.400]  唯有萬靈的父管教我們
[00:05:07.400 --> 00:05:09.680]  是要我們得益處
[00:05:09.680 --> 00:05:13.200]  使我們在他的聖潔上有份
[00:05:13.200 --> 00:05:14.760]  凡管教的事
[00:05:14.760 --> 00:05:17.120]  當時不覺得快樂
[00:05:17.120 --> 00:05:19.040]  反覺得仇苦
[00:05:19.040 --> 00:05:21.760]  後來卻為那經練過的人
[00:05:21.760 --> 00:05:24.000]  結出平安的果子
[00:05:24.000 --> 00:05:25.760]  就是義
