
[00:00:00.000 --> 00:00:03.320]  今天繼續我們的約翰福音
[00:00:03.320 --> 00:00:04.400]  不是約翰福音
[00:00:04.400 --> 00:00:06.560]  約翰書信系列
[00:00:06.560 --> 00:00:09.240]  就是約翰一書 二書和三書
[00:00:09.240 --> 00:00:12.560]  之前大概已經是好幾個月前了
[00:00:12.560 --> 00:00:16.520]  我們有講到做神兒女的第一講
[00:00:16.520 --> 00:00:20.200]  今天我們會繼續講做神兒女的第二講
[00:00:20.200 --> 00:00:24.560]  我們已經講到約翰一書的第三章了
[00:00:24.560 --> 00:00:28.840]  今天的經文是在十一節到二十四節
[00:00:28.840 --> 00:00:31.680]  就是第三章的十一節到二十四節
[00:00:31.680 --> 00:00:33.120]  已經過了一段時間
[00:00:33.120 --> 00:00:36.600]  我想大家對前面所講的幾乎已經都忘光了
[00:00:36.600 --> 00:00:39.360]  就是我自己都要回看我自己的講章
[00:00:39.360 --> 00:00:40.840]  我才能想起來
[00:00:40.840 --> 00:00:42.680]  所以如果你不記得不要緊
[00:00:42.680 --> 00:00:43.760]  我提醒一下大家
[00:00:43.760 --> 00:00:46.320]  我們現在一起來回顧一下
[00:00:46.320 --> 00:00:55.360]  之前我們所講的做神兒女第一部分
[00:00:55.360 --> 00:00:57.400]  我們所講的一些內容
[00:00:57.400 --> 00:01:01.080]  之前有跟大家講有三個部分
[00:01:01.080 --> 00:01:03.600]  第一部分就是神聖身份的來源
[00:01:03.600 --> 00:01:04.760]  在二章二十九節
[00:01:04.760 --> 00:01:07.400]  然後我們有講到兒女身份的寶貴
[00:01:07.400 --> 00:01:08.920]  講到我們是天父的兒女
[00:01:08.920 --> 00:01:10.960]  這個身份是非常寶貴的
[00:01:10.960 --> 00:01:12.960]  也是神特別賜給我們的
[00:01:12.960 --> 00:01:17.400]  所以我們每一個人都有很獨特的身份
[00:01:17.400 --> 00:01:19.760]  而且是沒有人可以去取代的
[00:01:19.760 --> 00:01:22.640]  第三部分就是我們上次講了一個開頭
[00:01:22.640 --> 00:01:23.560]  今天會接著
[00:01:23.560 --> 00:01:26.640]  第三部分是講上帝兒女的特徵
[00:01:26.640 --> 00:01:28.200]  那有什麼特徵呢
[00:01:28.200 --> 00:01:30.760]  上次我們講了其中一個很重要的特徵
[00:01:30.760 --> 00:01:32.960]  就是行公義
[00:01:32.960 --> 00:01:34.720]  就是神的兒女
[00:01:34.720 --> 00:01:39.360]  他一定是會對不義的事情會很敏感的
