
[00:00:00.000 --> 00:00:04.500]  一百一十九篇的七十三節到七十六節
[00:00:04.500 --> 00:00:10.000]  好 我們翻到了
[00:00:10.000 --> 00:00:12.000]  那我們一起來讀
[00:00:12.000 --> 00:00:16.000]  從七十三節開始我們讀到七十六節
[00:00:16.000 --> 00:00:17.000]  一起來
[00:00:17.000 --> 00:00:21.000]  你的手製造我建立我
[00:00:21.000 --> 00:00:23.000]  求你持我無性
[00:00:23.000 --> 00:00:25.000]  可以學習你的命令
[00:00:25.000 --> 00:00:29.000]  因為你的人見我就要歡喜
[00:00:29.000 --> 00:00:32.000]  聽我仰望你的話
[00:00:32.000 --> 00:00:36.000]  你的話我知道你的叛逆是故意的
[00:00:36.000 --> 00:00:40.000]  你是我受苦是你誠實的愛我
[00:00:40.000 --> 00:00:43.000]  求你照顧英雄普通的話
[00:00:43.000 --> 00:00:46.000]  以慈愛安慰我
[00:00:46.000 --> 00:00:52.000]  願你的慈悲領導我使我成佛
[00:00:52.000 --> 00:00:56.000]  您的律法是我所喜愛的
[00:00:56.000 --> 00:00:58.000]  我們聖經就先讀這裡
[00:00:59.000 --> 00:01:03.000]  今天我們要來看一十九篇裡頭的
[00:01:03.000 --> 00:01:05.000]  有兩段聖經
[00:01:05.000 --> 00:01:07.000]  每一段都是八節
[00:01:07.000 --> 00:01:13.000]  我們要從七十三節一直要看到八十八節
[00:01:13.000 --> 00:01:17.000]  我們先來看這篇詩篇的話
[00:01:17.000 --> 00:01:23.000]  是七十三節到八十節這一段
[00:01:23.000 --> 00:01:26.000]  主要的大一就是要講到
[00:01:26.000 --> 00:01:28.000]  神是造我們的主
[00:01:29.000 --> 00:01:31.000]  我們很需要悟性
[00:01:31.000 --> 00:01:33.000]  我們對神的認識需要悟性
[00:01:33.000 --> 00:01:35.000]  所以這一段的話
[00:01:35.000 --> 00:01:38.000]  八節聖經可以說是一個
[00:01:38.000 --> 00:01:42.000]  求神賜給我們悟性的一個禱告
[00:01:42.000 --> 00:01:46.000]  叫我們有了悟性
[00:01:46.000 --> 00:01:49.000]  可以跟屬靈的人能夠相交
[00:01:49.000 --> 00:01:52.000]  我們也能夠順服神
[00:01:52.000 --> 00:01:55.000]  能夠接受我們所領導的苦難
[00:01:55.000 --> 00:01:59.000]  知道這些苦難對我們是有益處的
[00:01:59.000 --> 00:02:03.000]  苦難是來訓練我們的靈性
[00:02:03.000 --> 00:02:05.000]  對神的關係
[00:02:05.000 --> 00:02:08.000]  也叫我們看見在這個過程當中
[00:02:08.000 --> 00:02:12.000]  雖然有人無理的對待他
[00:02:12.000 --> 00:02:15.000]  但是他還是靠著神過來
[00:02:15.000 --> 00:02:19.000]  能夠跟屬靈的人做朋友
[00:02:19.000 --> 00:02:23.000]  最後這個第八十節這一段的最後一節
[00:02:23.000 --> 00:02:26.000]  就是求神能夠塑造他
[00:02:26.000 --> 00:02:29.000]  一個有完全的心
[00:02:29.000 --> 00:02:31.000]  所以這個就是一個
[00:02:31.000 --> 00:02:35.000]  是悟性的一個禱告
[00:02:35.000 --> 00:02:38.000]  什麼是悟性呢
[00:02:38.000 --> 00:02:40.000]  有一個小的故事
[00:02:40.000 --> 00:02:43.000]  講到一個大科學家
[00:02:43.000 --> 00:02:46.000]  科學家很有成就的
[00:02:46.000 --> 00:02:49.000]  人家有一天到他家裡去的話
[00:02:49.000 --> 00:02:53.000]  看見他小房間裡的辦公室的門
[00:02:53.000 --> 00:02:55.000]  開了兩個洞
[00:02:55.000 --> 00:02:57.000]  一個是大的洞
[00:02:57.000 --> 00:02:59.000]  一個是小的洞
[00:02:59.000 --> 00:03:01.000]  問他為什麼開兩個洞呢
[00:03:01.000 --> 00:03:04.000]  他說我養兩個貓
[00:03:04.000 --> 00:03:07.000]  一個是大貓讓牠走大洞
[00:03:07.000 --> 00:03:10.000]  一個小貓讓牠走小洞
[00:03:10.000 --> 00:03:14.000]  你說這個科學家雄那麼大
[00:03:14.000 --> 00:03:17.000]  這點的悟性他就不太夠
[00:03:17.000 --> 00:03:19.000]  你看一個洞就夠了
[00:03:19.000 --> 00:03:22.000]  大貓小貓都從一個洞走就行了
[00:03:22.000 --> 00:03:25.000]  為什麼要開一個大的給大貓走
[00:03:25.000 --> 00:03:28.000]  開一個小的給小貓走
[00:03:28.000 --> 00:03:30.000]  那麼這個是
[00:03:30.000 --> 00:03:32.000]  他有聰明有智慧
[00:03:32.000 --> 00:03:34.000]  但是在這一點上
[00:03:34.000 --> 00:03:36.000]  碰到這樣問題
[00:03:36.000 --> 00:03:39.000]  他就不夠有悟性
[00:03:39.000 --> 00:03:41.000]  這個悟性是很重要
[00:03:41.000 --> 00:03:46.000]  悟性就是使我們能夠來明白神的旨意
[00:03:46.000 --> 00:03:48.000]  能明白神的心意
[00:03:48.000 --> 00:03:51.000]  不需要每個人都說
[00:03:51.000 --> 00:03:54.000]  有時候就可以舉一反三
[00:03:54.000 --> 00:03:56.000]  如果你說到神的愛
[00:03:56.000 --> 00:03:58.000]  那麼有很多方面
[00:03:58.000 --> 00:04:00.000]  神怎麼愛我們
[00:04:00.000 --> 00:04:02.000]  那麼你說一個兩個以後
[00:04:02.000 --> 00:04:06.000]  好多其他的我們就容易領會了
[00:04:06.000 --> 00:04:08.000]  這樣的話有個悟性的禱告
[00:04:08.000 --> 00:04:13.000]  有悟性可以教我們知道神的話的意思
[00:04:13.000 --> 00:04:18.000]  那我們就可以更好的來尊敬神的話
[00:04:18.000 --> 00:04:21.000]  第七十三篇就說
[00:04:21.000 --> 00:04:26.000]  求神是他悟性
[00:04:26.000 --> 00:04:28.000]  可以來學習他的命令
[00:04:28.000 --> 00:04:32.000]  他是需要來學習神的命令
[00:04:32.000 --> 00:04:36.000]  他就需要有悟性來學習
[00:04:36.000 --> 00:04:38.000]  如果沒有悟性的話
[00:04:38.000 --> 00:04:42.000]  你就不知道不懂得神的事情
[00:04:42.000 --> 00:04:44.000]  你不知道神的心意的話
[00:04:44.000 --> 00:04:48.000]  你就沒有辦法來順服神的旨意
[00:04:48.000 --> 00:04:50.000]  我們就不能夠完全
[00:04:50.000 --> 00:04:56.000]  不能夠在神的手中成為有用的器皿
[00:04:56.000 --> 00:05:02.000]  所以我們也需要神來賜給我們悟性
[00:05:02.000 --> 00:05:05.000]  因為這樣子我們沒有悟性的話
[00:05:05.000 --> 00:05:11.000]  我們就失去了屬靈的辨別的能力了
[00:05:11.000 --> 00:05:16.000]  那麼神造我們他也是賜下悟性
[00:05:16.000 --> 00:05:20.000]  他因為要教我們能夠明白我們跟他的關係
[00:05:20.000 --> 00:05:25.000]  也教我們能夠明白跟地上這些人事物的關係
[00:05:25.000 --> 00:05:27.000]  所以他就要賜悟性給我們
[00:05:27.000 --> 00:05:31.000]  可以教我們明白神的心意
[00:05:31.000 --> 00:05:35.000]  我們就可以在屬靈的道路上
[00:05:35.000 --> 00:05:37.000]  我們就可以走得好
[00:05:37.000 --> 00:05:42.000]  我們就能夠按照神的旨意來行
[00:05:42.000 --> 00:05:44.000]  所以神造我們
[00:05:44.000 --> 00:05:48.000]  要教我們來明白他的心意的話
[00:05:48.000 --> 00:05:50.000]  他一定會賜給我們悟性
[00:05:50.000 --> 00:05:52.000]  教我們來明白的
[00:05:52.000 --> 00:05:57.000]  但是人不能靠自己去明白
[00:05:57.000 --> 00:05:59.000]  那麼就是要神開啟
[00:05:59.000 --> 00:06:07.000]  所以師人要求神賜給他悟性
[00:06:07.000 --> 00:06:11.000]  使他能夠學習主的命令
[00:06:11.000 --> 00:06:15.000]  讓我們能夠明白神的心意
[00:06:15.000 --> 00:06:17.000]  那麼第一節的話
[00:06:17.000 --> 00:06:19.000]  講到你的手製造我
[00:06:19.000 --> 00:06:22.000]  這是一個動詞製造
[00:06:22.000 --> 00:06:24.000]  還底下說建立我
[00:06:24.000 --> 00:06:27.000]  建立也是一個動詞
[00:06:27.000 --> 00:06:31.000]  那麼底下說到賜我悟性
[00:06:31.000 --> 00:06:34.000]  賜也是一個動詞
[00:06:34.000 --> 00:06:37.000]  底下還有一個學習你的命令
[00:06:37.000 --> 00:06:40.000]  這裡面有幾個動詞
[00:06:40.000 --> 00:06:42.000]  這幾個動詞就可以
[00:06:42.000 --> 00:06:45.000]  如果我們按照這個遵循的話
[00:06:45.000 --> 00:06:52.000]  就教我們不會忘記底下的幾件事情
[00:06:52.000 --> 00:06:56.000]  如果我們讀到你手製造我
[00:06:56.000 --> 00:07:00.000]  那麼就叫我們不要忘記神的恩典
[00:07:00.000 --> 00:07:02.000]  我們是神所造的
[00:07:02.000 --> 00:07:04.000]  我們的一切都是從神來的
