
[00:00:00.000 --> 00:00:03.180]  我們開始之前我們一起有個祈禱先
[00:00:03.180 --> 00:00:06.580]  親愛的主我們感謝祢
[00:00:06.580 --> 00:00:10.720]  祢給保羅有這麼多的書信
[00:00:10.720 --> 00:00:14.160]  讓我們學習祂的生命
[00:00:14.160 --> 00:00:18.120]  祢給一位這麼堅強的弟兄
[00:00:18.120 --> 00:00:20.600]  成為我們的榜樣
[00:00:20.600 --> 00:00:23.500]  在這個這麼低落的時期
[00:00:23.500 --> 00:00:28.240]  我們真的很需要祢去叫醒我們
[00:00:28.740 --> 00:00:31.700]  叫我們能夠有力去面對
[00:00:31.700 --> 00:00:35.640]  現在所面對種種的難關
[00:00:35.640 --> 00:00:38.540]  還有怎樣將基督的香氣
[00:00:38.540 --> 00:00:40.420]  可以散發在這個社會上
[00:00:40.420 --> 00:00:42.440]  祈禱奉耶穌名求
[00:00:42.440 --> 00:00:43.220]  阿們
[00:00:43.220 --> 00:00:52.220]  今天大概是講三件事
[00:00:52.220 --> 00:00:57.320]  第一就是保羅和哥倫多人的關係
[00:00:57.320 --> 00:00:58.840]  第二就是德性
[00:00:58.840 --> 00:01:00.040]  因為是庇護
[00:01:00.040 --> 00:01:04.400]  另外第三就是香氣與資格
[00:01:04.400 --> 00:01:10.780]  剛才我們讀那段經文一開始
[00:01:10.780 --> 00:01:14.380]  十二十三節都已經講了
[00:01:14.380 --> 00:01:17.920]  保羅從前去到特羅亞的地方
[00:01:17.920 --> 00:01:19.320]  並且他開了一扇門
[00:01:19.320 --> 00:01:23.860]  而他因為在那裡看不到提多
[00:01:23.860 --> 00:01:27.200]  就算開了一扇福音的門
[00:01:27.660 --> 00:01:29.800]  他也跑去了馬其頓
[00:01:29.800 --> 00:01:31.900]  原因是什麼呢?
[00:01:31.900 --> 00:01:32.860]  我們遲一點再說
[00:01:32.860 --> 00:01:34.300]  不過到了十四節
[00:01:34.300 --> 00:01:37.640]  就說感謝神他常常在基督律師阿們
[00:01:37.640 --> 00:01:40.640]  這些作父老的烈災凱旋的隊伍當中
[00:01:40.640 --> 00:01:43.180]  一直這樣下去
[00:01:43.180 --> 00:01:44.980]  其實你突然間發覺
[00:01:44.980 --> 00:01:48.680]  說著說著提多、特羅亞、馬其頓
[00:01:48.680 --> 00:01:50.920]  接著到十四節就斷了
[00:01:50.920 --> 00:01:57.060]  如果我們還有心機看或者有記性的時候
[00:01:57.060 --> 00:02:00.020]  這裡翻到很遠
[00:02:00.020 --> 00:02:02.560]  到了第七章五節
[00:02:02.560 --> 00:02:07.300]  才連接十二十三節的馬其頓
[00:02:07.300 --> 00:02:09.500]  以及提多發生了什麼事呢?
[00:02:09.500 --> 00:02:11.200]  這可以說是
[00:02:11.200 --> 00:02:16.040]  哥倫多後樹的一個大裂谷
[00:02:16.040 --> 00:02:20.920]  也就是說二章十四節一直到七章四節
[00:02:20.920 --> 00:02:23.580]  都是在說另一件事
[00:02:27.080 --> 00:02:28.260]  在說什麼呢?
[00:02:28.260 --> 00:02:30.660]  其實都是
[00:02:30.660 --> 00:02:36.560]  保羅和哥倫多人的一些瓜葛
[00:02:36.560 --> 00:02:41.440]  其實其中一件事很值得注意的就是
[00:02:41.440 --> 00:02:44.400]  我們在看哥倫多前書的時候
[00:02:44.400 --> 00:02:47.500]  我們第一章、第二章的時候已經有
[00:02:47.500 --> 00:02:50.140]  我們也好像說過這裡了
[00:02:50.140 --> 00:02:51.940]  在早前的講道裡面
[00:02:51.940 --> 00:02:54.240]  保羅提到
[00:02:54.240 --> 00:02:57.980]  他說你們各人都有不同的派別
[00:02:57.980 --> 00:02:59.880]  有人認是保羅派
[00:02:59.880 --> 00:03:00.980]  有人是阿波羅派
[00:03:00.980 --> 00:03:01.720]  有人是基法派
