
[00:00:00.000 --> 00:00:02.800]  今天繼續和大家思想《羅馬書》第73講
[00:00:02.800 --> 00:00:04.800]  無要祝福萬民
[00:00:04.800 --> 00:00:07.300]  《羅馬書》第14、15章講到人際關係
[00:00:07.300 --> 00:00:09.300]  開頭講到人際的相處
[00:00:09.300 --> 00:00:11.800]  教會裏面的食物等等的小事
[00:00:11.800 --> 00:00:13.300]  今天去到一個題目就是
[00:00:13.300 --> 00:00:16.300]  人際的合作 人際的和睦 人際的愛
[00:00:16.300 --> 00:00:19.300]  最終目的是成一個很重要的目標
[00:00:19.300 --> 00:00:21.300]  就是讓萬民不同的民族
[00:00:21.300 --> 00:00:24.300]  都能夠聆聽福音 得信耶穌
[00:00:24.300 --> 00:00:26.800]  一起去敬拜 讚美我們的主
[00:00:26.800 --> 00:00:29.800]  所以本來就用耶穌基督的榜樣提醒我們
[00:00:29.800 --> 00:00:32.800]  用耶穌基督的榜樣我們願意甘心服侍
[00:00:32.800 --> 00:00:36.800]  負上代價 都願意讓萬民能夠歸向主
[00:00:36.800 --> 00:00:39.800]  我們看今天經文《羅馬書》第15章8到16節
[00:00:39.800 --> 00:00:41.800]  我們稍後讀雙數節 稍後讀單數節
[00:00:41.800 --> 00:00:42.800]  稍後開始
[00:01:00.800 --> 00:01:05.800]  又說:你們愛邦人 當與主的百姓一同歡樂
[00:01:05.800 --> 00:01:15.800]  又有二賽亞說:將來有耶西的根
[00:01:15.800 --> 00:01:18.800]  就是那興起來要治理愛邦的
[00:01:18.800 --> 00:01:20.800]  愛邦人要仰望他
[00:01:30.800 --> 00:01:35.800]  弟兄們 我自己也深信你們是滿有良善
[00:01:35.800 --> 00:01:39.800]  充足了諸夫的知識 也能彼此勸戒
[00:01:39.800 --> 00:01:51.800]  使我為愛邦人 作基督耶穌的搏役
[00:01:51.800 --> 00:01:53.800]  作神福音的祭祀
[00:01:53.800 --> 00:01:55.800]  叫所獻上的愛邦人
[00:01:55.800 --> 00:01:59.800]  因著聖靈 成為聖潔可蒙月立
[00:02:25.800 --> 00:02:28.800]  在聖經上下文第七節說
[00:02:28.800 --> 00:02:30.800]  所以你們要彼此接納
[00:02:30.800 --> 00:02:32.800]  如同基督接納你們一樣
[00:02:32.800 --> 00:02:34.800]  使榮耀歸於神
[00:02:34.800 --> 00:02:38.800]  這次經文有時是說我們和一個旁邊的親友
[00:02:38.800 --> 00:02:40.800]  旁邊的弟兄姊妹彼此接納
[00:02:40.800 --> 00:02:43.800]  但這次經文是上下文的一個更寬大
[00:02:43.800 --> 00:02:45.800]  就是我們要彼此接納不同的民族
[00:02:45.800 --> 00:02:47.800]  不同的背景
[00:02:47.800 --> 00:02:48.800]  然後能夠信耶穌
[00:02:48.800 --> 00:02:50.800]  進入到神 加神的角度
[00:02:50.800 --> 00:02:51.800]  一起榮耀神
[00:02:51.800 --> 00:02:53.800]  就像基督先接納你一樣
[00:02:53.800 --> 00:02:55.800]  就像我們橫教會
[00:02:55.800 --> 00:02:58.800]  現在很多人在不同的地方去敬拜神 讚美神
[00:02:58.800 --> 00:03:00.800]  但當年的時候
[00:03:00.800 --> 00:03:02.800]  就是其他民族的宗教士
[00:03:02.800 --> 00:03:04.800]  他們接納我們這個民族
[00:03:04.800 --> 00:03:07.800]  來到橫教會 來到中國地方
[00:03:07.800 --> 00:03:09.800]  來到中國地方
[00:03:09.800 --> 00:03:12.800]  然後留下他們的汗 留下他們的血
[00:03:12.800 --> 00:03:15.800]  留下他們的青春 留下他們的勞苦
[00:03:15.800 --> 00:03:17.800]  甚至有些擺上我們的兒女
[00:03:17.800 --> 00:03:19.800]  甚至自己的生命
[00:03:19.800 --> 00:03:21.800]  讓我們能夠歸到神的角度裏面
[00:03:21.800 --> 00:03:23.800]  在各地去頌讚祂
[00:03:23.800 --> 00:03:25.800]  所以神有一個很重要的提醒
[00:03:25.800 --> 00:03:27.800]  就是神有一個目標
[00:03:27.800 --> 00:03:29.800]  要有人領受大使命
[00:03:29.800 --> 00:03:31.800]  向外邦傳福音
[00:03:31.800 --> 00:03:33.800]  是一個很高的要求
[00:03:33.800 --> 00:03:35.800]  不單止我們在我們小的團體
[00:03:35.800 --> 00:03:37.800]  小的群體裏面要彼此接納
[00:03:37.800 --> 00:03:39.800]  我們還要接納遠方
[00:03:39.800 --> 00:03:41.800]  要講傳福音
[00:03:41.800 --> 00:03:43.800]  要效法耶穌基督
[00:03:43.800 --> 00:03:45.800]  耶穌基督就是服侍眾人
[00:03:45.800 --> 00:03:47.800]  甚至為世人付上生命的代價
[00:03:47.800 --> 00:03:49.800]  都要萬民蒙福
[00:03:49.800 --> 00:03:51.800]  今天堅明講到
[00:03:51.800 --> 00:03:53.800]  耶穌的服侍說
[00:03:53.800 --> 00:03:55.800]  基督是為神真理
[00:03:55.800 --> 00:03:57.800]  作了受各禮人的執事
[00:03:57.800 --> 00:03:59.800]  執事這個表達一個服侍的意思
[00:03:59.800 --> 00:04:01.800]  你說崗位就可以
[00:04:01.800 --> 00:04:03.800]  服侍就可以
[00:04:03.800 --> 00:04:05.800]  所以當我們有服侍的崗位
[00:04:05.800 --> 00:04:07.800]  或者執事有不同的崗位服侍的時候
[00:04:07.800 --> 00:04:09.800]  不要輕看這些服侍
[00:04:09.800 --> 00:04:11.800]  耶穌基督是一個薄人樣式成為服侍
[00:04:11.800 --> 00:04:13.800]  祂要實踐天父的召命
[00:04:13.800 --> 00:04:15.800]  要證實
[00:04:15.800 --> 00:04:17.800]  所應許列祖的話
[00:04:17.800 --> 00:04:19.800]  神的應許
[00:04:19.800 --> 00:04:21.800]  舊約應許要一步步
[00:04:21.800 --> 00:04:23.800]  借耶穌基督實現
[00:04:23.800 --> 00:04:25.800]  最終目的是並叫外邦人
[00:04:25.800 --> 00:04:27.800]  因祂憐憫榮耀神
[00:04:27.800 --> 00:04:29.800]  世界萬國要信耶穌
[00:04:29.800 --> 00:04:31.800]  得著恩典
[00:04:31.800 --> 00:04:33.800]  耶穌基督自己升天的時候
[00:04:33.800 --> 00:04:35.800]  又將大使命頒佈給我們
[00:04:35.800 --> 00:04:37.800]  我們全港大使命的人
[00:04:37.800 --> 00:04:39.800]  神又要我們同在直到世界的末了
[00:04:39.800 --> 00:04:41.800]  堅明接著講
[00:04:41.800 --> 00:04:43.800]  引用詩篇說
[00:04:43.800 --> 00:04:45.800]  我要在外邦中稱讚你
[00:04:45.800 --> 00:04:47.800]  所以耶穌基督榜樣
[00:04:47.800 --> 00:04:49.800]  一個很重要的提醒就是
[00:04:49.800 --> 00:04:51.800]  耶穌基督來到世上
[00:04:51.800 --> 00:04:53.800]  說要拯救罪人
[00:04:53.800 --> 00:04:55.800]  但更要拯救萬民
[00:04:55.800 --> 00:04:57.800]  所以自耶穌的誕生
[00:04:57.800 --> 00:04:59.800]  到祂受死復活
[00:04:59.800 --> 00:05:01.800]  都常常將在這個
[00:05:01.800 --> 00:05:03.800]  為萬民拯救的一個教導
[00:05:03.800 --> 00:05:05.800]  快要是聖誕節
[00:05:05.800 --> 00:05:07.800]  我看聖誕節很熟悉的經文
[00:05:07.800 --> 00:05:09.800]  路加斐第二章十到十一節
[00:05:09.800 --> 00:05:11.800]  一起讀吧
[00:05:15.800 --> 00:05:17.800]  大喜的訊息是關乎萬民的
[00:05:17.800 --> 00:05:19.800]  將今天在大會的成裡
[00:05:19.800 --> 00:05:21.800]  為了不生了救主
[00:05:21.800 --> 00:05:23.800]  就是主基督
[00:05:23.800 --> 00:05:25.800]  大喜的訊息是關乎什麼
[00:05:25.800 --> 00:05:27.800]  萬民的
[00:05:27.800 --> 00:05:29.800]  是每一個民族的
[00:05:29.800 --> 00:05:31.800]  所以耶穌降世
[00:05:31.800 --> 00:05:33.800]  已經講到這個目標
[00:05:33.800 --> 00:05:35.800]  不單單為猶太人而生
[00:05:35.800 --> 00:05:37.800]  當施浸若翰見到耶穌的時候
[00:05:37.800 --> 00:05:39.800]  施浸若翰怎麼說呢
[00:05:39.800 --> 00:05:41.800]  施浸若翰說
[00:05:41.800 --> 00:05:43.800]  看那神的羔羊
[00:05:43.800 --> 00:05:45.800]  什麼呀
[00:05:45.800 --> 00:05:47.800]  除去世人的罪孽
[00:05:47.800 --> 00:05:49.800]  在猶太人很重視的一個字眼
[00:05:49.800 --> 00:05:51.800]  就是神愛什麼
[00:05:51.800 --> 00:05:53.800]  世人
[00:05:53.800 --> 00:05:55.800]  神愛世人
[00:05:55.800 --> 00:05:57.800]  神亦參別於獨生兒子
