
[00:00:00.000 --> 00:00:04.880]  我們讀一段聖經,在提摩太后書第一章六節跟七節,
[00:00:04.880 --> 00:00:10.400]  提摩太后書第一章六節跟七節兩節的聖經,我們一同來唸來。
[00:00:10.400 --> 00:00:16.880]  「為此我提醒你,使你將神借我暗手所給你的恩賜再如火眺望起來,
[00:00:16.880 --> 00:00:22.160]  因為神賜給我們不是膽怯的心,乃是剛強仁愛謹守的心。」
[00:00:22.160 --> 00:00:23.680]  第七節再讀一遍來,
[00:00:23.680 --> 00:00:29.640]  「因為神賜給我們不是膽怯的心,乃是剛強仁愛謹守的心。」
[00:00:29.640 --> 00:00:31.720]  我們就讀到這裡。
[00:00:31.720 --> 00:00:33.640]  我想一過了Labor Day的weekend,
[00:00:33.640 --> 00:00:37.760]  就好像你感覺進入一個新的季節,不是嗎?
[00:00:37.760 --> 00:00:42.520]  好像一切都要重新整裝待發了。
[00:00:42.520 --> 00:00:47.720]  的確,這是一個生命重新出發的時刻。
[00:00:47.720 --> 00:00:49.400]  在我們剛才所讀的聖經裡面,
[00:00:49.400 --> 00:00:53.480]  保羅也是這樣他來勸勉提摩太的。
[00:00:53.480 --> 00:00:55.240]  第六節裡面他說,
[00:00:55.240 --> 00:01:01.440]  「為此我提醒你,生命是需要被提醒,
[00:01:01.440 --> 00:01:06.120]  否則很容易在人生的道路當中我們就失去了方向,
[00:01:06.120 --> 00:01:11.000]  我們落入到灰心、失望以及軟弱當中。
[00:01:11.000 --> 00:01:14.520]  特別是在我們屬靈生命的成長上,
[00:01:14.520 --> 00:01:19.880]  我們多麼需要一次一次的被提醒,不是嗎?
[00:01:19.880 --> 00:01:26.320]  多少時候我們的眼目很容易就會看見我們生命當中的過去。
[00:01:26.320 --> 00:01:30.000]  過去的成功、過去的失敗,
[00:01:30.000 --> 00:01:33.960]  都緊緊地牽制著我們的心。
[00:01:33.960 --> 00:01:35.920]  但事實上,弟兄姊妹,
[00:01:35.920 --> 00:01:41.160]  我們的過去其實常常是我們生命當中最大的陷阱,
[00:01:41.160 --> 00:01:42.960]  你知道嗎?
[00:01:42.960 --> 00:01:49.600]  我們生命中的過去常常是攔阻我們生命繼續向前,
[00:01:49.600 --> 00:01:51.640]  最主要的原因。
