
[00:00:00.000 --> 00:00:03.000]  各位朋友午安 你們好
[00:00:03.000 --> 00:00:06.000]  你可以繼續吃東西的 沒問題的
[00:00:06.000 --> 00:00:12.000]  很開心 這次其實是我第二次來這個午餐聚會
[00:00:12.000 --> 00:00:14.000]  我記得是幾年前的時候
[00:00:14.000 --> 00:00:16.000]  多謝老師的邀請
[00:00:16.000 --> 00:00:20.000]  能夠在不同的朋友當中
[00:00:20.000 --> 00:00:24.000]  能夠去分享上帝在我身上高的作為
[00:00:24.000 --> 00:00:29.000]  其實我覺得我自己是一個很平凡的女孩子
[00:00:29.000 --> 00:00:33.000]  沒想過上帝很可愛
[00:00:33.000 --> 00:00:38.000]  用我們往往最軟弱的地方來彰顯祂的榮耀
[00:00:38.000 --> 00:00:41.000]  我簡單介紹一下我自己
[00:00:41.000 --> 00:00:46.000]  其實剛才我說到我是一個很平凡的女孩子
[00:00:46.000 --> 00:00:49.000]  現在為什麼會變得不平凡呢
[00:00:49.000 --> 00:00:54.000]  很多時候都會在不同的場合中去分享我的故事
[00:00:54.000 --> 00:00:57.000]  是因為上帝給了一雙很獨特的手給我
[00:00:57.000 --> 00:00:59.000]  我要給你們看一下
[00:00:59.000 --> 00:01:03.000]  其實我雙手是不正常的
[00:01:03.000 --> 00:01:08.000]  我媽媽懷孕的時候她感染了德國麻疹
[00:01:08.000 --> 00:01:10.000]  所以一出生的時候
[00:01:10.000 --> 00:01:13.000]  我只有正常的右手手指頭和手指尾
[00:01:13.000 --> 00:01:16.000]  中間這三隻其實是黏在一起的
[00:01:16.000 --> 00:01:21.000]  左手右手指頭也有其餘的手指
[00:01:21.000 --> 00:01:23.000]  不過都是全部黏在一起
[00:01:23.000 --> 00:01:29.000]  現在分開了是因為經歷了很多年的矯形外科手術
[00:01:29.000 --> 00:01:36.000]  將黏在一起的肌肉逐年逐點逐點地切開
[00:01:36.000 --> 00:01:39.000]  其實如果你聽到有這樣的情況
[00:01:39.000 --> 00:01:45.000]  你都會覺得這個小朋友的童年都不容易經歷
[00:01:45.000 --> 00:01:46.000]  其實是的
[00:01:46.000 --> 00:01:53.000]  我覺得我最深刻印象的就是醫院一些的情況
[00:01:53.000 --> 00:01:56.000]  因為我由六個月大開始
[00:01:56.000 --> 00:01:58.000]  其實不單止我的手指不正常
[00:01:58.000 --> 00:02:00.000]  我的腳趾也不正常
[00:02:00.000 --> 00:02:02.000]  所以醫生都不知道做什麼
[00:02:02.000 --> 00:02:04.000]  有時候做手有時候做腳
[00:02:04.000 --> 00:02:06.000]  就全部一起來
[00:02:06.000 --> 00:02:09.000]  還要在身體其他的地方
[00:02:09.000 --> 00:02:12.000]  要拿一些皮來補在我的手上
[00:02:12.000 --> 00:02:15.000]  每次都是一些全身麻醉的手術
[00:02:15.000 --> 00:02:20.000]  所以其實我覺得我是受肉體的痛楚
[00:02:20.000 --> 00:02:21.000]  不過因為我很小
[00:02:21.000 --> 00:02:23.000]  所以現在你問我
[00:02:23.000 --> 00:02:25.000]  我會記得那些感受
[00:02:25.000 --> 00:02:27.000]  但是不會說太深
[00:02:27.000 --> 00:02:32.000]  但反而是我覺得我父母他們的經歷是很深的
[00:02:32.000 --> 00:02:35.000]  我見到在座很多是作為父母
[00:02:35.000 --> 00:02:39.000]  可能有些是做了媽媽爺爺公公婆婆
[00:02:39.000 --> 00:02:42.000]  我看回我父母的時候
[00:02:42.000 --> 00:02:46.000]  我覺得都是很大的恩典去托住他們
[00:02:46.000 --> 00:02:52.000]  雖然當時我們全家人都未認識主耶穌
[00:02:52.000 --> 00:02:57.000]  但是你相不相信你的過去
[00:02:57.000 --> 00:02:59.000]  你的現在和你的將來
[00:02:59.000 --> 00:03:02.000]  是掌管在上帝的手裏
[00:03:02.000 --> 00:03:04.000]  我自己就很相信
[00:03:04.000 --> 00:03:09.000]  因為我到我十三歲的時候
[00:03:09.000 --> 00:03:13.000]  才開始認識這個信仰而成為基督徒
[00:03:13.000 --> 00:03:18.000]  我小時候我經常問上天
