
[00:00:00.000 --> 00:00:08.000]  主耶穌復活後向門徒演說:願你們平安
[00:00:08.000 --> 00:00:10.000]  今天是復活節的清晨
[00:00:10.000 --> 00:00:16.000]  我也要用同一句話:願你們平安
[00:00:16.000 --> 00:00:19.000]  今天是復活節的主日
[00:00:19.000 --> 00:00:24.000]  也是我們有水禮和轉會禮的安排
[00:00:24.000 --> 00:00:28.000]  我看到在座當中有些比較陌生的面孔
[00:00:28.000 --> 00:00:30.000]  我就問:是不是來觀禮的?
[00:00:30.000 --> 00:00:32.000]  他們說是來觀禮的
[00:00:32.000 --> 00:00:36.000]  我首先歡迎你們來到我們聖殿當中
[00:00:36.000 --> 00:00:39.000]  來參與今天復活節的崇拜
[00:00:39.000 --> 00:00:43.000]  如果你是有參加開教會的
[00:00:43.000 --> 00:00:49.000]  可能你對崇拜的程序不陌生
[00:00:49.000 --> 00:00:51.000]  如果你是沒有參加開教會的
[00:00:51.000 --> 00:00:54.000]  不過今天特別來看看你的好朋友
[00:00:54.000 --> 00:00:57.000]  或者你的親人是接受水禮的
[00:00:57.000 --> 00:01:00.000]  你可能會有一點陌生的感覺
[00:01:00.000 --> 00:01:02.000]  我也希望你們能夠快速地適應
[00:01:02.000 --> 00:01:07.000]  並且能夠在當中有所領受
[00:01:07.000 --> 00:01:14.000]  復活節我們會說說跟復活有關的聖經和主題
[00:01:14.000 --> 00:01:19.000]  我今天說的是耶穌復活後的兩次顯現
[00:01:19.000 --> 00:01:22.000]  剛才讀的經文是兩卷福音書
[00:01:22.000 --> 00:01:24.000]  也是兩個時段的
[00:01:24.000 --> 00:01:29.000]  一段是耶穌基督在爾瑪五世向兩個門徒顯現
[00:01:29.000 --> 00:01:36.000]  另外一段是在提比利亞海邊向彼得幾個門徒顯現
[00:01:36.000 --> 00:01:41.000]  這兩段的聖經對資深的基督徒來說是很熟悉的
[00:01:41.000 --> 00:01:44.000]  我沒有整篇印出來
[00:01:44.000 --> 00:01:46.000]  整兩段完整印出來的時候
[00:01:46.000 --> 00:01:49.000]  就有很多文字,兩板子才夠
[00:01:49.000 --> 00:01:54.000]  所以我只是把重點拿出來
[00:01:54.000 --> 00:01:58.000]  我相信對聖經有認識的弟兄姊妹
[00:01:58.000 --> 00:02:03.000]  都能夠知道圖像是在說什麼
[00:02:03.000 --> 00:02:06.000]  耶穌復活之後曾經有很多次顯現
[00:02:06.000 --> 00:02:09.000]  包括在墳墓門口有顯現
[00:02:09.000 --> 00:02:12.000]  也都向多瑪顯現
[00:02:12.000 --> 00:02:15.000]  就像我說的叫祂摸我的肋旁
[00:02:15.000 --> 00:02:19.000]  耶穌說過一句「願你們平安」
[00:02:19.000 --> 00:02:23.000]  有很多次顯現,有一次向幾百個人顯現
[00:02:23.000 --> 00:02:25.000]  我最近看了一本書
[00:02:25.000 --> 00:02:29.000]  是一個東正教學者寫的
[00:02:29.000 --> 00:02:33.000]  他提出一個問題
[00:02:33.000 --> 00:02:36.000]  他說關於耶穌基督的死
[00:02:36.000 --> 00:02:40.000]  是一件當時來說很突然的事情
[00:02:40.000 --> 00:02:43.000]  因為大家都是推崇耶穌
[00:02:43.000 --> 00:02:45.000]  耶穌的影響力都很大
[00:02:45.000 --> 00:02:49.000]  突然之間祂被處死
[00:02:49.000 --> 00:02:52.000]  祂的門徒都是很驚惡
[00:02:52.000 --> 00:02:54.000]  而且很害怕
[00:02:54.000 --> 00:02:57.000]  所以基本上都散了
[00:02:57.000 --> 00:03:00.000]  一個很突然間很大的轉變
[00:03:00.000 --> 00:03:04.000]  對於耶穌基督的死是沒有人提出質疑的
[00:03:04.000 --> 00:03:07.000]  因為在眾目睽睽之下
[00:03:07.000 --> 00:03:10.000]  是經過羅馬政府的巡撫
[00:03:10.000 --> 00:03:13.000]  希拉多下令釘死
[00:03:13.000 --> 00:03:15.000]  然後就埋葬
[00:03:15.000 --> 00:03:17.000]  所以對於耶穌基督的死
[00:03:17.000 --> 00:03:20.000]  是沒有提出任何的質疑
[00:03:20.000 --> 00:03:23.000]  但是幾天之後
[00:03:23.000 --> 00:03:26.000]  就傳出耶穌復活
[00:03:26.000 --> 00:03:28.000]  這是一個很大的問題
[00:03:28.000 --> 00:03:30.000]  因為整個基督教的信仰
[00:03:30.000 --> 00:03:32.000]  之所以能夠建立得到
[00:03:32.000 --> 00:03:34.000]  或者能夠發展得到
[00:03:34.000 --> 00:03:37.000]  是基於耶穌基督的復活
[00:03:37.000 --> 00:03:41.000]  門徒沒多久之後就有一個很大的轉變
[00:03:41.000 --> 00:03:48.000]  他就宣講耶穌基督復活了
[00:03:48.000 --> 00:03:52.000]  而更大的問題就是
[00:03:52.000 --> 00:03:55.000]  竟然在一個社會上
[00:03:55.000 --> 00:04:01.000]  或者我們現時所找到的歷史文獻上
[00:04:01.000 --> 00:04:04.000]  當時的社會
[00:04:04.000 --> 00:04:07.000]  有沒有提出一些反證
[00:04:07.000 --> 00:04:09.000]  就是說根本沒有這件事
[00:04:09.000 --> 00:04:11.000]  是門徒虛構的
[00:04:11.000 --> 00:04:12.000]  或者拿出證據來反駁
[00:04:12.000 --> 00:04:15.000]  沒有
[00:04:15.000 --> 00:04:18.000]  大家都接受了
[00:04:18.000 --> 00:04:23.000]  或者駁不了耶穌基督復活這個事實
[00:04:23.000 --> 00:04:26.000]  所以復活不是一個傳說
[00:04:26.000 --> 00:04:30.000]  是一個事實
[00:04:30.000 --> 00:04:32.000]  關於耶穌基督的復活
[00:04:32.000 --> 00:04:35.000]  在福音書裏面有很多次的記載
[00:04:35.000 --> 00:04:38.000]  但我今天是選了兩段
[00:04:38.000 --> 00:04:42.000]  就是在二萬五師和提比利亞
[00:04:42.000 --> 00:04:44.000]  顯現這兩段
[00:04:44.000 --> 00:04:46.000]  為什麼我選這兩段呢
[00:04:46.000 --> 00:04:51.000]  這兩段是在福音書裏面描寫得最詳細的
[00:04:51.000 --> 00:04:55.000]  是用了最多的篇幅來去記述的
[00:04:55.000 --> 00:05:01.000]  而且是很多很細節的描述
[00:05:01.000 --> 00:05:05.000]  如果我們對聖經有認識的話
[00:05:05.000 --> 00:05:07.000]  我們就知道
[00:05:07.000 --> 00:05:10.000]  聖經的作者
[00:05:10.000 --> 00:05:12.000]  是用這麼長的篇幅
[00:05:12.000 --> 00:05:14.000]  這麼仔細地去描述
[00:05:14.000 --> 00:05:17.000]  記下這件事
[00:05:17.000 --> 00:05:20.000]  就是說這件事
[00:05:20.000 --> 00:05:25.000]  是有很重要的意義在裏面
