
[00:00:00.000 --> 00:00:04.920]  新年一年 恭祝大家新年無福主恩常在
[00:00:04.920 --> 00:00:08.520]  還有身體健康 身體健康是非常重要的
[00:00:08.520 --> 00:00:11.920]  相信大部份的弟兄姊妹或朋友
[00:00:11.920 --> 00:00:16.400]  都會有定期做身體檢查的習慣
[00:00:16.400 --> 00:00:19.640]  我們會留意檢查出來的報告
[00:00:19.640 --> 00:00:23.440]  會否有些指數超乎我們的想像
[00:00:23.440 --> 00:00:26.600]  特別是有些癌指數
[00:00:26.600 --> 00:00:29.240]  如果有些情況出現 我們會很擔心
[00:00:29.240 --> 00:00:31.440]  今天講一個新的癌症
[00:00:31.440 --> 00:00:33.760]  因為最近我看到一篇文章
[00:00:33.760 --> 00:00:38.320]  講到一個新的癌症 題目是「冷癌」
[00:00:38.320 --> 00:00:41.320]  我讀這篇文章的內容給大家聽
[00:00:41.320 --> 00:00:44.600]  冷癌發病的原因至今不詳
[00:00:44.600 --> 00:00:48.120]  該病起病急 而且可以迅速惡化
[00:00:48.120 --> 00:00:50.200]  早期診斷率不高
[00:00:50.200 --> 00:00:57.800]  但晚期癌細胞轉移到四肢及全身器官
[00:00:57.800 --> 00:01:03.080]  造成患者全身無力 癱瘓在床上
[00:01:03.080 --> 00:01:06.000]  衣來伸手 飯來張口
[00:01:06.000 --> 00:01:09.560]  冷癌至今未有特效藥
[00:01:09.560 --> 00:01:13.440]  傳統化療和電療都不可以殺死癌細胞
[00:01:13.440 --> 00:01:16.640]  只可以中分初期 中期和晚期
[00:01:16.640 --> 00:01:19.360]  初期患者有一個病徵
[00:01:19.360 --> 00:01:23.240]  會喪失時間觀念 併發拖延症
[00:01:23.240 --> 00:01:26.280]  工作讀書時會喪失激情
[00:01:26.280 --> 00:01:28.720]  拖延一天 推延一天
[00:01:28.720 --> 00:01:36.280]  中期患者會在家或社交群體中
[00:01:36.280 --> 00:01:39.600]  說話時經常帶一個「冷」字
[00:01:39.600 --> 00:01:43.080]  「我懶得下樓」 「我懶得上班」
[00:01:43.080 --> 00:01:44.680]  「我懶得跟你講」
[00:01:44.680 --> 00:01:46.440]  甚至有個情況是
[00:01:46.440 --> 00:01:49.760]  就算這些人本身喜歡逛街買東西
[00:01:49.760 --> 00:01:52.600]  開始慢慢傾向留在家
[00:01:52.600 --> 00:01:56.160]  只打電腦在某個網站上淘寶
[00:01:56.160 --> 00:01:59.240]  冷癌晚期更加嚴重
[00:01:59.240 --> 00:02:02.160]  剛才說到癌細胞已經侵入全身
[00:02:02.160 --> 00:02:05.240]  體能會明顯下降
[00:02:05.240 --> 00:02:06.840]  為了保存體力
[00:02:06.840 --> 00:02:09.880]  患者只能躺在遠處
[00:02:09.880 --> 00:02:11.960]  例如床或沙發上
[00:02:11.960 --> 00:02:15.480]  大家身邊有沒有朋友 親朋好友
[00:02:15.480 --> 00:02:17.480]  發覺都有以上病徵
[00:02:17.480 --> 00:02:21.720]  如果有的話 提醒他們要及早醫治
[00:02:21.720 --> 00:02:25.080]  到這邊很特別的文章時間
[00:02:25.080 --> 00:02:27.240]  不知道大家有什麼感受
[00:02:27.240 --> 00:02:30.880]  可能有人會感到很唏噓 很難過
[00:02:30.880 --> 00:02:33.200]  甚至會覺得很生氣
[00:02:33.200 --> 00:02:35.360]  為什麼有人可以這麼懶
[00:02:35.360 --> 00:02:37.080]  爭氣一點
[00:02:37.080 --> 00:02:41.600]  當年保羅在寫「貼紮羅尼加」後書時
[00:02:41.600 --> 00:02:43.440]  同樣有這樣的感受
[00:02:43.440 --> 00:02:45.400]  剛剛大家讀聖經時
[00:02:45.400 --> 00:02:48.640]  有沒有感受到保羅是對教會內那些
[00:02:48.640 --> 00:02:52.000]  懶惰 無所事事 遊手好閒的那種人
[00:02:52.000 --> 00:02:55.600]  都有這種心情和氣氛
[00:02:55.600 --> 00:02:59.800]  貼紮羅尼加後書其實有三章 很短
[00:02:59.800 --> 00:03:01.880]  三章是針對三個問題
[00:03:01.880 --> 00:03:05.880]  第一章是講到教會外在的逼迫
[00:03:05.880 --> 00:03:07.080]  是怎樣去面對
[00:03:07.080 --> 00:03:12.280]  第二章是講到如何面對錯誤的末世論教導
[00:03:12.280 --> 00:03:13.720]  當然我們今天講的章
[00:03:13.720 --> 00:03:18.360]  主要的部分是講到如何面對一些
[00:03:18.360 --> 00:03:20.880]  懶惰 不屬兇的人
[00:03:20.880 --> 00:03:23.360]  接著我們看到經文裡面
[00:03:23.360 --> 00:03:27.800]  發覺保羅是用一些非常嚴厲的語氣來責備和命令
[00:03:27.800 --> 00:03:29.720]  剛才我很欣賞主席讀聖經時
[00:03:29.720 --> 00:03:33.200]  嘩 真的讀得出保羅那種氣勢
[00:03:33.200 --> 00:03:36.320]  特別是講到奉主耶穌基督的名
[00:03:36.320 --> 00:03:37.840]  靠主耶穌基督
[00:03:37.840 --> 00:03:39.000]  真的很有力
[00:03:39.000 --> 00:03:42.280]  我們想想保羅其實是使徒
[00:03:42.280 --> 00:03:46.120]  他使徒的權柄足以有資格吩咐他們怎樣做
[00:03:46.120 --> 00:03:50.200]  但是為什麼要強烈加入主耶穌基督呢
[00:03:50.200 --> 00:03:51.960]  其實很明顯
[00:03:51.960 --> 00:03:53.400]  這個問題已經成為了
[00:03:53.400 --> 00:03:56.320]  貼薩諾尼加教會裡面一個很嚴重的問題
[00:03:56.320 --> 00:03:58.760]  很嚴肅地去面對
[00:03:58.760 --> 00:04:00.200]  但我們會問這個問題
[00:04:00.200 --> 00:04:03.440]  為什麼教會會出現這個現象
[00:04:03.440 --> 00:04:04.920]  為什麼會出現這個現象呢
[00:04:04.920 --> 00:04:06.800]  有一種解釋就是說
[00:04:06.800 --> 00:04:11.000]  因為他們對末世有一個錯誤的理解
[00:04:11.000 --> 00:04:13.720]  覺得主耶穌基督的再來一個觀念
[00:04:13.720 --> 00:04:15.120]  其實是錯誤了理解
[00:04:15.120 --> 00:04:15.760]  譬如說
[00:04:15.760 --> 00:04:18.320]  他覺得耶穌基督很快就來了
[00:04:18.320 --> 00:04:20.680]  快到我們都不用做事
[00:04:20.680 --> 00:04:23.600]  還有一種錯誤的看法就是
[00:04:23.600 --> 00:04:24.880]  甚至第二章說
[00:04:24.880 --> 00:04:26.800]  耶穌基督已經來了
[00:04:26.800 --> 00:04:28.600]  來了我們做什麼呢
[00:04:28.600 --> 00:04:30.680]  做事很沒意義
[00:04:30.680 --> 00:04:32.200]  不務正業
[00:04:32.200 --> 00:04:34.000]  然後無所事事
[00:04:34.000 --> 00:04:35.320]  事實上
[00:04:35.320 --> 00:04:37.800]  錯誤的末世觀的確是可以
[00:04:37.800 --> 00:04:40.680]  對信徒的生命帶來很大的影響
[00:04:40.680 --> 00:04:44.680]  近代教會歷史上也出現了很多這種情況
[00:04:44.680 --> 00:04:46.280]  其實在香港也發生過
[00:04:46.280 --> 00:04:49.960]  大家都應該聽過一間教會教人喝襄陽水
[00:04:49.960 --> 00:04:51.640]  大家應該知道是哪一間教會
[00:04:51.640 --> 00:04:54.840]  曾經有一位弟兄在那間教會聚會
[00:04:54.840 --> 00:04:56.160]  他是一個屬於資深的弟兄
[00:04:56.160 --> 00:04:58.760]  但是後來就知道這個錯誤就出來了
[00:04:58.760 --> 00:05:00.640]  他姓楊的一位弟兄
[00:05:00.640 --> 00:05:01.680]  1999年的時候
[00:05:01.680 --> 00:05:05.560]  這間教會宣揚一個千禧末日論
[00:05:05.560 --> 00:05:09.520]  這位弟兄是受到這個錯誤的教導的時候
[00:05:09.520 --> 00:05:11.680]  他後面再分享的時候
[00:05:11.680 --> 00:05:12.200]  他就說
[00:05:12.200 --> 00:05:14.360]  他覺得自己那時候已經是被洗腦
[00:05:14.360 --> 00:05:15.520]  失去了理性
[00:05:15.520 --> 00:05:16.560]  為什麼這樣說呢
[00:05:16.560 --> 00:05:18.320]  因為他聽到這個教導的時候
[00:05:18.320 --> 00:05:20.800]  他開始沒有心去做事
[00:05:20.800 --> 00:05:22.840]  放下自己公司的業務
[00:05:22.840 --> 00:05:25.000]  當然沒有心去買樓
[00:05:25.000 --> 00:05:26.720]  接著甚至最嚴重的是
[00:05:26.720 --> 00:05:30.280]  他有兩個小朋友其實應該準備要進幼稚園的
[00:05:30.280 --> 00:05:31.400]  誰知道他覺得
[00:05:31.400 --> 00:05:32.280]  末日都來了
[00:05:32.280 --> 00:05:34.120]  我為什麼為他們預備幼稚園呢
[00:05:34.120 --> 00:05:35.160]  乾脆不用報名
[00:05:35.160 --> 00:05:36.400]  不用去預備
[00:05:36.400 --> 00:05:39.280]  去面試等等
[00:05:39.280 --> 00:05:41.360]  大家如果想知道他的那個情況
[00:05:41.360 --> 00:05:44.440]  可以上網去看看他的那個見證
[00:05:44.440 --> 00:05:46.560]  當我們看到錯誤的這個末日論
[00:05:46.560 --> 00:05:50.120]  的確是會被人帶來一個負面的影響
[00:05:50.120 --> 00:05:51.520]  但我們會問一個問題
[00:05:51.520 --> 00:05:53.080]  當我們這個
[00:05:53.080 --> 00:05:54.640]  這個是不是真正的原因
[00:05:54.640 --> 00:05:56.840]  導致教會當中有人
[00:05:56.840 --> 00:05:59.080]  去不作功
[00:05:59.080 --> 00:06:01.440]  而且反倒專管閒事呢
[00:06:01.440 --> 00:06:03.400]  當我們仔細讀聖經的時候
[00:06:03.400 --> 00:06:06.720]  我們發覺其實這個可能性不是很高的
[00:06:06.720 --> 00:06:09.360]  首先貼上來後書三章十節那裡說
[00:06:09.360 --> 00:06:12.240]  我們在你們那裡的時候
[00:06:12.240 --> 00:06:16.000]  曾吩咐你們若有人不肯作功就不可吃飯
[00:06:16.000 --> 00:06:20.080]  我們在你們那裡的時候是什麼時候
[00:06:20.080 --> 00:06:25.200]  其實就是保羅在接受羅尼加建立教會的時候
[00:06:25.200 --> 00:06:28.000]  因為我們知道保羅是建立了教會
[00:06:28.000 --> 00:06:30.760]  然後沒多久他就去了哥林多
[00:06:30.760 --> 00:06:32.560]  之後哥林多就寫了兩封信
[00:06:32.560 --> 00:06:35.920]  前書和後書給接受羅尼加教會的弟兄姊妹
[00:06:35.920 --> 00:06:39.800]  所以中間是沒有再次回來接受羅尼加教會
[00:06:39.800 --> 00:06:43.000]  所以他講到在你們那裡的時候
[00:06:43.000 --> 00:06:44.400]  初期建立教會的時候
[00:06:44.400 --> 00:06:46.080]  他用了三四個星期在那邊
[00:06:46.080 --> 00:06:47.760]  去報導建立教會的時候
[00:06:47.760 --> 00:06:50.240]  已經看到有些弟兄姊妹是這樣
[00:06:50.240 --> 00:06:51.880]  已經教導他們不要這樣做
[00:06:51.880 --> 00:06:53.560]  不要這樣不作功
[00:06:53.560 --> 00:06:56.200]  所以證明其實他們不是直接的原因
[00:06:56.200 --> 00:06:58.360]  是受活世論的影響
[00:06:58.360 --> 00:06:59.640]  再看一次經文
[00:06:59.640 --> 00:07:03.040]  看回接受羅尼加前書四章十一節那裡講到
[00:07:03.040 --> 00:07:07.720]  他說那裡其實已經有一次再次的去教導他們
[00:07:07.720 --> 00:07:10.040]  立志做安靜人辦自己的事
[00:07:10.040 --> 00:07:11.680]  親手做公正如我們從事
[00:07:11.680 --> 00:07:13.680]  所吩咐你們的
[00:07:13.680 --> 00:07:17.040]  前書講回前面說我吩咐過你們
