
[00:00:00.000 --> 00:00:02.000]  大家就一齊祈禱
[00:00:02.000 --> 00:00:10.000]  多謝天父給我們今天有侍奉動員主人
[00:00:10.000 --> 00:00:14.000]  我們一齊來到去思想對你的侍奉
[00:00:14.000 --> 00:00:16.000]  祝我們心中仰望
[00:00:16.000 --> 00:00:18.000]  仰望聖靈
[00:00:18.000 --> 00:00:21.000]  幫助你明白你自己的真道
[00:00:21.000 --> 00:00:23.000]  也都知道去聽從
[00:00:23.000 --> 00:00:25.000]  求你賜福這段時間
[00:00:25.000 --> 00:00:26.000]  我們仰望祈禱
[00:00:26.000 --> 00:00:28.000]  奉耶穌成名教
[00:00:28.000 --> 00:00:31.000]  看完套的短片
[00:00:31.000 --> 00:00:33.000]  我不知道大家有什麼感受
[00:00:33.000 --> 00:00:35.000]  我第一次看
[00:00:35.000 --> 00:00:37.000]  但是我知道大概的內容
[00:00:37.000 --> 00:00:39.000]  但是當我一路
[00:00:39.000 --> 00:00:42.000]  在想到今天的主人的時候
[00:00:42.000 --> 00:00:43.000]  我就想到
[00:00:43.000 --> 00:00:46.000]  真是透過很多不同的方式
[00:00:46.000 --> 00:00:47.000]  鼓勵我們
[00:00:47.000 --> 00:00:49.000]  侍奉上帝
[00:00:49.000 --> 00:00:51.000]  我好記得在
[00:00:51.000 --> 00:00:53.000]  今次預備的時候
[00:00:53.000 --> 00:00:55.000]  好快就想到一個故事
[00:00:55.000 --> 00:00:58.000]  所以我想先將這個故事和大家分享
[00:00:58.000 --> 00:01:00.000]  這個故事講到一件事情
[00:01:00.000 --> 00:01:03.000]  就是一班美國的遊客
[00:01:03.000 --> 00:01:05.000]  他們去到一個東南亞的國家
[00:01:05.000 --> 00:01:08.000]  在那個地方他們去旅遊
[00:01:08.000 --> 00:01:12.000]  但是他們順道去參觀當地一間麻風病院
[00:01:12.000 --> 00:01:14.000]  還有一間麻風病院
[00:01:14.000 --> 00:01:16.000]  他們去到的時候就見到
[00:01:16.000 --> 00:01:18.000]  有一些義工
[00:01:18.000 --> 00:01:20.000]  有一些志願服務的朋友
[00:01:20.000 --> 00:01:23.000]  在幫那些麻風病患者
[00:01:23.000 --> 00:01:25.000]  去清洗傷口
[00:01:25.000 --> 00:01:28.000]  特別是腳上很多的傷口
[00:01:28.000 --> 00:01:31.000]  其中一位遊客走過去的時候
[00:01:31.000 --> 00:01:34.000]  就留意到這個病人
[00:01:34.000 --> 00:01:38.000]  他的身體已經很瘦弱
[00:01:38.000 --> 00:01:40.000]  但是當他留意到那個傷口
[00:01:40.000 --> 00:01:42.000]  腳上的傷口的時候
[00:01:42.000 --> 00:01:44.000]  是很難看的
[00:01:44.000 --> 00:01:47.000]  因為麻風病者
[00:01:47.000 --> 00:01:49.000]  那些腳部的傷患
[00:01:49.000 --> 00:01:52.000]  是一種很潰爛了的情況
[00:01:52.000 --> 00:01:57.000]  而且是流出很多的膿
[00:01:57.000 --> 00:01:58.000]  當他一看的時候
[00:01:58.000 --> 00:02:01.000]  他感覺很惡心
[00:02:01.000 --> 00:02:02.000]  就在那個時候
[00:02:02.000 --> 00:02:05.000]  他就突然間大聲的說
[00:02:05.000 --> 00:02:06.000]  那些這樣的事情
[00:02:06.000 --> 00:02:08.000]  你給我一百萬
[00:02:08.000 --> 00:02:10.000]  他是美國人當然是說美金
[00:02:10.000 --> 00:02:12.000]  你給我一百萬美金
[00:02:12.000 --> 00:02:16.000]  我都不會做這樣的事
[00:02:16.000 --> 00:02:18.000]  當他停一停的時候
[00:02:18.000 --> 00:02:23.000]  一位義工就突然間抬起頭來
[00:02:23.000 --> 00:02:25.000]  因為他明白他所說
[00:02:25.000 --> 00:02:27.000]  然後他就說
[00:02:27.000 --> 00:02:28.000]  對呀
