
[00:00:00.000 --> 00:00:03.200]  大英姊妹 再次歡迎大家來到我們當中
[00:00:03.200 --> 00:00:05.200]  歡迎我們當中的來賓
[00:00:05.200 --> 00:00:11.600]  我們在這個基督徒的生命
[00:00:11.600 --> 00:00:14.800]  今天是4月的第一個星期
[00:00:14.800 --> 00:00:16.200]  我們開始預備
[00:00:16.200 --> 00:00:18.800]  繼續預備我們的心去迎接這個受難節
[00:00:18.800 --> 00:00:22.600]  我們很多時都希望有一個歡喜快樂的心
[00:00:22.600 --> 00:00:25.400]  去渡過我們的人生
[00:00:25.400 --> 00:00:31.200]  在我們看第一張slide的時候
[00:00:31.200 --> 00:00:32.800]  我們看到就是
[00:00:32.800 --> 00:00:35.600]  我們看第一張slide
[00:00:35.600 --> 00:00:39.800]  原來我近來看到一個報導
[00:00:39.800 --> 00:00:41.800]  在新聞那裡
[00:00:41.800 --> 00:00:43.800]  新聞那裡就說
[00:00:43.800 --> 00:00:47.800]  原來現在在New Jersey有間大學
[00:00:47.800 --> 00:00:50.800]  開始有一個新的碩士課程
[00:00:50.800 --> 00:00:52.800]  這個碩士課程就說
[00:00:52.800 --> 00:00:56.600]  去研究怎樣有一個幸福的生活
[00:00:56.600 --> 00:00:57.800]  這個幸福生活
[00:00:57.800 --> 00:01:00.400]  校長就說希望大家學習
[00:01:00.400 --> 00:01:02.800]  去怎樣過一個幸福快樂的
[00:01:02.800 --> 00:01:05.000]  happiness的課程
[00:01:05.000 --> 00:01:07.400]  去幫助他自己和人與人之間
[00:01:07.400 --> 00:01:08.600]  和在社區上面
[00:01:08.600 --> 00:01:10.200]  甚至是整個社會上面
[00:01:10.200 --> 00:01:13.800]  帶來一些做一些有益有貢獻的事情
[00:01:13.800 --> 00:01:15.800]  其實我們很多時說
[00:01:15.800 --> 00:01:17.000]  我們怎樣尋求
[00:01:17.000 --> 00:01:19.400]  我們怎樣過一個生活
[00:01:19.400 --> 00:01:22.200]  我們基督徒經常都會說
[00:01:22.200 --> 00:01:26.800]  我們不如從聖經上面去學習
[00:01:26.800 --> 00:01:31.600]  我又有個小小的示範給大家看
[00:01:31.600 --> 00:01:35.400]  在我們的
[00:01:35.400 --> 00:01:37.400]  我去快餐店
[00:01:37.400 --> 00:01:39.800]  我很多時說去麥當勞
[00:01:39.800 --> 00:01:41.400]  有個叫Happy Meal
[00:01:41.400 --> 00:01:45.800]  大家一起吃那些兒童的快餐
[00:01:45.800 --> 00:01:48.000]  很多時我的子女就說
[00:01:48.000 --> 00:01:49.400]  喝奶的
[00:01:49.400 --> 00:01:52.800]  我有一個兒童專門喝牛奶
[00:01:52.800 --> 00:01:53.800]  白色的牛奶
[00:01:53.800 --> 00:01:55.000]  只是純白的
[00:01:55.000 --> 00:01:57.200]  他喜歡喝
[00:01:57.200 --> 00:01:58.200]  我就給他一杯
[00:01:58.200 --> 00:02:01.200]  每次叫他都會叫奶
[00:02:01.200 --> 00:02:03.000]  大家都知道我自己
[00:02:03.000 --> 00:02:05.400]  我就喜歡
[00:02:05.400 --> 00:02:08.600]  有人跟我吃過早餐就知道我喜歡喝什麼
[00:02:08.600 --> 00:02:11.600]  我喜歡喝熱朱古力
[00:02:11.600 --> 00:02:12.200]  我喜歡喝熱朱古力
[00:02:12.200 --> 00:02:13.000]  我不喝咖啡的
[00:02:13.000 --> 00:02:13.400]  不好意思
[00:02:13.400 --> 00:02:16.400]  因為我喝咖啡對我太強
[00:02:16.400 --> 00:02:18.400]  可以自製這些熱朱古力
[00:02:18.400 --> 00:02:19.800]  不是,是朱古力奶
[00:02:19.800 --> 00:02:27.800]  擠些朱古力下去
[00:02:27.800 --> 00:02:31.400]  很多時我們尋求幸福的生活的時候
[00:02:31.400 --> 00:02:33.200]  我們會讀經
[00:02:33.200 --> 00:02:34.600]  我們從聖經的華語
[00:02:34.600 --> 00:02:38.000]  浸淫給我們得到力量
[00:02:38.000 --> 00:02:42.200]  但是如果我們不行動的時候
[00:02:42.200 --> 00:02:43.800]  不攪勻它的時候
[00:02:43.800 --> 00:02:47.800]  始終不是一杯朱古力奶
[00:02:47.800 --> 00:02:51.000]  你攪勻它真的要做一個
[00:02:51.000 --> 00:02:56.400]  要做一個要聽道又要行道的主內弟兄姊妹
[00:02:56.400 --> 00:02:57.600]  我們鼓勵大家
[00:02:57.600 --> 00:02:59.000]  我們就會有一個
[00:02:59.000 --> 00:03:02.600]  真的過到一個真實的基督徒的生命
[00:03:02.600 --> 00:03:05.400]  在我們的生命上面
[00:03:05.400 --> 00:03:10.000]  我們都會有這個挑戰在當中
[00:03:10.000 --> 00:03:11.800]  在聖經裡面
[00:03:11.800 --> 00:03:14.400]  我們過去用了兩個主人
[00:03:14.400 --> 00:03:17.400]  去看一個從提多書
[00:03:17.400 --> 00:03:21.400]  去明白到保羅怎樣去鼓勵提多
[00:03:21.400 --> 00:03:25.800]  這個年輕的牧師或者傳道人
[00:03:25.800 --> 00:03:30.600]  他怎樣去教導那幫在他的教會裡面
[00:03:30.600 --> 00:03:34.800]  怎樣去跟隨神去過一個聖潔的生活
[00:03:34.800 --> 00:03:39.400]  因為那裡的教會都出了名的
[00:03:39.400 --> 00:03:43.800]  Creek這個教會在那裡的地方
[00:03:43.800 --> 00:03:46.800]  是出了名是什麼呢
[00:03:46.800 --> 00:03:48.200]  當地的教會是
[00:03:48.200 --> 00:03:50.600]  我們看英文的時候就知道
[00:03:50.600 --> 00:03:56.400]  他們出了名是說他們是有蠶有懶
[00:03:56.400 --> 00:03:58.800]  懶到一個地步是出了名
[00:03:58.800 --> 00:04:02.200]  一聽到隔壁底這個名字
[00:04:02.200 --> 00:04:05.600]  就會聯想到他們的人
[00:04:05.600 --> 00:04:09.400]  當地的人的生命是怎樣情況
[00:04:09.400 --> 00:04:11.600]  但是保羅就鼓勵提多說
[00:04:11.600 --> 00:04:15.800]  你們要一個建立長老去管理他們
[00:04:15.800 --> 00:04:17.000]  去教導他們
[00:04:17.000 --> 00:04:19.800]  要全講這個真理給他們聽到
[00:04:19.800 --> 00:04:23.600]  就是純正的道理告訴他們
