
[00:00:00.000 --> 00:00:02.000]  各位大英之妹、朋友,平安!
[00:00:02.000 --> 00:00:13.000]  再次感謝主,讓我有機會在這裡和大家一起去查考,看神的話語。
[00:00:13.000 --> 00:00:26.000]  上個星期,趙牧師提醒我們,雖然在新的一年,我們都很想快快樂樂。
[00:00:31.000 --> 00:00:37.000]  不過保羅提醒我們,知足有耶穌,這才是常樂的秘訣。
[00:00:37.000 --> 00:00:49.000]  今個星期,讓現實的我帶領大家回到心底最現實的希望。
[00:00:56.000 --> 00:01:01.000]  現實是,其實我們經常都很想在新的一年有個好的開始。
[00:01:01.000 --> 00:01:11.000]  所以在新的一年開始的時候,讓我們回到聖經的第一卷書第一章。
[00:01:11.000 --> 00:01:22.000]  聖經記載世界的起初,看看怎樣才可以有個好的開始。
[00:01:27.000 --> 00:01:31.000]  鼓勵大家都打開《創世紀》第一章。
[00:01:31.000 --> 00:01:37.000]  因為稍後螢光幕上的字會越來越小。
[00:01:37.000 --> 00:01:42.000]  小到你看不到就要看自己手上的聖經。
[00:01:42.000 --> 00:01:52.000]  讓我們今天不單止看聖經記載的第一天,而是看整個第一章,第一至第六天。
[00:01:56.000 --> 00:02:02.000]  看看神有沒有在六天裏面,有些信息是不斷重複強調的。
[00:02:02.000 --> 00:02:16.000]  我們很熟悉《創世紀》記載神怎樣創造這個世界,創造萬物。
[00:02:21.000 --> 00:02:27.000]  祂造天,造水,造地,並且創造其中所有的動物、植物。
[00:02:27.000 --> 00:02:39.000]  不過當我們嘗試更加仔細去留意的時候,其實我們可以發現一件事。
[00:02:39.000 --> 00:02:50.000]  原來神不只是造物,祂在造物的同時更加在萬物當中創造。
[00:02:52.000 --> 00:03:00.000]  原來神不只是造物,祂在造物的同時更加在萬物當中設立了一些東西。
[00:03:00.000 --> 00:03:08.000]  神在當中設立了秩序和界限。
[00:03:14.000 --> 00:03:26.000]  創世紀載說,起初地是混沌空虛,圓面黑暗,然後神就在第一天創造了光,並且將光和暗分開。
[00:03:26.000 --> 00:03:34.000]  神又在天上創造了光體。
[00:03:34.000 --> 00:03:43.000]  他們是有用的,他們用來分晝夜,作記號,定節令日子年歲。
[00:03:45.000 --> 00:03:49.000]  神用這些光體來管理晝夜,分別明暗。
[00:03:49.000 --> 00:03:56.000]  神又在珠水之間創造了空氣。
[00:03:56.000 --> 00:04:00.000]  神又在珠水之間創造了空氣。
[00:04:00.000 --> 00:04:03.000]  神又在珠水之間創造了空氣。
[00:04:03.000 --> 00:04:06.000]  神又在珠水之間創造了空氣。
[00:04:06.000 --> 00:04:09.000]  神又在珠水之間創造了空氣。
[00:04:09.000 --> 00:04:12.000]  神又在珠水之間創造了空氣。
[00:04:13.000 --> 00:04:15.000]  神又在珠水之間創造了空氣。
[00:04:15.000 --> 00:04:18.000]  神又在珠水之間創造了空氣。
[00:04:18.000 --> 00:04:21.000]  神又在珠水之間創造了空氣。
[00:04:21.000 --> 00:04:24.000]  神又在珠水之間創造了空氣。
[00:04:24.000 --> 00:04:27.000]  神又在珠水之間創造了空氣。
[00:04:27.000 --> 00:04:30.000]  神又在珠水之間創造了空氣。
[00:04:30.000 --> 00:04:33.000]  神又在珠水之間創造了空氣。
[00:04:33.000 --> 00:04:36.000]  神又在珠水之間創造了空氣。
[00:04:36.000 --> 00:04:39.000]  神又在珠水之間創造了空氣。
[00:04:39.000 --> 00:04:42.000]  神又在珠水之間創造了空氣。
[00:04:43.000 --> 00:04:45.000]  神又在珠水之間創造了空氣。
[00:04:45.000 --> 00:04:48.000]  神又在珠水之間創造了空氣。
[00:04:48.000 --> 00:04:51.000]  神又在珠水之間創造了空氣。
[00:04:51.000 --> 00:04:54.000]  神又在珠水之間創造了空氣。
[00:04:54.000 --> 00:04:57.000]  神又在珠水之間創造了空氣。
[00:04:57.000 --> 00:05:00.000]  神又在珠水之間創造了空氣。
[00:05:00.000 --> 00:05:03.000]  神又在珠水之間創造了空氣。
[00:05:03.000 --> 00:05:06.000]  神又在珠水之間創造了空氣。
[00:05:06.000 --> 00:05:09.000]  神又在珠水之間創造了空氣。
[00:05:09.000 --> 00:05:12.000]  神又在珠水之間創造了空氣。
[00:05:13.000 --> 00:05:15.000]  神又在珠水之間創造了空氣。
