
[00:00:00.000 --> 00:00:02.000]  鳳子明問候弟兄姊妹平安
[00:00:02.000 --> 00:00:04.740]  鳳祖的名問候弟兄姊妹平安
[00:00:04.740 --> 00:00:06.560]  也恭祝大家新年快樂
[00:00:06.560 --> 00:00:08.560]  也恭祝大家新年快樂
[00:00:08.560 --> 00:00:10.560]  這裡有很多做父母的
[00:00:10.560 --> 00:00:12.560]  在這裡有很多當父母的
[00:00:12.560 --> 00:00:17.840]  我記得有些做父母對子女說
[00:00:17.840 --> 00:00:20.520]  我記得有些父母對兒女們說
[00:00:20.520 --> 00:00:22.840]  或者子女對父母說
[00:00:22.840 --> 00:00:25.320]  或者他們的兒女們跟父母說
[00:00:25.320 --> 00:00:26.620]  最好什麼新年禮物呢
[00:00:26.620 --> 00:00:28.620]  最好的新年禮物是什麼呢
[00:00:28.620 --> 00:00:30.620]  這些做父母的怎麼說呢
[00:00:30.620 --> 00:00:32.620]  你知道父母怎麼樣說
[00:00:32.620 --> 00:00:34.620]  激少一點我
[00:00:34.620 --> 00:00:36.620]  你小一點吃我吧
[00:00:36.620 --> 00:00:38.620]  不用買禮物
[00:00:38.620 --> 00:00:40.620]  我想問問做父母的贊不贊成這句
[00:00:40.620 --> 00:00:42.620]  我想問大部分的父母贊不贊成這句話
[00:00:42.620 --> 00:00:44.620]  贊成嗎
[00:00:44.620 --> 00:00:46.620]  贊成嗎
[00:00:46.620 --> 00:00:48.620]  很多做子女聽到這句了
[00:00:48.620 --> 00:00:50.620]  在這裡也有很多兒女們聽到這句話
[00:00:50.620 --> 00:00:52.620]  你爸爸媽媽很好的不用你花錢的
[00:00:52.620 --> 00:00:54.620]  對父母好的不用你花太多錢
[00:00:54.620 --> 00:00:56.620]  不要使他傷心
[00:00:56.620 --> 00:00:58.620]  不要使他傷心
[00:00:58.620 --> 00:01:00.620]  我今天的題目呢
[00:01:00.620 --> 00:01:02.620]  今天我的題目
[00:01:02.620 --> 00:01:04.620]  大家看到了音聲也是
[00:01:04.620 --> 00:01:06.620]  第三講了
[00:01:06.620 --> 00:01:08.620]  大家看到題目就是任性的由大地上講
[00:01:08.620 --> 00:01:10.620]  我題目是上帝的憂傷
[00:01:10.620 --> 00:01:12.620]  我題目是上帝的憂傷
[00:01:12.620 --> 00:01:14.620]  這個副題是上帝的憂傷
[00:01:14.620 --> 00:01:16.620]  the sorrow of God
[00:01:16.620 --> 00:01:18.620]  the sorrow of God
[00:01:18.620 --> 00:01:20.620]  上帝很憂傷
[00:01:20.620 --> 00:01:22.620]  上帝很憂傷的
[00:01:22.620 --> 00:01:24.620]  大家要留意一件事
[00:01:24.620 --> 00:01:26.620]  這個經文跟我有什麼關係呢
[00:01:26.620 --> 00:01:28.620]  這樣的經文跟我有什麼關係呢
[00:01:28.620 --> 00:01:30.620]  我爸爸媽媽叫我不要讓他憂傷
[00:01:30.620 --> 00:01:32.620]  我父母跟我說不要讓他憂傷
[00:01:32.620 --> 00:01:34.620]  上帝是我的
[00:01:34.620 --> 00:01:36.620]  爸爸甚至
[00:01:36.620 --> 00:01:38.620]  祖先的
[00:01:38.620 --> 00:01:40.620]  天父
[00:01:40.620 --> 00:01:42.620]  上帝是我的父母也是我的
[00:01:42.620 --> 00:01:44.620]  祖先的天父
[00:01:44.620 --> 00:01:46.620]  所以我們最終是不要
[00:01:46.620 --> 00:01:48.620]  不單止我們不要使爸爸媽媽憂傷
[00:01:48.620 --> 00:01:50.620]  你和你的爸爸媽媽都不要
[00:01:50.620 --> 00:01:52.620]  使上帝憂傷
[00:01:52.620 --> 00:01:54.620]  我們要知道我們父母不擔心
[00:01:54.620 --> 00:01:56.620]  也同時我們要跟我們父母一樣
[00:01:56.620 --> 00:01:58.620]  不讓上帝憂傷
[00:01:58.620 --> 00:02:00.620]  所以今天的經文對我們是很有
[00:02:00.620 --> 00:02:02.620]  關係的
[00:02:02.620 --> 00:02:04.620]  所以今天的經文跟我們有很親切的關係
[00:02:04.620 --> 00:02:06.620]  但是在舊約歷史當中
[00:02:06.620 --> 00:02:08.620]  在舊約的歷史當中
[00:02:08.620 --> 00:02:10.620]  神的子民
[00:02:10.620 --> 00:02:12.620]  竟然使上帝憂傷
[00:02:12.620 --> 00:02:14.620]  今天知道上帝憂傷
[00:02:14.620 --> 00:02:16.620]  那上帝怎麼憂傷呢
[00:02:16.620 --> 00:02:18.620]  經文告訴我們
[00:02:18.620 --> 00:02:20.620]  其實第三講就是
[00:02:20.620 --> 00:02:22.620]  八章十八節至到
[00:02:22.620 --> 00:02:24.620]  九章二十五節開始
[00:02:24.620 --> 00:02:26.620]  這一段的經文
[00:02:26.620 --> 00:02:28.620]  應該是從第八章十八節到九章二十五節
[00:02:28.620 --> 00:02:30.620]  這個段落來說的
[00:02:30.620 --> 00:02:32.620]  是開始一系列的哭泣
[00:02:32.620 --> 00:02:34.620]  是開始一系列的哭泣
[00:02:34.620 --> 00:02:36.620]  哀傷
