
[00:00:00.000 --> 00:00:06.000]  今天我會講到在教會里面的團契
[00:00:06.000 --> 00:00:11.000]  如果我不是基督徒的話
[00:00:11.000 --> 00:00:23.000]  如果我被邀請來到團契當中去參加
[00:00:23.000 --> 00:00:26.000]  那我就會形容團契是這樣的地方
[00:00:26.000 --> 00:00:36.000]  我會這樣形容,基督徒是一個很友善的人
[00:00:36.000 --> 00:00:39.000]  他們很喜歡喫東西
[00:00:39.000 --> 00:00:45.000]  他們很喜歡看着YouTube唱卡拉OK
[00:00:45.000 --> 00:00:51.000]  然後他們就會去討論一本書叫聖經
[00:00:51.000 --> 00:00:58.000]  然後他們就以祈禱結束,然後回家
[00:00:58.000 --> 00:01:04.000]  但因爲我們在座的大部分都是基督徒
[00:01:04.000 --> 00:01:08.000]  我就會問另外一個問題
[00:01:08.000 --> 00:01:13.000]  爲什麼你會參加團契?
[00:01:13.000 --> 00:01:18.000]  可能你會這樣回答
[00:01:18.000 --> 00:01:28.000]  我可以參加團契去與其他基督徒相交
[00:01:28.000 --> 00:01:31.000]  可以與他們一起禱告
[00:01:31.000 --> 00:01:37.000]  可以與他們一起學習神的話語
[00:01:37.000 --> 00:01:43.000]  然後在信心當中一起成長
[00:01:43.000 --> 00:01:46.000]  這些都是好的答案,對嗎?
[00:01:46.000 --> 00:01:50.000]  但我接下來的問題就是
[00:01:50.000 --> 00:01:54.000]  然後呢?
[00:01:54.000 --> 00:02:08.000]  做完這些之後會做什麼呢?
[00:02:08.000 --> 00:02:13.000]  對於團契是什麼,和爲什麼要有團契這件事
[00:02:13.000 --> 00:02:19.000]  我們要清楚知道教會的存在意義是什麼
[00:02:19.000 --> 00:02:34.000]  由一月起,我在英文和粵語的地方一直講這個題目
[00:02:43.000 --> 00:02:46.000]  在英文部的弟兄姐妹那裏講完之後一兩次
[00:02:46.000 --> 00:02:49.000]  有弟兄姐妹就和我說
[00:02:49.000 --> 00:02:54.000]  Pastor Adrian,請你在星期日的早上都分享這些信息
[00:02:54.000 --> 00:03:03.000]  因此我想在三個會談當中都分享這個信息
[00:03:03.000 --> 00:03:09.000]  有些人覺得教會是一個可有可無的選擇
[00:03:13.000 --> 00:03:17.000]  因爲他們可以在家裏留在家中,在電視面前去敬拜
[00:03:17.000 --> 00:03:22.000]  但教會不是可有可無的選擇
[00:03:22.000 --> 00:03:28.000]  因爲神對他的教會是有個目的
[00:03:28.000 --> 00:03:41.000]  在希臘名Eklesias裏面,翻譯成英文有兩個字
[00:03:43.000 --> 00:03:48.000]  Eklesias的第一部分EK,第一個部分翻譯爲"出去外面"
[00:03:48.000 --> 00:04:01.000]  Klesia這個字其實有另一個字叫做Kaleo
[00:04:01.000 --> 00:04:06.000]  Kaleo就是焦序
[00:04:13.000 --> 00:04:18.000]  這兩個字放在一起就是那些焦序在外面的人
[00:04:18.000 --> 00:04:34.000]  在這個世界裏面被神焦序分別了出來在地上見證他的人
[00:04:34.000 --> 00:04:40.000]  在新約裏面這個字出現了一百一十五次
[00:04:42.000 --> 00:04:45.000]  全部都是被翻譯爲教會
[00:04:45.000 --> 00:04:53.000]  除了《仕途行傳》十九章三十二、三十九和四十一節
[00:04:53.000 --> 00:05:00.000]  那裏的字被翻譯成聚集的人
[00:05:12.000 --> 00:05:14.000]  有些人就覺得這樣的翻譯
[00:05:14.000 --> 00:05:17.000]  聚集的人這個翻譯是更好的翻譯
[00:05:17.000 --> 00:05:26.000]  因爲他是指向這一班人被焦序聚集在一起
[00:05:26.000 --> 00:05:36.000]  另外一個字翻譯爲教會的就是Kyriakon
[00:05:39.000 --> 00:05:42.000]  就是被獻上級主的
[00:05:42.000 --> 00:05:44.000]  爲什麼?
[00:05:44.000 --> 00:05:56.000]  因爲這個字經常被去形容那些被神使用的地方
[00:05:56.000 --> 00:06:02.000]  這個殿是被分別爲被神用
[00:06:07.000 --> 00:06:10.000]  是會堂或者基督的身體
[00:06:10.000 --> 00:06:23.000]  講這些不是要表演給你們看
[00:06:23.000 --> 00:06:27.000]  也不是選擇哪個字是比較好的翻譯
[00:06:37.000 --> 00:06:39.000]  但是每一個字都讓我們看得到
[00:06:39.000 --> 00:06:42.000]  認識到教會的某一方面的特質
[00:06:42.000 --> 00:06:50.000]  然後我們就可以知道教會這個字的定義
[00:06:50.000 --> 00:07:06.000]  保羅是用一個比喻形容教會是一個基督的身體
[00:07:06.000 --> 00:07:10.000]  在地上是有形有體的去代表基督
[00:07:10.000 --> 00:07:22.000]  也都是形容到身體裏面各部分不同
[00:07:22.000 --> 00:07:23.000]  是有很多元化
[00:07:23.000 --> 00:07:26.000]  也都是代表着不同的功能
[00:07:26.000 --> 00:07:34.000]  也都是在哥倫多前書裏面形容到身體的不同部分
[00:07:36.000 --> 00:07:42.000]  這就幫助我們瞭解到教會其實是一個羣體的信徒
[00:07:42.000 --> 00:07:47.000]  從他們在的世界裏召集出來
[00:07:47.000 --> 00:07:50.000]  來代表神
[00:07:50.000 --> 00:07:54.000]  在他們聚會的地方
[00:08:04.000 --> 00:08:06.000]  那接下來的問題
[00:08:06.000 --> 00:08:08.000]  至少對我來說
[00:08:08.000 --> 00:08:10.000]  現在我們知道我們是一個教會
[00:08:10.000 --> 00:08:13.000]  那我們怎麼去代表神呢?
[00:08:13.000 --> 00:08:26.000]  其實耶穌給了教導我們
[00:08:26.000 --> 00:08:28.000]  我們怎麼去代表祂
[00:08:35.000 --> 00:08:38.000]  第一個教導就是
[00:08:38.000 --> 00:08:41.000]  洗萬民作惡的門徒
[00:08:41.000 --> 00:08:49.000]  就是出外去到不同的地方去告訴別人關於神
[00:08:49.000 --> 00:08:59.000]  換句話說
[00:08:59.000 --> 00:09:02.000]  基督的身體就在地上代表神
[00:09:02.000 --> 00:09:05.000]  是要去洗萬民作祂的門徒
[00:09:05.000 --> 00:09:16.000]  我們在這個本地的教會
[00:09:16.000 --> 00:09:20.000]  那個目的就是在這個本地當中去代表神
[00:09:27.000 --> 00:09:32.000]  而第一個建立的教會就在耶路撒冷
[00:09:32.000 --> 00:09:43.000]  當耶穌昇天之後第一間教會就成立
[00:09:43.000 --> 00:09:48.000]  是不是第一贈信會呢?
[00:09:48.000 --> 00:09:53.000]  還是五旬節教會呢?
[00:09:57.000 --> 00:10:00.000]  而好像我們這樣是非宗派的教會
[00:10:00.000 --> 00:10:06.000]  因此我們更符合聖經
[00:10:06.000 --> 00:10:14.000]  這個教會在《仕途行傳》第二章形容給我們看
[00:10:14.000 --> 00:10:19.000]  現在我們一起翻開聖經
[00:10:19.000 --> 00:10:23.000]  到《仕途行傳》第二章第42節開始
[00:10:26.000 --> 00:10:31.000]  現在我們一起去讀《仕途行傳》第二章42-47節
[00:10:56.000 --> 00:11:00.000]  這個就是形容到教會而不是第一個團體聚會
[00:11:25.000 --> 00:11:30.000]  雖然團契或者在希臘文道Colonia這個字是在這裏用
[00:11:30.000 --> 00:11:43.000]  縱然如此我們現在所有的團契
[00:11:43.000 --> 00:11:46.000]  是和當時的團契生活不同
[00:11:46.000 --> 00:11:50.000]  我會之後再解釋多一點
[00:11:55.000 --> 00:12:02.000]  首先我們要提到團契的目的是培育門徒
[00:12:02.000 --> 00:12:14.000]  耶穌在《馬太福音》第二十八章告訴門徒洗漫文
[00:12:14.000 --> 00:12:20.000]  而那些門徒就成爲了教會
[00:12:20.000 --> 00:12:24.000]  而我們是教會
[00:12:26.000 --> 00:12:28.000]  我們是有同一個目標
[00:12:28.000 --> 00:12:32.000]  那我們應該如何做呢?
[00:12:32.000 --> 00:12:36.000]  耶穌就給另外一個教導
[00:12:36.000 --> 00:12:40.000]  在更早的時間教導
[00:12:40.000 --> 00:12:42.000]  《馬太福音》二十二章
[00:12:42.000 --> 00:12:50.000]  是那個最大的誡命
[00:12:50.000 --> 00:12:52.000]  就是愛人如己
[00:12:55.000 --> 00:12:57.000]  因爲耶穌在《馬太福音》中說
[00:12:57.000 --> 00:13:07.000]  如果你們彼此相愛
[00:13:07.000 --> 00:13:10.000]  衆人就認出你們是基督的門徒
[00:13:26.000 --> 00:13:31.000]  而不僅僅是在教會中互相彼此相愛
[00:13:31.000 --> 00:13:34.000]  而是去你的輪舍那裏去愛他們
[00:13:34.000 --> 00:13:39.000]  其他人見到就會被吸引和你接觸
[00:13:39.000 --> 00:13:42.000]  就可以有機會將福音傳給他們
[00:13:42.000 --> 00:13:53.000]  那個大誡命就給了你
[00:13:53.000 --> 00:13:56.000]  而方法就是去愛神和愛人
[00:13:56.000 --> 00:14:04.000]  現代的教會比起早期教會是很不同
[00:14:04.000 --> 00:14:13.000]  尤其在教會如何去實行的時候
