
[00:00:00.000 --> 00:00:04.920]  我們感謝神透過施班所獻送的詩歌
[00:00:04.920 --> 00:00:09.920]  提醒我們耶穌基督的榮耀的再來
[00:00:09.920 --> 00:00:14.760]  祂的再來會叫我們快樂感恩
[00:00:14.760 --> 00:00:17.720]  會讓我們經歷一種心靈的震撼
[00:00:17.720 --> 00:00:20.760]  因為基督耶穌祂的真理
[00:00:20.760 --> 00:00:23.040]  不單止今天正在進行
[00:00:23.040 --> 00:00:25.440]  而且始終會得逞
[00:00:25.440 --> 00:00:28.520]  因為祂用祂的真理創造天地
[00:00:28.520 --> 00:00:31.680]  也因此我們靠著祂的真理
[00:00:31.680 --> 00:00:34.040]  我們得蒙拯救
[00:00:34.040 --> 00:00:37.040]  當我們來唱頌這位上帝的時候
[00:00:37.040 --> 00:00:39.000]  也知道這位上帝
[00:00:39.000 --> 00:00:42.400]  祂要將永遠榮耀的恩典
[00:00:42.400 --> 00:00:45.240]  和我們分享
[00:00:45.240 --> 00:00:47.320]  我們也在期待
[00:00:47.320 --> 00:00:48.520]  那位耶穌基督
[00:00:48.520 --> 00:00:51.080]  這位我們生命的主的再臨
[00:00:51.080 --> 00:00:54.600]  在當中去讚美祂 去尊崇祂
[00:00:54.600 --> 00:00:56.520]  我們今天會接續再看
[00:00:56.520 --> 00:00:59.800]  彼得後書有關主再來的真理
[00:00:59.800 --> 00:01:02.080]  大家在一起先同心祈禱
[00:01:02.080 --> 00:01:13.640]  創造天地的主
[00:01:13.640 --> 00:01:16.680]  我們的主耶穌基督
[00:01:16.680 --> 00:01:20.120]  每當我們想到祢自己的拯救
[00:01:20.120 --> 00:01:23.240]  我們就深深感覺不配
[00:01:23.240 --> 00:01:27.200]  人算甚麼 祢竟然眷顧我們
[00:01:27.200 --> 00:01:28.720]  我們曾經得罪祢
[00:01:28.720 --> 00:01:31.160]  曾經犯罪祢 欺理祢
[00:01:31.160 --> 00:01:33.000]  但祢竟然樂意為我們
[00:01:33.000 --> 00:01:35.840]  釘死在十字架上
[00:01:35.840 --> 00:01:39.400]  但主啊 祢並不是那位失敗的救主
[00:01:39.400 --> 00:01:43.680]  祢是透過死亡來勝過死亡
[00:01:43.680 --> 00:01:45.760]  祢從死亡中復活
[00:01:45.760 --> 00:01:50.000]  以大能證明祢是生命的主宰
[00:01:50.000 --> 00:01:52.960]  主啊 知祢要駕雲角臨
[00:01:52.960 --> 00:01:54.920]  萬室要向祢跪拜
[00:01:54.920 --> 00:01:57.040]  萬口要向祢承認
[00:01:57.040 --> 00:02:01.400]  因為祢的確是天地宇宙的主宰
[00:02:01.400 --> 00:02:04.680]  我們有幸今天能夠被祢所揀選
[00:02:04.680 --> 00:02:06.320]  能夠認識祢
[00:02:06.320 --> 00:02:09.680]  能夠和我們的弟兄姊妹一起敬拜祢
[00:02:09.680 --> 00:02:12.080]  是何等大的恩惠
[00:02:12.080 --> 00:02:14.600]  因此我們到祢的面前來再一次表達
[00:02:14.600 --> 00:02:16.920]  主啊 我們要尊崇祢
[00:02:16.920 --> 00:02:18.760]  也願意在人生的路上
[00:02:18.760 --> 00:02:20.280]  主幫助我們
[00:02:20.280 --> 00:02:23.680]  每一天以祢為我們生命的主
[00:02:23.680 --> 00:02:26.440]  也都真的知道為祢而活
[00:02:26.440 --> 00:02:28.000]  主啊 祢教導我們
[00:02:28.000 --> 00:02:30.640]  常常思念祢再來的事
[00:02:30.640 --> 00:02:33.320]  以致我們心得著激勵
[00:02:33.320 --> 00:02:35.840]  有清晰的眼光
[00:02:35.840 --> 00:02:39.800]  分辨世間先後的價值
[00:02:39.800 --> 00:02:41.800]  以致我們能夠去追隨
[00:02:41.800 --> 00:02:44.680]  真正有永恆價值的事情
[00:02:44.680 --> 00:02:47.000]  如今我們打開聖經思想祢的說話
[00:02:47.000 --> 00:02:48.240]  天上的主
[00:02:48.240 --> 00:02:51.000]  求祢藉著真理的聖靈指教我們
[00:02:51.000 --> 00:02:53.080]  在我們心中工作
[00:02:53.080 --> 00:02:54.240]  除去障礙
[00:02:54.240 --> 00:02:56.120]  讓我們因為祢的說話
[00:02:56.120 --> 00:02:58.960]  我們的心可以真正的飽足
[00:02:58.960 --> 00:03:01.000]  我們這樣仰望禱告
[00:03:01.000 --> 00:03:03.280]  奉耶穌基督成名求
[00:03:03.280 --> 00:03:05.120]  阿門
[00:03:05.120 --> 00:03:06.800]  我請大家再遣返聖經
[00:03:06.800 --> 00:03:14.840]  彼得後書第一章的經文
[00:03:14.840 --> 00:03:16.480]  彼得後書第一章的經文
[00:03:16.480 --> 00:03:19.520]  在當中提到神給我們的應許
[00:03:19.520 --> 00:03:20.960]  但在看經文之前
[00:03:20.960 --> 00:03:23.000]  我想先說一件
[00:03:23.000 --> 00:03:25.520]  我想大家都會熟悉的一件事情
[00:03:25.520 --> 00:03:27.480]  就是聖經所說到的
[00:03:27.480 --> 00:03:30.000]  十個童女的比喻
[00:03:30.000 --> 00:03:31.480]  《馬太福音》二十五章提到
[00:03:31.480 --> 00:03:33.040]  有十個童女
[00:03:33.040 --> 00:03:35.480]  其中五個是聰明的
[00:03:35.480 --> 00:03:36.200]  她們聰明
[00:03:36.200 --> 00:03:38.160]  因為她們不單止點著燈
[00:03:38.160 --> 00:03:40.000]  亦都預備好油
[00:03:40.000 --> 00:03:44.280]  當油用盡的時候可以補添
[00:03:44.280 --> 00:03:47.200]  有另外五個童女是愚拙的
[00:03:47.200 --> 00:03:48.960]  她們沒錯點著燈
[00:03:48.960 --> 00:03:51.600]  但是沒有預備油
[00:03:51.600 --> 00:03:52.920]  以致有些時候
[00:03:52.920 --> 00:03:54.440]  當油用盡的時候
[00:03:54.440 --> 00:03:55.800]  燈就熄滅
[00:03:55.800 --> 00:03:58.560]  不再能夠照耀出來
[00:03:58.560 --> 00:04:01.560]  當我們等待新郎來到的時候
[00:04:01.560 --> 00:04:03.400]  新郎延遲了
[00:04:03.400 --> 00:04:04.360]  聖經就說
[00:04:04.360 --> 00:04:06.520]  有一些人就開始打盹
[00:04:06.520 --> 00:04:08.560]  開始睡覺
[00:04:08.560 --> 00:04:09.760]  突然半夜的時候
[00:04:09.760 --> 00:04:10.640]  有人告訴他們
[00:04:10.640 --> 00:04:13.080]  新郎來了
[00:04:13.080 --> 00:04:16.040]  愚拙的童女就發覺自己的燈
[00:04:16.040 --> 00:04:17.600]  開始熄滅了
[00:04:17.600 --> 00:04:19.400]  但是沒有預備油
[00:04:19.400 --> 00:04:21.280]  所以她們就想向那些
[00:04:21.280 --> 00:04:23.920]  有油的人借用
[00:04:23.920 --> 00:04:24.640]  但是對方說
[00:04:24.640 --> 00:04:26.920]  對不起我們不足夠給你
[00:04:26.920 --> 00:04:29.760]  所以她們就去買油
[00:04:29.760 --> 00:04:30.880]  在這段時間
[00:04:30.880 --> 00:04:32.600]  新郎回來了
[00:04:32.600 --> 00:04:35.640]  因此她迎接這五個聰明的童女
[00:04:35.640 --> 00:04:37.120]  去到房子
[00:04:37.120 --> 00:04:39.080]  去到屋子裏面
[00:04:39.080 --> 00:04:41.560]  在這時候就關上門
[00:04:41.560 --> 00:04:43.760]  聖經就說五個愚拙的童女
[00:04:43.760 --> 00:04:45.680]  回來之後發覺
[00:04:45.680 --> 00:04:48.240]  新郎已經進了屋子
[00:04:48.240 --> 00:04:50.840]  所以她們就敲門想進去
[00:04:50.840 --> 00:04:56.320]  但是一句令我們很難過的話
[00:04:56.320 --> 00:04:57.120]  新郎就說
[00:04:57.120 --> 00:05:00.160]  我實實在在告訴你們
[00:05:00.160 --> 00:05:05.120]  我並不認識你們
[00:05:05.120 --> 00:05:06.720]  這段聖經接著就說
[00:05:06.720 --> 00:05:09.000]  他說因此你們要警醒
[00:05:09.000 --> 00:05:11.640]  因為你們不知道主會在哪個日子
[00:05:11.640 --> 00:05:14.280]  哪個時辰回來
[00:05:14.280 --> 00:05:15.320]  祂何時回來
[00:05:15.320 --> 00:05:17.040]  你和我都不會知道
[00:05:17.040 --> 00:05:19.120]  但是我們要作出預備
[00:05:19.120 --> 00:05:20.360]  要警醒
[00:05:20.360 --> 00:05:24.360]  隨時迎見我們的主
[00:05:24.360 --> 00:05:26.760]  這個重要的經文鼓勵我們
[00:05:26.760 --> 00:05:30.800]  要預備好迎見各位將會再來的基督
[00:05:30.800 --> 00:05:32.520]  我們上個星期會說到
[00:05:32.520 --> 00:05:34.320]  彼得前書一章所說
[00:05:34.320 --> 00:05:38.600]  神賜給我們又寶貴又極大的應許
[00:05:38.600 --> 00:05:41.720]  叫我們脫離從情慾裡的敗壞
[00:05:41.720 --> 00:05:44.760]  我們不再需要受罪的克制著
[00:05:44.760 --> 00:05:47.880]  然後神賜給我們有屬神的生命
[00:05:47.880 --> 00:05:50.440]  與神的性情有份
[00:05:50.440 --> 00:05:52.520]  因此我們要更加殷勤
[00:05:52.520 --> 00:05:55.280]  去兌現這些的應許
[00:05:55.280 --> 00:05:56.640]  沒錯給了你
[00:05:56.640 --> 00:06:00.640]  但是如果你不是嘗試去走出來
[00:06:00.640 --> 00:06:04.840]  以致神的應許能夠實現在你生命當中
[00:06:04.840 --> 00:06:08.560]  應許不能夠承傳在你身上
[00:06:08.560 --> 00:06:13.520]  所以聖經說有了信心加上德行
[00:06:13.520 --> 00:06:15.680]  有了德行又加上知識
[00:06:15.680 --> 00:06:19.120]  一路的鼓勵我們殷勤地追求
[00:06:19.120 --> 00:06:20.360]  但是除了這個應許之外
[00:06:20.360 --> 00:06:21.480]  聖經很清楚提及到
[00:06:21.480 --> 00:06:24.840]  就是主耶穌祂再回來的應許
[00:06:24.840 --> 00:06:28.240]  聖經就勉勵我們要常常去追念
[00:06:28.240 --> 00:06:31.480]  去思念主再來的這個應許
[00:06:31.480 --> 00:06:34.000]  亦都是在經文下面接續
[00:06:34.000 --> 00:06:36.920]  我們今天要說的經文
[00:06:36.920 --> 00:06:41.200]  是一章的第十二節
