
[00:00:00.000 --> 00:00:07.000]  我想和大家看一下幾條通識問題
[00:00:07.000 --> 00:00:12.000]  一隻貓的壽命有多長?
[00:00:12.000 --> 00:00:15.000]  有沒有人養貓的?
[00:00:15.000 --> 00:00:17.000]  有啊,有
[00:00:17.000 --> 00:00:20.000]  貓的壽命是12年到18年
[00:00:20.000 --> 00:00:24.000]  野貓是12年
[00:00:24.000 --> 00:00:27.000]  我曾經看過一本書叫做《蘇格蘭的野貓》
[00:00:27.000 --> 00:00:30.000]  我就愛上了《蘇格蘭的野貓》
[00:00:30.000 --> 00:00:31.000]  都是12年
[00:00:31.000 --> 00:00:34.000]  但你家裡那隻就長命一點
[00:00:34.000 --> 00:00:37.000]  老鼠的壽命有多長呢?
[00:00:37.000 --> 00:00:39.000]  兩年
[00:00:39.000 --> 00:00:44.000]  老鼠遇見貓壽命就會縮短
[00:00:44.000 --> 00:00:47.000]  熊的壽命有多長呢?
[00:00:47.000 --> 00:00:50.000]  我在加拿大生活很多年
[00:00:50.000 --> 00:00:53.000]  見過鐘熊、黑熊、北極熊
[00:00:53.000 --> 00:00:58.000]  熊的壽命是25到35年
[00:00:58.000 --> 00:01:00.000]  北極熊就短命一點
[00:01:00.000 --> 00:01:06.000]  可能牠只是吃肉類
[00:01:06.000 --> 00:01:09.000]  這幅照片是我拍的
[00:01:09.000 --> 00:01:12.000]  在北冰洋工作的時候拍的
[00:01:12.000 --> 00:01:17.000]  那些北極熊就在冰塊中間的水
[00:01:17.000 --> 00:01:20.000]  喜歡經常爬出來找東西吃
[00:01:20.000 --> 00:01:24.000]  我就盡量避免跟北極熊會面
[00:01:24.000 --> 00:01:28.000]  因為會影響我的壽命
[00:01:28.000 --> 00:01:31.000]  人的壽命有多長呢?
[00:01:31.000 --> 00:01:35.000]  人有一樣東西就跟熊相似的
[00:01:35.000 --> 00:01:39.000]  就是吃肉越多就壽命越短
[00:01:39.000 --> 00:01:41.000]  香港人就例外
[00:01:41.000 --> 00:01:43.000]  香港人吃很多肉
[00:01:43.000 --> 00:01:46.000]  但是又活到八十幾九十歲
[00:01:46.000 --> 00:01:50.000]  不過這麼長壽命好像也不是很夠
[00:01:50.000 --> 00:01:52.000]  所以我們中國的詩人
[00:01:52.000 --> 00:01:55.000]  幾千年來就寫了很多詩
[00:01:55.000 --> 00:01:59.000]  來哀嘆人生的短暫
[00:01:59.000 --> 00:02:02.000]  其中一首我中學讀過的
[00:02:02.000 --> 00:02:06.000]  就是李白的《張進走》
[00:02:06.000 --> 00:02:08.000]  有沒有人讀過這首詩的?
[00:02:08.000 --> 00:02:10.000]  有沒有請你舉手?
[00:02:10.000 --> 00:02:12.000]  你們的中文程度挺好的
[00:02:12.000 --> 00:02:16.000]  香港教育制度真的差不多
[00:02:16.000 --> 00:02:22.000]  李白哀嘆人生的短暫
[00:02:22.000 --> 00:02:25.000]  就借酒消愁
[00:02:25.000 --> 00:02:28.000]  張進走的「張」字就是「請」
[00:02:28.000 --> 00:02:30.000]  請你來喝酒
[00:02:30.000 --> 00:02:32.000]  因為他覺得人生沒有意義
[00:02:32.000 --> 00:02:35.000]  他第一句就提到人生的短暫
[00:02:35.000 --> 00:02:42.000]  「君不見黃河之水,天上來,奔流到海不復回。」
[00:02:42.000 --> 00:02:45.000]  就是說人生就好像黃河的水
[00:02:45.000 --> 00:02:48.000]  去了就不能夠再回來
[00:02:48.000 --> 00:02:50.000]  第二句更慘
[00:02:50.000 --> 00:02:57.000]  「君不見高堂明鏡,悲白髮,朝夕青絲霧成樹。」
[00:02:57.000 --> 00:03:00.000]  你看我照鏡子
[00:03:00.000 --> 00:03:03.000]  早上還是一個黑髮少年
[00:03:03.000 --> 00:03:05.000]  傍晚就白髮蒼蒼
[00:03:05.000 --> 00:03:08.000]  好像羅木斯那樣
[00:03:08.000 --> 00:03:11.000]  所以他最後就說
[00:03:11.000 --> 00:03:13.000]  不如我唱一首歌給你聽
[00:03:13.000 --> 00:03:17.000]  今天的競敗隊唱的歌真的很厲害
[00:03:17.000 --> 00:03:21.000]  跟福堂好像很多有恩賜的人
[00:03:21.000 --> 00:03:23.000]  李白可能唱歌都可以
