
[00:00:00.000 --> 00:00:03.320]  今日我讀的經文是提摩泰前書
[00:00:03.320 --> 00:00:07.420]  提摩泰是保羅的一個學生
[00:00:07.420 --> 00:00:10.500]  史陶保羅是一個很出名的人
[00:00:10.500 --> 00:00:12.280]  在初期教會他有
[00:00:12.280 --> 00:00:15.880]  建立了很多,也是一個很重視教育的人
[00:00:15.880 --> 00:00:18.940]  他勸勉提摩泰
[00:00:18.940 --> 00:00:22.520]  不要讓人小看你年輕
[00:00:22.520 --> 00:00:26.360]  提摩泰當時相對比較年輕
[00:00:26.880 --> 00:00:31.480]  你要在言語、行為、愛心、信心、純潔上做信徒的榜樣
[00:00:31.480 --> 00:00:33.540]  不要忽略所得的恩賜
[00:00:33.540 --> 00:00:34.560]  要
[00:00:34.560 --> 00:00:38.140]  殷勤、要專心、要使人看出你的
[00:00:38.140 --> 00:00:39.940]  長進來
[00:00:39.940 --> 00:00:45.320]  我用這段經文
[00:00:45.320 --> 00:00:47.360]  作為一個中心跟大家講
[00:00:47.360 --> 00:00:50.680]  使人看出我們的長進來
[00:00:50.680 --> 00:00:54.280]  中國人有兩個節
[00:00:55.300 --> 00:00:58.620]  春秋兩個節,一個是清明節
[00:00:58.620 --> 00:01:00.160]  一個是重陽節
[00:01:00.160 --> 00:01:03.740]  中秋過後就到重陽
[00:01:03.740 --> 00:01:06.560]  同學們可能有個經驗
[00:01:06.560 --> 00:01:09.120]  我們去掃墓
[00:01:09.120 --> 00:01:11.420]  我媽媽
[00:01:11.420 --> 00:01:13.220]  是客家人來的
[00:01:13.220 --> 00:01:15.020]  惠東
[00:01:15.020 --> 00:01:18.340]  對同學可能陌生,廣東省的惠東
[00:01:18.340 --> 00:01:22.440]  他們的習慣不是重陽掃墓
[00:01:23.200 --> 00:01:27.040]  是初九,剛剛對上的
[00:01:27.040 --> 00:01:29.600]  9月9號,即是上一個禮拜
[00:01:29.600 --> 00:01:34.200]  我舅父和我的表弟
[00:01:34.200 --> 00:01:35.480]  一起回去
[00:01:35.480 --> 00:01:36.500]  掃墓
[00:01:36.500 --> 00:01:38.560]  探望
[00:01:38.560 --> 00:01:40.100]  我媽媽鄉間的人
[00:01:40.100 --> 00:01:44.700]  難得我的表兄弟一起聚會
[00:01:44.700 --> 00:01:48.020]  出來後我們在羅湖吃飯
[00:01:48.020 --> 00:01:50.580]  我的表弟
[00:01:50.580 --> 00:01:53.140]  比我小很多,他有個兒子
[00:01:53.400 --> 00:01:54.180]  9歲
[00:01:54.180 --> 00:01:57.000]  今年讀四年班
[00:01:57.000 --> 00:02:01.860]  他太太是德國人,他兒子
[00:02:01.860 --> 00:02:06.980]  是德國和中國人的混血兒
[00:02:06.980 --> 00:02:09.020]  他讀主流學校
[00:02:09.020 --> 00:02:11.060]  不是讀國際學校
