
[00:00:00.000 --> 00:00:02.480]  開始之前我們一起祈禱
[00:00:30.000 --> 00:00:32.320]  我們腳前的燈 路上的光
[00:00:32.320 --> 00:00:34.400]  使我們的生命不再是惡
[00:00:34.400 --> 00:00:36.400]  但是基督的心在我們裡面
[00:00:36.400 --> 00:00:37.680]  主我們多謝祢
[00:00:37.680 --> 00:00:39.840]  聽我們每個孩子心中的禱告
[00:00:39.840 --> 00:00:42.640]  奉耶穌基督得聖的名字祈求
[00:00:42.640 --> 00:00:43.760]  阿們
[00:00:43.760 --> 00:00:47.120]  開始之前我們背兩句金句
[00:00:47.120 --> 00:00:49.680]  我們大年初四應該背一下金句
[00:00:49.680 --> 00:00:52.160]  先背一下我左手邊的金句
[00:00:52.160 --> 00:00:53.680]  大家看不看得到?
[00:00:53.680 --> 00:00:54.320]  好
[00:00:54.320 --> 00:00:56.320]  看不到嗎?
[00:00:56.320 --> 00:00:58.320]  懂不懂得背?
[00:00:58.320 --> 00:01:01.520]  好,懂得背就背,不懂就看
[00:01:01.520 --> 00:01:04.320]  背完這一句就要背右手邊
[00:01:04.320 --> 00:01:05.440]  可以嗎?
[00:01:05.440 --> 00:01:08.000]  好,先背我的左手邊
[00:01:08.000 --> 00:01:10.000]  好,預備,1,2,3
[00:01:10.000 --> 00:01:15.600]  也要顧別人的事
[00:01:15.600 --> 00:01:17.600]  好,右手邊
[00:01:17.600 --> 00:01:23.840]  做不做得到?
[00:01:23.840 --> 00:01:25.840]  做得到請舉手
[00:01:25.840 --> 00:01:28.880]  嘩,好多人做得到
[00:01:28.880 --> 00:01:31.920]  做得到的時候問你幾個問題
[00:01:31.920 --> 00:01:35.920]  你知不知道什麼叫做
[00:01:35.920 --> 00:01:37.920]  以基督的心為心呢?
[00:01:37.920 --> 00:01:41.680]  為什麼教會今年的主題
[00:01:41.680 --> 00:01:44.160]  是要用以基督的心為心呢?
[00:01:44.160 --> 00:01:46.160]  那你說,莫先生
[00:01:46.160 --> 00:01:48.160]  教會合一嘛,答案就是
[00:01:48.160 --> 00:01:51.600]  最後一個問題就問你
[00:01:51.600 --> 00:01:53.600]  你怎樣才能夠活出
[00:01:53.600 --> 00:01:55.600]  以基督的心為心呢?
[00:01:55.600 --> 00:01:57.600]  其實說就很容易
[00:01:57.600 --> 00:01:59.600]  做就真的挺難的
[00:01:59.600 --> 00:02:01.600]  當你特別
[00:02:01.600 --> 00:02:03.600]  聽完今天保羅他在肥納比書
[00:02:03.600 --> 00:02:05.600]  他自己說出
[00:02:05.600 --> 00:02:07.600]  忘記背後,他背後真正的意義的時候
[00:02:07.600 --> 00:02:09.600]  讓我們在讓年
[00:02:09.600 --> 00:02:11.600]  我們都要立志
[00:02:11.600 --> 00:02:13.600]  什麼活出
[00:02:13.600 --> 00:02:15.600]  是基督的心為心
[00:02:15.600 --> 00:02:17.600]  有四卷的書呢
[00:02:17.600 --> 00:02:19.600]  稱為監獄書信
[00:02:19.600 --> 00:02:21.600]  就是肥納比書
[00:02:21.600 --> 00:02:23.600]  以弗所書,哥羅西書
[00:02:23.600 --> 00:02:25.600]  和肥練門書
[00:02:25.600 --> 00:02:27.600]  叫監獄書信
[00:02:27.600 --> 00:02:29.600]  是保羅在坐牢的時候寫的
[00:02:29.600 --> 00:02:31.600]  那這幾卷書呢
[00:02:31.600 --> 00:02:33.600]  其實
[00:02:33.600 --> 00:02:35.600]  是保羅在肥納比的時候
[00:02:35.600 --> 00:02:37.600]  他之前
[00:02:37.600 --> 00:02:39.600]  聖靈感動他
[00:02:39.600 --> 00:02:41.600]  他原本是去亞細亞廣道的
[00:02:41.600 --> 00:02:43.600]  不過聖靈就說你不要去那裡
[00:02:43.600 --> 00:02:45.600]  不如去馬其頓吧
[00:02:45.600 --> 00:02:47.600]  於是保羅去了馬其頓
[00:02:47.600 --> 00:02:49.600]  就建立了這間肥納比教會
[00:02:49.600 --> 00:02:51.600]  所以呢
[00:02:51.600 --> 00:02:53.600]  新的學者都叫這個肥納比書信
[00:02:53.600 --> 00:02:55.600]  一幅借銜
[00:02:55.600 --> 00:02:57.600]  多謝肥納比教會
[00:02:57.600 --> 00:02:59.600]  為什麼要多謝肥納比教會呢?
[00:02:59.600 --> 00:03:01.600]  因為肥納比教會
[00:03:01.600 --> 00:03:03.600]  托一個人帶了一份禮物
[00:03:03.600 --> 00:03:05.600]  送給保羅
[00:03:05.600 --> 00:03:07.600]  這位受託人就叫
[00:03:07.600 --> 00:03:09.600]  以巴弗提
[00:03:09.600 --> 00:03:11.600]  這個以巴弗提不幸
[00:03:11.600 --> 00:03:13.600]  當時的路途遙遠
[00:03:13.600 --> 00:03:15.600]  去到羅馬就病了
[00:03:15.600 --> 00:03:17.600]  他康復之後
[00:03:17.600 --> 00:03:19.600]  保羅就寫了這封肥納比書信
[00:03:19.600 --> 00:03:21.600]  給以巴弗提
[00:03:21.600 --> 00:03:23.600]  讓他帶回去
[00:03:23.600 --> 00:03:25.600]  肥納比教會
[00:03:25.600 --> 00:03:27.600]  多謝肥納比教會的弟兄姊妹
[00:03:27.600 --> 00:03:29.600]  給他一份禮物
[00:03:29.600 --> 00:03:31.600]  當然在他們的傾談當中
[00:03:31.600 --> 00:03:33.600]  保羅都和以巴弗提的口中
[00:03:33.600 --> 00:03:35.600]  知道這間教會的情況
[00:03:35.600 --> 00:03:37.600]  實際是怎樣
