
[00:00:00.000 --> 00:00:02.160]  還記得上個禮拜我們講什麼嗎
[00:00:02.160 --> 00:00:07.620]  還記得嗎 一個禮拜
[00:00:07.620 --> 00:00:10.660]  上禮拜講什麼
[00:00:10.660 --> 00:00:15.600]  令人
[00:00:15.600 --> 00:00:17.900]  令人
[00:00:17.900 --> 00:00:19.720]  想念的
[00:00:19.720 --> 00:00:22.120]  教會 Amen
[00:00:22.120 --> 00:00:24.600]  保羅
[00:00:24.600 --> 00:00:27.360]  在這一個書信裡面
[00:00:27.880 --> 00:00:30.420]  保羅 你看剛才我們讀的經文裡面
[00:00:30.420 --> 00:00:32.660]  其實保羅問案之後呢
[00:00:32.660 --> 00:00:35.480]  保羅接著就是一個
[00:00:35.480 --> 00:00:36.680]  為他們的禱告
[00:00:36.680 --> 00:00:40.480]  這個禱告很長 從第三節開始一直到了
[00:00:40.480 --> 00:00:43.560]  我們今天到十一節 但是我們可能講不完
[00:00:43.560 --> 00:00:48.040]  保羅說 我每逢想念你們
[00:00:48.040 --> 00:00:50.100]  就感謝我的神
[00:00:50.100 --> 00:00:55.280]  每逢為你們眾人祈求的時候 嘗試
[00:00:55.280 --> 00:00:57.460]  歡歡喜喜的祈求
[00:00:57.460 --> 00:01:00.720]  請問 我們在座的
[00:01:00.720 --> 00:01:03.280]  你 都有禱告過吧 是不是
[00:01:03.280 --> 00:01:07.480]  你喜歡禱告嗎 問你旁邊的人 你喜歡禱告嗎
[00:01:07.480 --> 00:01:09.460]  你喜歡禱告嗎
[00:01:09.460 --> 00:01:12.200]  誠實喔 喜歡嗎
[00:01:12.200 --> 00:01:15.700]  有多少人說 我很喜歡禱告 舉手
[00:01:15.700 --> 00:01:20.300]  感謝讚美主 我都要看到你們參加禱告會
[00:01:20.300 --> 00:01:25.800]  應該要 剛才忘了請高牧師照個相 好不好
[00:01:27.640 --> 00:01:28.640]  再來一次
[00:01:28.640 --> 00:01:33.120]  主都看到了
[00:01:33.120 --> 00:01:35.700]  就是為 坦白說啦
[00:01:35.700 --> 00:01:37.180]  我很真實的講啦
[00:01:37.180 --> 00:01:39.300]  很多時候
[00:01:39.300 --> 00:01:43.180]  禱告其實啊 我們是不喜歡的
[00:01:43.180 --> 00:01:44.180]  是吧
[00:01:44.180 --> 00:01:48.500]  吃飯喜不喜歡
[00:01:48.500 --> 00:01:53.360]  吃飯沒有人不喜歡的 對不對
[00:01:53.360 --> 00:01:55.860]  所以你看教會如果辦啪啦啦
[00:01:55.860 --> 00:01:59.360]  辦什麼聚餐啊 唉呦 人都來了
[00:01:59.360 --> 00:02:02.360]  假設我們這個什麼愛子歸來啊
[00:02:02.360 --> 00:02:05.300]  之前再來一個愛宴 免費
[00:02:05.300 --> 00:02:08.960]  大家一起來吃飯 我告訴你 包準是五百多坐滿
[00:02:08.960 --> 00:02:12.900]  親愛的丟子們
[00:02:12.900 --> 00:02:16.320]  但是我們先說 請大家來參加
[00:02:16.320 --> 00:02:19.460]  禱告會 特別如果說是禁食禱告會
[00:02:19.460 --> 00:02:20.460]  唉呦
[00:02:20.460 --> 00:02:22.400]  那很挑戰了吼 是不是
[00:02:22.400 --> 00:02:25.780]  但是親愛的丟子們 保羅他在為
[00:02:25.780 --> 00:02:29.000]  菲律賓教會的時候 他為他們禱告
[00:02:29.000 --> 00:02:32.500]  而且他為他禱告的時候 他說 我每逢
[00:02:32.500 --> 00:02:35.480]  想念你們 就感謝
[00:02:35.480 --> 00:02:36.480]  我的事
[00:02:36.480 --> 00:02:40.380]  保羅不是只是因為 菲律賓教會才如此喔
[00:02:40.380 --> 00:02:41.740]  我們來看看吼
[00:02:41.740 --> 00:02:45.440]  我們來看看
[00:02:45.440 --> 00:02:47.680]  保羅在這個
[00:02:47.680 --> 00:02:51.700]  你看 尹夫所述第一章 第十六節
[00:02:51.700 --> 00:02:52.700]  他說
[00:02:52.700 --> 00:02:55.700]  我就為你們不住的感謝神
[00:02:55.700 --> 00:02:58.700]  禱告的時候常提到你們 所以保羅為尹夫所說的
[00:02:58.700 --> 00:03:01.760]  尹夫所的教會禱告的時候 他說 我為你們
[00:03:01.760 --> 00:03:04.580]  不住的 怎麼樣 感謝神
[00:03:04.580 --> 00:03:07.180]  然後呢 你看 哥羅西書也是一樣
[00:03:07.180 --> 00:03:09.980]  我們感謝神 因聽見你們在
[00:03:09.980 --> 00:03:12.920]  基督耶穌裡的信心 並向眾聖徒的愛心
[00:03:12.920 --> 00:03:15.500]  所以保羅為哥羅西的教會怎麼樣
[00:03:15.500 --> 00:03:17.040]  感謝神
[00:03:17.040 --> 00:03:21.620]  好了 再來一個 哥林多前書
[00:03:21.620 --> 00:03:24.480]  第一章 第四節 我們一起來讀這一節
[00:03:24.480 --> 00:03:27.520]  哥林多前書 第一章 第四節 來 預備 請
[00:03:27.520 --> 00:03:30.160]  我常為你們感謝我的神
[00:03:30.160 --> 00:03:33.480]  因神所賜給你們的恩惠
[00:03:33.480 --> 00:03:36.940]  丟這邊 哥林多教會 我上禮拜講過
[00:03:36.940 --> 00:03:38.820]  哥林多的教會是一個什麼教會
[00:03:38.820 --> 00:03:41.820]  是一個問題教會
[00:03:41.820 --> 00:03:45.960]  哥林多教會 他們真是富足
[00:03:45.960 --> 00:03:49.560]  而且他們這個口才
[00:03:49.560 --> 00:03:51.460]  他們的恩賜都很好
[00:03:52.600 --> 00:03:55.560]  但是這個教會充滿了結黨紛爭
[00:03:55.560 --> 00:03:59.400]  但是保羅在為這個教會一開始的禱告裡面
[00:03:59.400 --> 00:04:00.900]  他說 我為你們 怎麼樣
[00:04:00.900 --> 00:04:02.580]  感謝神
[00:04:02.580 --> 00:04:06.000]  所以保羅的禱告 保羅在這裡
[00:04:06.000 --> 00:04:09.060]  讓我們看清楚一件事情 他為這教會
[00:04:09.060 --> 00:04:11.880]  一開始就禱告 第一件事情
[00:04:11.880 --> 00:04:14.580]  表明保羅很看重禱告 第二個就是
[00:04:14.580 --> 00:04:17.580]  保羅為他們 不管是哪一個教會
[00:04:17.580 --> 00:04:20.580]  有問題的教會 沒問題的教會 他為他們禱告
[00:04:20.580 --> 00:04:22.580]  一開始他先感謝 阿門
[00:04:22.580 --> 00:04:26.180]  所以Praise first 跟我說
[00:04:26.180 --> 00:04:28.060]  讚美第一 阿門
[00:04:28.060 --> 00:04:29.980]  感謝第一 阿門
[00:04:29.980 --> 00:04:33.340]  所以 親愛的丟字妹 這是我們要學習的禱告
[00:04:33.340 --> 00:04:36.320]  親愛的丟字妹 不管你有多少的問題
[00:04:36.320 --> 00:04:39.240]  不管你有多少的難處 但是首先你先來怎麼樣
[00:04:39.240 --> 00:04:41.080]  先來感謝
[00:04:41.080 --> 00:04:46.120]  大衛是一個禱告的人
[00:04:46.120 --> 00:04:49.420]  聖經裡面提到說 大衛一天禱告幾次啊
[00:04:50.580 --> 00:04:51.580]  幾次啊
[00:04:51.580 --> 00:04:55.780]  詩篇才剛快讀完
[00:04:55.780 --> 00:04:57.580]  大衛一天禱告幾次
[00:04:57.580 --> 00:05:01.040]  三次 對不對 請問大衛一天
[00:05:01.040 --> 00:05:02.400]  讚美幾次
[00:05:02.400 --> 00:05:04.760]  七次
[00:05:04.760 --> 00:05:09.680]  所以表明一件事情
[00:05:09.680 --> 00:05:13.080]  大衛不僅僅看他是一個禱告的人
[00:05:13.080 --> 00:05:16.440]  他也是一個懂得讚美的人
[00:05:16.440 --> 00:05:19.000]  但是請問大衛的人生是不是一帆風順
[00:05:19.980 --> 00:05:22.920]  是不是 你如果讀他的詩篇你會發現
[00:05:22.920 --> 00:05:25.660]  真是苦啊這個人 是不是
[00:05:25.660 --> 00:05:28.100]  他經歷了很多的苦楚
[00:05:28.100 --> 00:05:31.600]  他常常都是在被掃羅追殺的時候
[00:05:31.600 --> 00:05:34.600]  被他自己的兒子壓沙龍追殺的時候
[00:05:34.600 --> 00:05:37.480]  他在面臨逼迫的時候
[00:05:37.480 --> 00:05:40.480]  他在亞渡藍洞藏身在裡面的時候
[00:05:40.480 --> 00:05:43.480]  他在那個地方來讚美神
[00:05:43.480 --> 00:05:46.460]  說 神啊 你是我的山寨 是我的高台
[00:05:46.460 --> 00:05:49.340]  是我在患難中隨時的幫助
[00:05:49.340 --> 00:05:50.340]  是嗎
[00:05:50.340 --> 00:05:53.160]  請問這是基督徒
[00:05:53.160 --> 00:05:56.240]  這是我們基督徒的信仰
[00:05:56.240 --> 00:05:57.240]  我們所信的這一位神
[00:05:57.240 --> 00:06:00.640]  讓我們可以在患難的中間
[00:06:00.640 --> 00:06:02.320]  我們還能夠發出讚美
[00:06:02.320 --> 00:06:06.100]  所以
[00:06:06.100 --> 00:06:09.420]  大衛一天七次讚美神
[00:06:09.420 --> 00:06:12.800]  舊約還有一個人
[00:06:12.800 --> 00:06:16.860]  是可以說也是用他來預表基督的
[00:06:16.860 --> 00:06:18.100]  還有誰
[00:06:19.360 --> 00:06:20.880]  剛才我們講的大衛還有誰
[00:06:20.880 --> 00:06:26.880]  《創世紀》裡面講的約瑟 記不記得
[00:06:26.880 --> 00:06:28.880]  約瑟
[00:06:28.880 --> 00:06:32.060]  還記得嗎 當他看見一個異象
[00:06:32.060 --> 00:06:35.240]  他的哥哥們都向他跪拜
[00:06:35.240 --> 00:06:36.240]  是不是
[00:06:36.240 --> 00:06:39.340]  好了 糟糕了 看到這個異象之後
[00:06:39.340 --> 00:06:40.340]  從此他的命運很坎坷了
[00:06:40.340 --> 00:06:43.540]  所以他這一路上面就被他哥哥把他賣
[00:06:43.540 --> 00:06:46.520]  對不對 還記得這個故事嗎 最後賣到哪裡去了
[00:06:46.860 --> 00:06:49.940]  賣到埃及去了 結果在埃及上帝
[00:06:49.940 --> 00:06:52.640]  祝福他 是不是 所以他變成宰相
[00:06:52.640 --> 00:06:55.320]  好了 君子報仇 十年不晚
[00:06:55.320 --> 00:06:57.440]  結果哥哥來了
[00:06:57.440 --> 00:07:00.700]  哥哥不知道他做宰相了 哥哥來了
[00:07:00.700 --> 00:07:03.980]  哥哥來因為饑荒 來這邊討糧了
[00:07:03.980 --> 00:07:06.480]  結果請問
[00:07:06.480 --> 00:07:10.000]  當兄弟相見的時候
[00:07:10.000 --> 00:07:11.600]  在《創世紀》裡面記載著
[00:07:11.600 --> 00:07:15.340]  這些哥哥們很害怕 一看 原來
[00:07:15.480 --> 00:07:18.140]  糟糕了 以為老弟早就已經死掉了
[00:07:18.140 --> 00:07:20.740]  怎麼現在做了宰相了 慘了
[00:07:20.740 --> 00:07:22.480]  是不是
[00:07:22.480 --> 00:07:26.420]  請問 約瑟怎麼說
[00:07:26.420 --> 00:07:32.500]  這句話很有名的
[00:07:32.500 --> 00:07:36.360]  約瑟對他們說 不要害怕
