
[00:00:00.000 --> 00:00:06.360]  各位睇完節目後,我們今天看一段少林傳的很重要的經文
[00:00:06.360 --> 00:00:08.180]  我們一齊有禱告先
[00:00:08.180 --> 00:00:13.120]  天父多謝祢給我們今天有崇拜
[00:00:13.120 --> 00:00:14.880]  有祢自己的華語提醒
[00:00:14.880 --> 00:00:18.360]  願祢的華語被講得明白
[00:00:18.360 --> 00:00:22.060]  我們聖靈在我們當中也提醒
[00:00:22.060 --> 00:00:25.240]  去幫助我們,以致我們生命得到轉化
[00:00:25.240 --> 00:00:27.940]  我們這樣祈禱,奉主耶穌基督的名
[00:00:27.940 --> 00:00:29.060]  阿們
[00:00:31.000 --> 00:00:35.000]  今天我們再看看我們生命的迴轉
[00:00:35.000 --> 00:00:37.000]  這是我們的主題
[00:00:37.000 --> 00:00:40.000]  或者我講一件經歷
[00:00:40.000 --> 00:00:42.000]  我有一次去到一班
[00:00:42.000 --> 00:00:44.000]  應該是兩年前
[00:00:44.000 --> 00:00:46.000]  去到澳門那裡
[00:00:46.000 --> 00:00:48.000]  有一班弟兄姐妹去到短孫
[00:00:48.000 --> 00:00:50.000]  短期服務
[00:00:50.000 --> 00:00:53.000]  我們有一個環節
[00:00:53.000 --> 00:00:57.000]  就是去到街頭報道
[00:00:57.000 --> 00:00:59.000]  我們有一些呼音單張
[00:00:59.000 --> 00:01:01.000]  我拿了這單張
[00:01:01.000 --> 00:01:04.000]  很想和一些路人
[00:01:04.000 --> 00:01:07.000]  如果有機會可以站在那裡
[00:01:07.000 --> 00:01:09.000]  可以講一講呼音
[00:01:09.000 --> 00:01:10.000]  分享一下
[00:01:10.000 --> 00:01:11.000]  發覺不多
[00:01:11.000 --> 00:01:15.000]  有一位年輕的少年人過來
[00:01:15.000 --> 00:01:17.000]  他也很友善
[00:01:17.000 --> 00:01:21.000]  我就去將呼音單張跟他說
[00:01:21.000 --> 00:01:23.000]  然後他又願意聽
[00:01:23.000 --> 00:01:25.000]  我就很開心
[00:01:25.000 --> 00:01:27.000]  將呼音有機會跟他說
[00:01:27.000 --> 00:01:29.000]  他又信了主
[00:01:29.000 --> 00:01:31.000]  接著我再問
[00:01:31.000 --> 00:01:33.000]  這位年輕人告訴我
[00:01:33.000 --> 00:01:36.000]  其實他之前已經信了主
[00:01:36.000 --> 00:01:39.000]  我問他有沒有回到教會
[00:01:39.000 --> 00:01:41.000]  他說沒有
[00:01:41.000 --> 00:01:48.000]  你好像沒有什麼機會去成長
[00:01:48.000 --> 00:01:51.000]  沒有什麼聖經的教導
[00:01:51.000 --> 00:01:55.000]  我就很鄭重的鼓勵他
[00:01:55.000 --> 00:01:57.000]  你快點去教會
[00:01:57.000 --> 00:01:59.000]  不然這次很好
[00:01:59.000 --> 00:02:00.000]  你又信了耶穌
[00:02:00.000 --> 00:02:03.000]  不然你又會再刁淡
[00:02:03.000 --> 00:02:05.000]  很可惜
[00:02:05.000 --> 00:02:07.000]  當時我們去短孫
[00:02:07.000 --> 00:02:14.000]  是和澳門成人教育中心一起工作
[00:02:14.000 --> 00:02:18.000]  我就寫了成教的地址
[00:02:18.000 --> 00:02:20.000]  你千萬要去這裡
[00:02:20.000 --> 00:02:23.000]  他怎樣都會介紹教會給你
[00:02:23.000 --> 00:02:26.000]  我不知道將來這位年輕人怎樣
[00:02:26.000 --> 00:02:28.000]  但我感覺做牧者
[00:02:28.000 --> 00:02:30.000]  有時我都會問
[00:02:30.000 --> 00:02:32.000]  有點擔心
[00:02:32.000 --> 00:02:37.000]  不少信徒未必會有一個教會的生活
[00:02:37.000 --> 00:02:39.000]  一個熟齡的家在那裡成長
[00:02:39.000 --> 00:02:41.000]  有些信了主
[00:02:41.000 --> 00:02:43.000]  但他沒有回到教會
[00:02:43.000 --> 00:02:46.000]  或者就算回到教會
[00:02:46.000 --> 00:02:51.000]  不太投入裡面的生活去成長
[00:02:51.000 --> 00:02:55.000]  或者有一次我們會問
[00:02:55.000 --> 00:02:57.000]  為什麼會有這樣的情況
[00:02:57.000 --> 00:03:00.000]  有一次我和一位姊妹去談
[00:03:00.000 --> 00:03:05.000]  這位姊妹很不幸患了一個很嚴重的病
[00:03:05.000 --> 00:03:08.000]  並且病情越來越嚴重
[00:03:08.000 --> 00:03:11.000]  是第一間教會的姊妹
[00:03:11.000 --> 00:03:13.000]  我去探望她的時候
[00:03:13.000 --> 00:03:15.000]  我就安慰之餘
[00:03:15.000 --> 00:03:16.000]  禱告之餘
[00:03:16.000 --> 00:03:21.000]  我就問她有沒有回教會
[00:03:21.000 --> 00:03:24.000]  有沒有這些支援
[00:03:24.000 --> 00:03:27.000]  姊妹說我沒有回教會一段時間
[00:03:27.000 --> 00:03:30.000]  我問為什麼呢
[00:03:30.000 --> 00:03:34.000]  她說就是因為我有了這個病
[00:03:34.000 --> 00:03:37.000]  為什麼神會讓這個病在我身上呢
[00:03:37.000 --> 00:03:40.000]  這個和我當初接觸這個信仰
[00:03:40.000 --> 00:03:44.000]  認識這個信仰好像有些分別
[00:03:44.000 --> 00:03:47.000]  我以為信耶穌可以很平安
[00:03:47.000 --> 00:03:49.000]  神會保守我
[00:03:49.000 --> 00:03:51.000]  但發生了這件事
[00:03:51.000 --> 00:03:54.000]  我的信心開始動搖
[00:03:54.000 --> 00:03:56.000]  我很明白姊妹的掙扎
[00:03:56.000 --> 00:03:58.000]  當我們在患難當中
[00:03:58.000 --> 00:04:00.000]  有時候我們會懷疑神
[00:04:00.000 --> 00:04:06.000]  我們有很多的信仰和掙扎
[00:04:06.000 --> 00:04:08.000]  當然我們的信仰
[00:04:08.000 --> 00:04:10.000]  神告訴我們有平安這是真的
[00:04:10.000 --> 00:04:14.000]  但如果神容許一些患難在我們生命當中
[00:04:14.000 --> 00:04:16.000]  必定有它的意思
[00:04:16.000 --> 00:04:18.000]  我們不明白
[00:04:18.000 --> 00:04:21.000]  但我們的信仰寶貴之處
[00:04:21.000 --> 00:04:24.000]  就是神的恩典夠我們的用
[00:04:24.000 --> 00:04:25.000]  在患難當中
[00:04:25.000 --> 00:04:29.000]  祂承托著我們與我們一起的同行
[00:04:29.000 --> 00:04:31.000]  這就是我們最寶貴的地方
[00:04:31.000 --> 00:04:33.000]  我們的信仰的地方
[00:04:33.000 --> 00:04:36.000]  以至我們信了耶穌基督
