
[00:00:00.000 --> 00:00:04.600]  各位弟兄姊妹,各位朋友,午安!
[00:00:04.600 --> 00:00:08.200]  今天的題目叫做「友愛的同行者」
[00:00:08.200 --> 00:00:11.000]  不知道大家有沒有朋友呢?
[00:00:11.000 --> 00:00:12.600]  有多少個朋友呢?
[00:00:12.600 --> 00:00:14.400]  除了你家人之外
[00:00:14.400 --> 00:00:18.000]  有沒有一些真的可以和你心交的朋友?
[00:00:18.000 --> 00:00:20.800]  你試試心裡想一想,有多少個呢?
[00:00:20.800 --> 00:00:24.200]  一個,兩個,還是真的零呢?
[00:00:24.200 --> 00:00:27.900]  在佛羅里達州南沙灘的一間酒吧
[00:00:27.900 --> 00:00:31.000]  在二龍 2016 年的 4 月 4 日
[00:00:31.000 --> 00:00:34.400]  有一位很特別的男人進了這個餐廳
[00:00:34.400 --> 00:00:35.800]  那些同事一看到他的時候
[00:00:35.800 --> 00:00:38.500]  就已經覺得這個男人是堂食不安
[00:00:38.500 --> 00:00:41.300]  好像似乎等著另一個人出現
[00:00:41.300 --> 00:00:44.800]  他因為叫了一張桌子是給兩個人的
[00:00:44.800 --> 00:00:48.300]  所以他很明顯是在等著一個人
[00:00:48.300 --> 00:00:51.500]  這個男人是 63 歲,叫做 Steve
[00:00:51.500 --> 00:00:53.000]  他就打開了他的錢包
[00:00:53.000 --> 00:00:56.100]  拿了一張很殘缺的一元美金紙
[00:00:56.100 --> 00:00:59.600]  大家都知道美金一元是一張紙幣
[00:00:59.600 --> 00:01:02.000]  這一張紙幣是撕開了一半的
[00:01:02.000 --> 00:01:05.800]  一半的一邊寫著 2016 年的 4 月 4 日
[00:01:05.800 --> 00:01:09.200]  但另一邊寫著 1976 年的 4 月 4 日
[00:01:09.200 --> 00:01:13.100]  沒錯,聰明的你一定知道已經相隔了 40 年
[00:01:13.100 --> 00:01:17.700]  原來這一張紙就是他和一個好朋友叫做 Joe
[00:01:17.700 --> 00:01:19.900]  在 40 年前的同一天
[00:01:19.900 --> 00:01:22.500]  因為他們在這個酒吧喝酒的時候
[00:01:22.500 --> 00:01:25.200]  就私下做了一個約定
[00:01:25.200 --> 00:01:27.300]  而這個約定就是在 40 年之後
[00:01:27.300 --> 00:01:28.800]  他們會再見面
[00:01:28.800 --> 00:01:30.800]  就是約定在這裡見面
[00:01:30.800 --> 00:01:33.200]  其實他們兩個人情同手足
[00:01:33.200 --> 00:01:34.500]  非常好的朋友
[00:01:34.500 --> 00:01:36.100]  至少就已經相識
[00:01:36.100 --> 00:01:37.500]  一起長大
[00:01:37.500 --> 00:01:40.300]  互相都能夠傾訴心聲
[00:01:40.300 --> 00:01:43.700]  分析一下大家面前的前景、選擇等等
[00:01:43.700 --> 00:01:45.300]  甚至在 1970 年的時候
[00:01:45.300 --> 00:01:48.300]  他們兩個一起駕駛著一部老爺車
[00:01:48.300 --> 00:01:50.500]  去環遊美國旅行
