
[00:00:00.000 --> 00:00:02.000]  「頂姐妹」平安
[00:00:02.000 --> 00:00:07.840]  星期五晚上 星期八天的時候
[00:00:07.840 --> 00:00:12.760]  我們知道有超級颱風海馬來襲擊香港
[00:00:12.760 --> 00:00:16.000]  我們大部份人都有一天的假期
[00:00:16.000 --> 00:00:20.400]  可以在家裏休息 享受平安
[00:00:20.400 --> 00:00:23.280]  但是在暴風雨的過後
[00:00:23.280 --> 00:00:25.280]  在香港很多地方發現
[00:00:25.280 --> 00:00:28.280]  有很多大樹倒塌了
[00:00:28.880 --> 00:00:31.520]  在荔枝角消防局旁邊
[00:00:31.520 --> 00:00:37.080]  有一棵樹連同消防局圍牆一同倒塌
[00:00:37.080 --> 00:00:39.080]  牆身被壓碎
[00:00:39.080 --> 00:00:42.240]  還壓毀了旁邊的一輛私家車
[00:00:42.240 --> 00:00:45.600]  看到這幅圖片
[00:00:45.600 --> 00:00:50.080]  讓我想起很多年前一位師母曾經跟我說過
[00:00:50.080 --> 00:00:53.680]  一個有關屬靈生命的比喻
[00:00:53.680 --> 00:00:57.880]  她說到人屬靈的生命是否強壯
[00:00:57.880 --> 00:01:02.040]  不單單是要看平靜安穩的時候
[00:01:02.040 --> 00:01:08.000]  反而是要看當這個生命遇到風暴的時候的表現
[00:01:08.000 --> 00:01:10.560]  就好像這棵樹是否強壯
[00:01:10.560 --> 00:01:13.760]  不是要看它現在的外表
[00:01:13.760 --> 00:01:17.040]  是要看它經歷了風暴之後的狀況
[00:01:17.040 --> 00:01:21.360]  如果它是紮根在一個很堅實的盆石的下面
[00:01:21.360 --> 00:01:23.360]  而且紮根很深的話
[00:01:23.360 --> 00:01:26.160]  經過風暴 它依然屹立不倒
[00:01:26.160 --> 00:01:31.160]  相反 如果它是紮根不深的時候
[00:01:31.160 --> 00:01:33.160]  就會連根拔起
[00:01:33.160 --> 00:01:37.160]  不單單是個人的屬靈生命是這樣
[00:01:37.160 --> 00:01:39.160]  教會同樣是這樣
[00:01:39.160 --> 00:01:41.720]  教會是否健壯
[00:01:41.720 --> 00:01:43.720]  不單單是要看外表
[00:01:43.720 --> 00:01:48.160]  更重要的是看經過風暴之後的光景
[00:01:48.160 --> 00:01:52.160]  如果教會深深紮根在整個話語裏面
[00:01:52.160 --> 00:01:55.160]  再大的風暴經過之後
[00:01:55.160 --> 00:01:58.160]  依然教會都可以有平安
[00:01:58.160 --> 00:02:04.160]  教會不單需要在風暴當中得到平安
[00:02:04.160 --> 00:02:07.160]  更加需要教會的復興
[00:02:07.160 --> 00:02:12.160]  教會復興是很多神學家和牧者所關心的議題
[00:02:12.160 --> 00:02:15.160]  聖經很多地方告訴我們
[00:02:15.160 --> 00:02:17.160]  復興是聖靈的工作
[00:02:17.160 --> 00:02:21.160]  當聖靈充滿教會 充滿弟兄姊妹的時候
[00:02:21.160 --> 00:02:23.160]  教會就可以得到復興
[00:02:23.160 --> 00:02:25.160]  巴哈曾經說過
[00:02:25.160 --> 00:02:29.160]  復興是一次聖靈的囂觀
[00:02:29.160 --> 00:02:32.160]  華人的黃永信牧師說過
[00:02:32.160 --> 00:02:35.160]  復興是聖靈在教會當中
[00:02:35.160 --> 00:02:38.160]  普遍而深入的一個工作
[00:02:38.160 --> 00:02:40.160]  我們會問
[00:02:40.160 --> 00:02:42.160]  既然教會復興是聖靈的工作
