
[00:00:00.000 --> 00:00:06.260]  好感動 其實每次我自己看回剛才那段短片
[00:00:06.260 --> 00:00:11.560]  都給我人生很多的 好像一個flashback那樣
[00:00:11.560 --> 00:00:14.620]  很多的片段迴響
[00:00:14.620 --> 00:00:17.060]  我不知道你們回首一看
[00:00:17.060 --> 00:00:19.980]  就是你們走過的日子又怎麼樣
[00:00:19.980 --> 00:00:22.020]  不過首先我問一下
[00:00:22.020 --> 00:00:27.580]  有多少人看過我以前80年代的影視
[00:00:27.580 --> 00:00:31.520]  看過我的劇集
[00:00:31.520 --> 00:00:35.820]  或者聽過我唱歌可不可以舉手看看
[00:00:35.820 --> 00:00:40.160]  嘩 我們很多都是同一個年代
[00:00:40.160 --> 00:00:43.160]  我們很多都可以聊天
[00:00:43.160 --> 00:00:45.300]  因為有些朋友會問麗萍
[00:00:45.300 --> 00:00:48.260]  他說麗萍 你都挺好的
[00:00:48.260 --> 00:00:52.440]  你有個慈善工業家爸爸
[00:00:52.440 --> 00:00:54.540]  然後嫁了個如意郎君
[00:00:54.540 --> 00:00:56.580]  養得我肥肥白白
[00:00:56.580 --> 00:00:58.040]  誰知原來我來到北美
[00:00:58.040 --> 00:00:59.140]  人家以為我很辛苦
[00:00:59.140 --> 00:01:00.980]  不知道為什麼重了五磅
[00:01:00.980 --> 00:01:04.380]  他們十全大補 一直補我吃東西
[00:01:04.380 --> 00:01:09.400]  然後又生了多少個 四個
[00:01:09.400 --> 00:01:12.780]  這裡有沒有人生四個或更多 舉手看看
[00:01:12.780 --> 00:01:15.900]  都有一兩隻小手舉起
[00:01:15.900 --> 00:01:19.060]  其他生這麼少 這麼客氣
[00:01:19.060 --> 00:01:24.060]  這裡任生 不像我們內地有一段時間只得一個
[00:01:24.060 --> 00:01:27.400]  所以我覺得我們真的很蒙福
[00:01:27.400 --> 00:01:31.540]  喜歡生養眾多 遍滿大地
[00:01:31.540 --> 00:01:35.460]  很多朋友會說 麗萍你都挺舒服
[00:01:35.460 --> 00:01:38.340]  為什麼你要來北美
[00:01:38.340 --> 00:01:42.660]  我可以說 我祈禱的時候
[00:01:42.660 --> 00:01:45.140]  神要我來北美
