
[00:00:00.000 --> 00:00:02.400]  宣教和我有什麼關係呢?
[00:00:02.400 --> 00:00:05.080]  我記得我在
[00:00:05.080 --> 00:00:07.780]  播毒神學院讀神學的時候
[00:00:07.780 --> 00:00:11.080]  神學院也有很定期的
[00:00:11.080 --> 00:00:13.180]  宣教祈禱會,包括了
[00:00:13.180 --> 00:00:15.700]  為中國祈禱的宣教祈禱會
[00:00:15.700 --> 00:00:19.280]  為不同的民族
[00:00:19.280 --> 00:00:23.540]  不同國家有一個叫做宣教祈禱會
[00:00:23.540 --> 00:00:27.060]  但是呢,在我讀神學的過程裡面
[00:00:27.060 --> 00:00:29.300]  每逢我聽到報告
[00:00:29.300 --> 00:00:31.800]  我都跟自己說,我不會去的
[00:00:31.800 --> 00:00:35.300]  因為我很怕,上帝呼召我
[00:00:35.300 --> 00:00:37.640]  來做宣教工作
[00:00:37.640 --> 00:00:40.400]  我很怕,神若果又有感動
[00:00:40.400 --> 00:00:43.900]  叫我離開自己熟悉的地方
[00:00:43.900 --> 00:00:47.240]  甚至可能要去我不熟悉的地方
[00:00:47.240 --> 00:00:50.200]  來做宣教,我有很多恐懼
[00:00:50.200 --> 00:00:52.100]  所以我一直都迴避
[00:00:52.100 --> 00:00:54.600]  沒有去參加任何
[00:00:54.600 --> 00:00:57.860]  有組織的宣教祈禱會
[00:00:58.100 --> 00:01:00.100]  但是很奇妙
[00:01:00.100 --> 00:01:04.000]  在我童福堂侍奉的過程裡面
[00:01:04.000 --> 00:01:07.000]  我1994年已經加入童福堂
[00:01:07.000 --> 00:01:09.700]  所以如果你心水清
[00:01:09.700 --> 00:01:11.500]  今年我是30年
[00:01:11.500 --> 00:01:15.200]  在2002年的時候
[00:01:15.200 --> 00:01:19.900]  我有機會放我第一次的安息年
[00:01:19.900 --> 00:01:24.600]  自此以後有很奇妙的工作
[00:01:24.600 --> 00:01:26.800]  上帝在我身上帶領我
[00:01:26.800 --> 00:01:30.800]  突破了很多我自己想要的限制
[00:01:30.800 --> 00:01:32.400]  我沒想過要做宣教工作
[00:01:32.400 --> 00:01:35.300]  誰不知在我放完一整年的安息年
[00:01:35.300 --> 00:01:37.100]  回到教會的時候
[00:01:37.100 --> 00:01:41.100]  我原本所有的工作都交給其他人做
[00:01:41.100 --> 00:01:44.000]  當時學子弟牧師就跟我說
[00:01:44.000 --> 00:01:47.600]  你會不會想一下做宣教工作
[00:01:47.600 --> 00:01:49.600]  當然這裡也有一個故事
[00:01:49.600 --> 00:01:51.400]  不過我今天時間不夠
[00:01:51.400 --> 00:01:53.600]  我就不敢說太多
[00:01:53.600 --> 00:01:56.900]  於此我當時好像沒得選擇
[00:01:56.900 --> 00:01:58.300]  他給我三條路選擇
[00:01:58.300 --> 00:02:00.600]  但是另外兩條
[00:02:00.600 --> 00:02:02.600]  基本上我都不用考慮
[00:02:02.600 --> 00:02:05.600]  我只能夠在神的面前謙卑地說
[00:02:05.600 --> 00:02:10.600]  主 如果你要我開始童福堂的宣教工作的話
[00:02:10.600 --> 00:02:12.100]  我願意學習
[00:02:12.100 --> 00:02:19.100]  所以我要把我在神學院裡學過的宣教科
[00:02:19.100 --> 00:02:20.100]  重新學
[00:02:20.100 --> 00:02:24.100]  因為我當時在讀神學的時候的宣教科
[00:02:24.100 --> 00:02:26.100]  我都是應付過去就算了
[00:02:26.100 --> 00:02:28.100]  你知道我剛才跟你說
[00:02:28.100 --> 00:02:31.100]  我對宣教有一份恐懼
[00:02:31.100 --> 00:02:33.100]  我覺得上帝你千萬不要找我
[00:02:33.100 --> 00:02:34.600]  但是神是很妙的
[00:02:34.600 --> 00:02:36.100]  你如果逃避祂
[00:02:36.100 --> 00:02:39.100]  上帝有美好的心意要臨到你
[00:02:39.100 --> 00:02:40.100]  我很感謝神
[00:02:40.100 --> 00:02:43.100]  自從2002年開始
[00:02:43.100 --> 00:02:46.100]  一直到2022年左右
[00:02:46.100 --> 00:02:49.100]  接近差不多20年的時間
[00:02:49.100 --> 00:02:54.100]  我在童福堂開始設立宣教的工作
[00:02:54.100 --> 00:02:56.100]  我們有一個宣教部
[00:02:56.100 --> 00:02:58.100]  是神的恩典
[00:02:58.100 --> 00:03:00.100]  讓我們從零開始
[00:03:00.100 --> 00:03:03.100]  也是從禱告開始
[00:03:03.100 --> 00:03:05.100]  來尋求神的心意
[00:03:05.100 --> 00:03:08.100]  當時上帝讓我一直研究
[00:03:08.100 --> 00:03:10.100]  一直重新學習的時候
[00:03:10.100 --> 00:03:14.100]  我發覺有兩個未得志民的群體
[00:03:14.100 --> 00:03:17.100]  都是很難傳福音給他們的
[00:03:17.100 --> 00:03:19.100]  第一個我想大家都猜到
[00:03:19.100 --> 00:03:21.100]  是穆斯林的群體
[00:03:21.100 --> 00:03:23.100]  第二個不是馬上
[00:03:23.100 --> 00:03:27.100]  當時是2002年或2003年的時候
[00:03:27.100 --> 00:03:30.100]  上帝放在我們心裡面
[00:03:30.100 --> 00:03:34.100]  後來大概在2011年的時候
[00:03:34.100 --> 00:03:35.100]  上帝很清楚
[00:03:35.100 --> 00:03:37.100]  把另外一個群體放在我心裡面
[00:03:37.100 --> 00:03:39.100]  就是日本人
[00:03:39.100 --> 00:03:41.100]  所以這兩個可以說是
[00:03:41.100 --> 00:03:43.100]  我們在童福堂裡面
[00:03:43.100 --> 00:03:46.100]  兩個很核心做宣教
[00:03:46.100 --> 00:03:49.100]  文化的宣教的兩個主要群體
[00:03:49.100 --> 00:03:51.100]  長話短說
