
[00:00:00.000 --> 00:00:05.360]  有人說人生是一連串的抉擇
[00:00:05.360 --> 00:00:06.360]  是這樣的
[00:00:06.360 --> 00:00:08.360]  你去到茶餐廳
[00:00:08.360 --> 00:00:10.900]  你吃A餐還是B餐
[00:00:10.900 --> 00:00:14.320]  我曾經說過一個笑話
[00:00:14.320 --> 00:00:16.780]  那個人去到茶餐廳 他想吃東西
[00:00:16.780 --> 00:00:19.780]  他說我要什麼牛肉通粉還是什麼
[00:00:19.780 --> 00:00:23.160]  那個侍應就說 講英文吧
[00:00:23.160 --> 00:00:25.840]  他就想 你這麼厲害
[00:00:25.840 --> 00:00:29.420]  要我用英文講給你聽
[00:00:29.420 --> 00:00:32.000]  他就醜除了一陣子
[00:00:32.000 --> 00:00:34.000]  他說A還是C餐
[00:00:34.000 --> 00:00:37.000]  原來這就是他講的英文
[00:00:37.000 --> 00:00:40.000]  人生就是一連串的抉擇
[00:00:40.000 --> 00:00:44.000]  有時候想一想今早喝咖啡還是奶茶
[00:00:44.000 --> 00:00:45.500]  咖啡也要想一想
[00:00:45.500 --> 00:00:48.500]  下課一定要喝啤酒 茶酒
[00:00:48.500 --> 00:00:51.500]  可能有些人不知道我說什麼叫啤酒 茶酒
[00:00:51.500 --> 00:00:54.000]  無論我們喜不喜歡也好
[00:00:54.000 --> 00:00:59.000]  早上起床就要做大大小小的決定和選擇
[00:00:59.000 --> 00:01:01.000]  我剛才原來有個例子在這裡
[00:01:01.000 --> 00:01:03.000]  為什麼我自己忘記了
[00:01:03.000 --> 00:01:05.000]  在茶餐廳A餐還是B餐
[00:01:05.000 --> 00:01:09.000]  坐巴士還是坐小巴呢
[00:01:09.000 --> 00:01:11.000]  其實我每一天都有一個抉擇
[00:01:11.000 --> 00:01:13.000]  特別我上班
[00:01:13.000 --> 00:01:15.000]  因為現在教會搬到石門
[00:01:15.000 --> 00:01:18.000]  我下班現在沒有開車上班
[00:01:18.000 --> 00:01:19.000]  除非特殊原因
[00:01:19.000 --> 00:01:21.000]  因為泊車要80元一天
[00:01:21.000 --> 00:01:24.000]  85元一天對我來說很貴
[00:01:24.000 --> 00:01:26.000]  為什麼呢 我以前泊車不用錢的
[00:01:26.000 --> 00:01:30.000]  舊辦公室那裡有個免費停車場
[00:01:30.000 --> 00:01:32.000]  但現在要給80元泊車
[00:01:32.000 --> 00:01:34.000]  好像分別很大
[00:01:34.000 --> 00:01:37.000]  所以我就選擇坐小巴
[00:01:37.000 --> 00:01:40.000]  但下班我就有兩個選擇
[00:01:40.000 --> 00:01:44.000]  一是出去如果有巴士我就坐巴士
[00:01:44.000 --> 00:01:47.000]  如果有小巴我就坐小巴
[00:01:47.000 --> 00:01:48.000]  巴士也有很多種
[00:01:48.000 --> 00:01:50.000]  85K就五個一
[00:01:50.000 --> 00:01:52.000]  86K就六個一
[00:01:52.000 --> 00:01:55.000]  240就三個一
[00:01:55.000 --> 00:01:58.000]  299X就三個八
[00:01:58.000 --> 00:02:00.000]  你說是不是很多選擇
[00:02:00.000 --> 00:02:02.000]  要看我等不等哪一架
[00:02:02.000 --> 00:02:04.000]  還有現在巴士站很厲害
[00:02:04.000 --> 00:02:05.000]  很厲害
[00:02:05.000 --> 00:02:08.000]  它有個螢幕告訴你
[00:02:08.000 --> 00:02:10.000]  280K就五分鐘
[00:02:10.000 --> 00:02:12.000]  有沒有的
[00:02:12.000 --> 00:02:14.000]  我以前沒見過的
[00:02:14.000 --> 00:02:16.000]  但石門那邊的巴士是
[00:02:16.000 --> 00:02:18.000]  299X就是八分鐘
[00:02:18.000 --> 00:02:20.000]  都頗準的
[00:02:20.000 --> 00:02:22.000]  所以我想想坐哪一架呢
[00:02:22.000 --> 00:02:24.000]  多等兩分鐘就便宜一元
[00:02:24.000 --> 00:02:27.000]  多等兩分鐘就便宜一元
[00:02:27.000 --> 00:02:31.000]  人真的有很多東西要去想
[00:02:31.000 --> 00:02:36.000]  總而言之要作出很多的決定
[00:02:36.000 --> 00:02:38.000]  那麼我們信耶穌又怎樣呢
[00:02:38.000 --> 00:02:41.000]  信耶穌是否在神的旨意
[00:02:41.000 --> 00:02:44.000]  神的心意中是非常重要呢
[00:02:44.000 --> 00:02:47.000]  未信主之前
[00:02:47.000 --> 00:02:49.000]  我們行事為人
[00:02:49.000 --> 00:02:52.000]  有自己那一套的做法想法
[00:02:52.000 --> 00:02:54.000]  行事為人有自己的想法做法
[00:02:54.000 --> 00:02:56.000]  信了主之後
[00:02:56.000 --> 00:02:58.000]  我們是不是都好像以前一樣
[00:02:58.000 --> 00:02:59.000]  未信主那樣
[00:02:59.000 --> 00:03:01.000]  行事為人
[00:03:01.000 --> 00:03:04.000]  都是喜歡自己想怎樣就怎樣
[00:03:04.000 --> 00:03:06.000]  還是我們應該要去
[00:03:06.000 --> 00:03:09.000]  尋求神的心意
[00:03:09.000 --> 00:03:11.000]  神的旨意呢
[00:03:11.000 --> 00:03:15.000]  這個是一個很不簡單的東西
[00:03:15.000 --> 00:03:17.000]  很不簡單的東西
[00:03:17.000 --> 00:03:19.000]  我信了主
[00:03:19.000 --> 00:03:22.000]  14年大約是聖誕
[00:03:22.000 --> 00:03:24.000]  我就信主到現在
[00:03:24.000 --> 00:03:27.000]  我見過有很多很多種
[00:03:27.000 --> 00:03:29.000]  尋求神的旨意
[00:03:29.000 --> 00:03:31.000]  有很多人說他
[00:03:31.000 --> 00:03:34.000]  尋求神的旨意的方法
[00:03:34.000 --> 00:03:37.000]  我有很多書是講到尋求神的旨意
[00:03:37.000 --> 00:03:39.000]  看過買過
[00:03:39.000 --> 00:03:42.000]  最近才有個姐妹在教會
[00:03:42.000 --> 00:03:44.000]  她WhatsApp我問我
[00:03:44.000 --> 00:03:48.000]  牧師你有沒有一些尋求神旨意的資料
[00:03:48.000 --> 00:03:49.000]  她說有
