
[00:00:00.000 --> 00:00:04.000]  我們再同心來到神的面前仰望等候祂
[00:00:04.000 --> 00:00:08.000]  神啊,我們仰望禰
[00:00:08.000 --> 00:00:13.000]  願禰真的向我們開啓禰自己的啓示
[00:00:13.000 --> 00:00:20.000]  讓這個時間成爲我們每個人可以聆聽到禰微聲的一個時間
[00:00:20.000 --> 00:00:25.000]  讓主禰的話語透過禰的僕人宣講得清楚
[00:00:25.000 --> 00:00:32.000]  讓弟兄姊妹也有謙卑聆聽的心來到去仰望等候主
[00:00:32.000 --> 00:00:35.000]  禰親自對我們每個人的心來說
[00:00:35.000 --> 00:00:37.000]  要求聖靈充滿我們
[00:00:37.000 --> 00:00:41.000]  使我們真的能夠被禰的愛所感動
[00:00:41.000 --> 00:00:46.000]  我們禱告仰望奉求基督耶穌得勝的名字
[00:00:49.000 --> 00:00:55.000]  過去一段時間,這個星期大概是17到24號
[00:00:55.000 --> 00:01:00.000]  可能是航空史上最黑暗的一個星期
[00:01:00.000 --> 00:01:04.000]  一個星期三單的墜機
[00:01:04.000 --> 00:01:09.000]  先是馬航MH17的被擊落
[00:01:09.000 --> 00:01:12.000]  後來就是臺灣的復興航空
[00:01:12.000 --> 00:01:16.000]  再是阿爾及利亞那單的墜機事件
[00:01:16.000 --> 00:01:21.000]  其實下星期我一家人都會坐飛機去上海
[00:01:21.000 --> 00:01:25.000]  8月中如無意外也會去以色列
[00:01:25.000 --> 00:01:29.000]  我猜也是一個好機會想清楚一點
[00:01:29.000 --> 00:01:35.000]  我記得我自己有一段時間參加一個課程
[00:01:35.000 --> 00:01:39.000]  他就是說要我們模擬一個練習制
[00:01:39.000 --> 00:01:42.000]  墜機之前有五分鐘時間
[00:01:42.000 --> 00:01:44.000]  請你寫下你的遺書
[00:01:44.000 --> 00:01:46.000]  我當時就記得
[00:01:46.000 --> 00:01:49.000]  我特別和太太說你還年輕
[00:01:49.000 --> 00:01:52.000]  如果有人嫁就嫁了
[00:01:52.000 --> 00:01:54.000]  不過現在就慢一點
[00:01:54.000 --> 00:01:56.000]  幾年了
[00:01:56.000 --> 00:01:58.000]  我就說
[00:01:58.000 --> 00:02:00.000]  不好意思,開玩笑的
[00:02:00.000 --> 00:02:07.000]  不過最重要找個人對我的子女好一點
[00:02:07.000 --> 00:02:12.000]  我猜我們也不想
[00:02:12.000 --> 00:02:17.000]  但當我們人生有時真的要多些這些演練也是好
[00:02:17.000 --> 00:02:22.000]  想一想我們人生如果去到一個這樣的關口
[00:02:22.000 --> 00:02:24.000]  我們會怎樣說呢
[00:02:24.000 --> 00:02:27.000]  當然我不信邪我不用touch wood去說
[00:02:27.000 --> 00:02:33.000]  但我想我們要怎樣向上帝交仗
[00:02:33.000 --> 00:02:35.000]  就算我們的生命很長
[00:02:35.000 --> 00:02:37.000]  一百歲命
[00:02:37.000 --> 00:02:41.000]  如果我們做不到上帝要我們人生最重要去做的那件事
[00:02:41.000 --> 00:02:46.000]  如果我們的生命很短
[00:02:46.000 --> 00:02:48.000]  今天就離開這個世界
[00:02:48.000 --> 00:02:51.000]  但如果我們能夠忠於我們的信仰
[00:02:51.000 --> 00:02:55.000]  忠於上帝對我們人生的託付和使命
[00:02:55.000 --> 00:02:58.000]  我相信我們可以死而無憾
[00:02:58.000 --> 00:03:00.000]  安反天家
[00:03:00.000 --> 00:03:03.000]  在福音書裏面就曾經記載
