
[00:00:00.000 --> 00:00:01.000]  領主們平安
[00:00:01.000 --> 00:00:07.000]  今天我們能夠一起守主餐紀念主耶穌基督的救恩
[00:00:07.000 --> 00:00:12.000]  現在也是來到聆聽神的說話的時候
[00:00:12.000 --> 00:00:18.000]  這個「蒙照去祝福」
[00:00:18.000 --> 00:00:28.000]  「蒙照去祝福」這個講道的系列來到尾聲了
[00:00:29.000 --> 00:00:31.000]  究竟我們聽了這麼多堂
[00:00:31.000 --> 00:00:36.000]  我們有什麼回應、有什麼行動應該做呢?
[00:00:36.000 --> 00:00:40.000]  今天我們藉著洋人福音
[00:00:40.000 --> 00:00:45.000]  主耶穌基督做了一個很好的示範
[00:00:45.000 --> 00:00:47.000]  一個很好的榜樣
[00:00:47.000 --> 00:00:51.000]  就是怎樣能夠去祝福別人
[00:00:51.000 --> 00:00:57.000]  透過他跟撒馬尼亞婦人的傾談
[00:00:57.000 --> 00:01:03.000]  以致我們知道怎樣去開始做一些行動
[00:01:03.000 --> 00:01:07.000]  使得人得到福音的好處
[00:01:07.000 --> 00:01:11.000]  我們在聆聽神話語之前一起禱告吧
[00:01:11.000 --> 00:01:16.000]  親愛的天父
[00:01:16.000 --> 00:01:21.000]  我們多謝讚美你過去一連串的「蒙照去祝福」的信息
[00:01:21.000 --> 00:01:26.000]  今天來到一個總結的時候
[00:01:27.000 --> 00:01:29.000]  我們求主的靈
[00:01:29.000 --> 00:01:35.000]  都是幫助我們不但回顧、回憶過去所聽到的
[00:01:35.000 --> 00:01:38.000]  也在今天一個總結的時候
[00:01:38.000 --> 00:01:41.000]  讓我們能夠立定心志
[00:01:41.000 --> 00:01:44.000]  不單單是去聽
[00:01:44.000 --> 00:01:47.000]  更加去行
[00:01:47.000 --> 00:01:52.000]  以致福音能夠透過你的恩典
[00:01:52.000 --> 00:01:56.000]  使用我們讓更多人得到祝福
[00:01:57.000 --> 00:02:00.000]  我們教託、祈禱、奉耶穌基督的名
[00:02:00.000 --> 00:02:01.000]  阿們
[00:02:01.000 --> 00:02:05.000]  好,今天這個講題就是
[00:02:05.000 --> 00:02:08.000]  「愛倫舍好祝福」
[00:02:08.000 --> 00:02:09.000]  還是「好祝福」呢?
[00:02:09.000 --> 00:02:11.000]  我在想這個字
[00:02:11.000 --> 00:02:15.000]  這個廣東話有兩個的意思
[00:02:15.000 --> 00:02:17.000]  一個是「好祝福」
[00:02:17.000 --> 00:02:19.000]  就是「好喜歡」
[00:02:19.000 --> 00:02:22.000]  一個就是「好祝福」
[00:02:22.000 --> 00:02:24.000]  就是「好好地去祝福」
[00:02:25.000 --> 00:02:29.000]  其實這兩個意思都有包含在裡面的
[00:02:29.000 --> 00:02:32.000]  我們是「好喜歡」去祝福別人
[00:02:32.000 --> 00:02:35.000]  就是我們「好喜歡」去祝福別人
[00:02:35.000 --> 00:02:38.000]  透過什麼去祝福別人呢?
[00:02:38.000 --> 00:02:42.000]  我們今天看看這段經文
[00:02:42.000 --> 00:02:45.000]  剛剛已經讀過了
[00:02:45.000 --> 00:02:52.000]  耶穌基督和撒瑪利亞婦人的過程
[00:02:53.000 --> 00:02:55.000]  我剛才想到
[00:02:55.000 --> 00:03:03.000]  耶穌祂是要從大地去加利利
[00:03:03.000 --> 00:03:04.000]  就是北邊的
[00:03:04.000 --> 00:03:08.000]  但是祂要經過撒瑪利亞
[00:03:08.000 --> 00:03:11.000]  聖經說祂是必須要的
[00:03:11.000 --> 00:03:13.000]  祂一定要這樣走
[00:03:13.000 --> 00:03:18.000]  我們看到主耶穌是一個很主動
[00:03:18.000 --> 00:03:22.000]  想要去傳福音給撒瑪利亞城
[00:03:23.000 --> 00:03:24.000]  的地方
[00:03:24.000 --> 00:03:29.000]  想到我們現在的處境
[00:03:29.000 --> 00:03:31.000]  是一個網絡時代
[00:03:31.000 --> 00:03:33.000]  人與人之間
[00:03:33.000 --> 00:03:37.000]  你看到很多的符號
[00:03:37.000 --> 00:03:40.000]  你都知道那些是網絡資訊
[00:03:40.000 --> 00:03:41.000]  很多的工具
[00:03:41.000 --> 00:03:44.000]  但是每個人都拿著手機
[00:03:44.000 --> 00:03:47.000]  蔡元雲醫生
[00:03:47.000 --> 00:03:54.000]  在一九九六年在一個華福會裏面
[00:03:54.000 --> 00:03:55.000]  她有一個演講
[00:03:55.000 --> 00:03:59.000]  講到二十一世紀的靈性學的時候
[00:03:59.000 --> 00:04:00.000]  她就提到
[00:04:00.000 --> 00:04:05.000]  高科技但是低接觸
[00:04:05.000 --> 00:04:11.000]  已經是二十多三十年前的時間
[00:04:11.000 --> 00:04:13.000]  一九九六年的華福會
[00:04:14.000 --> 00:04:17.000]  講到這裡她就
[00:04:17.000 --> 00:04:20.000]  她同一間辦公室裏面
[00:04:20.000 --> 00:04:22.000]  就是突破
[00:04:22.000 --> 00:04:24.000]  那個大家都知道
[00:04:24.000 --> 00:04:29.000]  那時候手機還未補片
[00:04:29.000 --> 00:04:32.000]  都是用電腦
[00:04:32.000 --> 00:04:33.000]  有電郵
[00:04:33.000 --> 00:04:36.000]  她那時候有些嘆息
[00:04:36.000 --> 00:04:42.000]  她說同一間的一座裏面的辦公室
[00:04:42.000 --> 00:04:44.000]  她在另一個房間
[00:04:44.000 --> 00:04:46.000]  其他同事在其他的房間
[00:04:46.000 --> 00:04:49.000]  見到面她就不是跟她說
[00:04:49.000 --> 00:04:53.000]  她是用電郵跟蔡醫生溝通的
