
[00:00:00.000 --> 00:00:04.000]  今日跟大家講 《撒加利亞書》第八章
[00:00:30.000 --> 00:00:36.000]  馮檢基議員
[00:01:00.000 --> 00:01:06.000]  主席
[00:01:30.000 --> 00:01:36.000]  陳志全議員
[00:02:00.000 --> 00:02:06.000]  主席
[00:02:30.000 --> 00:02:36.000]  主席
[00:03:00.000 --> 00:03:06.000]  主席
[00:03:30.000 --> 00:03:34.000]  我們先看《撒加利亞書》八章二節
[00:04:00.000 --> 00:04:06.000]  主席
[00:04:30.000 --> 00:04:36.000]  陳志全議員
[00:05:00.000 --> 00:05:06.000]  主席
[00:05:30.000 --> 00:05:36.000]  主席
[00:06:00.000 --> 00:06:06.000]  主席
[00:06:30.000 --> 00:06:36.000]  主席
[00:07:00.000 --> 00:07:06.000]  主席
[00:07:30.000 --> 00:07:36.000]  主席
[00:08:00.000 --> 00:08:06.000]  主席
[00:08:30.000 --> 00:08:36.000]  主席
[00:09:00.000 --> 00:09:06.000]  陳志全議員
[00:09:30.000 --> 00:09:36.000]  主席
[00:10:00.000 --> 00:10:06.000]  主席
[00:10:30.000 --> 00:10:36.000]  主席
[00:11:00.000 --> 00:11:06.000]  陳志全議員
[00:11:30.000 --> 00:11:36.000]  主席
[00:12:00.000 --> 00:12:06.000]  主席
[00:12:30.000 --> 00:12:36.000]  陳志全議員
[00:13:00.000 --> 00:13:06.000]  主席
[00:13:30.000 --> 00:13:36.000]  主席
[00:14:00.000 --> 00:14:06.000]  陳志全議員
[00:14:30.000 --> 00:14:36.000]  主席
[00:15:00.000 --> 00:15:06.000]  陳志全議員
[00:15:30.000 --> 00:15:36.000]  主席
[00:16:00.000 --> 00:16:06.000]  主席
[00:16:30.000 --> 00:16:36.000]  陳志全議員
[00:17:00.000 --> 00:17:06.000]  主席
[00:17:30.000 --> 00:17:36.000]  主席
[00:18:00.000 --> 00:18:06.000]  陳志全議員
[00:18:30.000 --> 00:18:36.000]  主席
[00:19:00.000 --> 00:19:06.000]  主席
[00:19:30.000 --> 00:19:36.000]  主席
[00:20:00.000 --> 00:20:06.000]  主席
[00:20:30.000 --> 00:20:36.000]  主席
[00:21:00.000 --> 00:21:06.000]  主席
[00:21:30.000 --> 00:21:36.000]  主席
[00:22:00.000 --> 00:22:06.000]  主席
[00:22:30.000 --> 00:22:36.000]  主席
[00:23:00.000 --> 00:23:06.000]  陳志全議員
[00:23:30.000 --> 00:23:36.000]  主席
[00:24:00.000 --> 00:24:06.000]  主席
[00:24:30.000 --> 00:24:36.000]  主席
[00:25:00.000 --> 00:25:06.000]  主席
[00:25:30.000 --> 00:25:34.000]  祝福眾多人對我們有很大的忍耐和恩典
[00:25:34.000 --> 00:25:36.000]  神啊,求祢繼續光照我們
[00:25:36.000 --> 00:25:38.000]  讓我們知道祢的旨意
[00:25:38.000 --> 00:25:44.000]  讓我們能夠去走出祢所要我們走的方向
[00:25:44.000 --> 00:25:48.000]  求祢繼續給我們恩典
[00:25:48.000 --> 00:25:49.000]  給我們智慧能力
[00:25:49.000 --> 00:25:52.000]  給我們有聰明,也給我們有忍耐
[00:25:52.000 --> 00:25:56.000]  我們感謝祢,願祢在這件事上我們能夠榮耀祢
[00:25:56.000 --> 00:25:58.000]  我們這樣祈禱奉耶穌基督的聖名
