
[00:00:00.000 --> 00:00:05.000]  約瑟亞召集了裡面加德和東馬拿西半個支派的人前來對他們說
[00:00:05.000 --> 00:00:09.000]  你們已經完成了耶和華穆人摩西所吩咐你們的每一件事
[00:00:09.000 --> 00:00:11.000]  有聽從了我一切的吩咐
[00:00:11.000 --> 00:00:14.000]  直到今天你們從沒有離棄你們的以色列同胞
[00:00:14.000 --> 00:00:19.000]  你們謹慎遵行了耶和華你們上帝的命令
[00:00:19.000 --> 00:00:25.000]  現在耶和華你們的上帝已經照他們的應許
[00:00:25.000 --> 00:00:27.000]  使你們和以色列的同胞得以安居
[00:00:27.000 --> 00:00:31.000]  所以你們應該回到你們所擁有的土地
[00:00:31.000 --> 00:00:36.000]  就是耶和華的穆人摩西給你們那塊在約旦河東岸的土地
[00:00:36.000 --> 00:00:42.000]  你們要切實遵行摩西頒給你們的法律
[00:00:42.000 --> 00:00:44.000]  要愛耶和華你們的上帝
[00:00:44.000 --> 00:00:45.000]  遵行祂的旨意
[00:00:45.000 --> 00:00:46.000]  服從祂的誡命
[00:00:46.000 --> 00:00:47.000]  忠於祂
[00:00:47.000 --> 00:00:50.000]  全心全意地侍奉祂
[00:00:53.000 --> 00:00:57.000]  於是約書亞祝福他們說你們要帶著很多的牛裙
[00:00:57.000 --> 00:01:00.000]  金銀銅鐵和衣服
[00:01:00.000 --> 00:01:02.000]  豐豐富富地回去
[00:01:02.000 --> 00:01:06.000]  要跟你們的同胞分享從敵人奪回來的戰利品
[00:01:06.000 --> 00:01:12.000]  他們在迦南的士羅和其他以色列人分手
[00:01:12.000 --> 00:01:15.000]  就回到他們應得之地
[00:01:15.000 --> 00:01:17.000]  到了基利祿
[00:01:17.000 --> 00:01:22.000]  他們在河邊就捉了一座又大又壯觀的壇
[00:01:24.000 --> 00:01:26.000]  以色列人一聽到這個消息
[00:01:26.000 --> 00:01:28.000]  全體會眾就聚集在士羅
[00:01:28.000 --> 00:01:31.000]  要去攻打東岸的兩個叛支派
[00:01:31.000 --> 00:01:35.000]  以色列人派祭司以利亞撒的兒子菲利哈
[00:01:35.000 --> 00:01:40.000]  到基利去見裡面迦德和東馬拉西支派的人
[00:01:40.000 --> 00:01:43.000]  有十個首領和他一起去
[00:01:43.000 --> 00:01:47.000]  他們都是代表約旦河西岸定居的每一個支派
[00:01:47.000 --> 00:01:49.000]  他們都是支派的長老
[00:01:51.000 --> 00:01:55.000]  他們來到基利見到裡面迦德和東馬拉西支派的人
[00:01:55.000 --> 00:01:59.000]  就代表以色列的傳會眾對他們說
[00:01:59.000 --> 00:02:03.000]  你們為什麼要做這些惡事冒犯了以色列的上帝呢
[00:02:03.000 --> 00:02:06.000]  你們為自己捉了這座祭壇背叛了耶和華
[00:02:06.000 --> 00:02:08.000]  你們不再跟從他了
[00:02:08.000 --> 00:02:13.000]  你們還記不記得很多年前比爾犯的罪
[00:02:13.000 --> 00:02:16.000]  那時候耶和華用瘟疫懲罰了自己的子民
[00:02:16.000 --> 00:02:19.000]  我們到現在仍然受那件事的苦
[00:02:19.000 --> 00:02:21.000]  難道你們還不記得嗎
[00:02:21.000 --> 00:02:26.000]  你們還記不記得謝拉的子孫阿干那件事
[00:02:26.000 --> 00:02:30.000]  他不遵從命令沒有毀滅該毀滅的戰利品
[00:02:30.000 --> 00:02:33.000]  以色列傳會眾都為這件事受罰
[00:02:33.000 --> 00:02:37.000]  阿干一人犯罪卻連累了其他人和他一起的死亡
[00:02:37.000 --> 00:02:44.000]  裡面迦德和東馬拉西支派的人回答定居在西岸的族長們
[00:02:44.000 --> 00:02:45.000]  上帝是大能者
[00:02:45.000 --> 00:02:48.000]  他在耶和華知道我們為什麼要這樣做
[00:02:48.000 --> 00:02:49.000]  你們也要知道
[00:02:49.000 --> 00:02:51.000]  如果我們真的背叛耶和華
[00:02:51.000 --> 00:02:52.000]  不忠於他
[00:02:52.000 --> 00:02:54.000]  你們就置我們於死地
[00:02:54.000 --> 00:02:56.000]  如果我們不尊重耶和華
[00:02:56.000 --> 00:02:57.000]  自己去做祭壇
[00:02:57.000 --> 00:03:00.000]  在上面獻梵祭素祭和平安祭
[00:03:00.000 --> 00:03:02.000]  願耶和華親自懲罰我們
[00:03:02.000 --> 00:03:07.000]  事實並不是這樣
