
[00:00:00.000 --> 00:00:03.520]  我們香港人的生活是很忙碌的
[00:00:03.520 --> 00:00:06.680]  我們的步伐也很急速的
[00:00:06.680 --> 00:00:13.320]  香港街上的人走路的速度是很快的
[00:00:13.320 --> 00:00:17.320]  在世界各地都是特別快的
[00:00:17.320 --> 00:00:18.920]  以前我聽過一個說法
[00:00:18.920 --> 00:00:20.320]  有個加拿大人
[00:00:20.320 --> 00:00:23.320]  他在加拿大生活的時候
[00:00:23.320 --> 00:00:26.760]  在街上走路偶然被人撞到
[00:00:26.760 --> 00:00:32.240]  他也會期望那個人停下來跟他道歉
[00:00:32.240 --> 00:00:34.760]  在香港他走路的時候
[00:00:34.760 --> 00:00:36.440]  更多機會會撞到別人
[00:00:36.440 --> 00:00:37.640]  但當他想道歉的時候
[00:00:37.640 --> 00:00:38.880]  那個人已經不知道去了哪裏
[00:00:38.880 --> 00:00:41.920]  所以我們是很快的
[00:00:41.920 --> 00:00:47.240]  我們很想把事情盡快做完
[00:00:47.240 --> 00:00:50.520]  可能我們覺得時間是很有限的
[00:00:50.520 --> 00:00:55.360]  所以我們很想在最短時間裏做最多的事情
[00:00:55.360 --> 00:00:59.160]  我們不單是工作講求效率
[00:00:59.160 --> 00:01:01.560]  我們玩也講求效率
[00:01:01.560 --> 00:01:04.560]  所以我們想一天去最多的景點
[00:01:04.560 --> 00:01:08.240]  香港人的旅行團是最繁忙的
[00:01:08.240 --> 00:01:09.320]  即是行程
[00:01:09.320 --> 00:01:11.920]  我們想七天去八個國家
[00:01:11.920 --> 00:01:14.960]  我們都是將我們休息
[00:01:14.960 --> 00:01:16.800]  或者我們玩的時間
[00:01:16.800 --> 00:01:20.760]  來盡量的充滿它
[00:01:20.760 --> 00:01:22.880]  然後每一分鐘都有東西玩的
[00:01:22.880 --> 00:01:25.560]  然後每一分鐘都有東西做的
[00:01:25.560 --> 00:01:26.720]  我們連打遊戲機
[00:01:26.720 --> 00:01:29.600]  都是打一些要很快的反應的東西
[00:01:29.600 --> 00:01:30.480]  我們不是
[00:01:30.480 --> 00:01:32.160]  香港很多人
[00:01:32.160 --> 00:01:34.080]  很少人喜歡打遊戲機
[00:01:34.080 --> 00:01:38.680]  要很慢想很久才走一步的那些東西
[00:01:38.680 --> 00:01:40.440]  所以現在很少人下棋
