
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹 各位嘉賓平安
[00:00:05.000 --> 00:00:10.000]  感謝神 神給我們的恩典
[00:00:10.000 --> 00:00:14.000]  真是超過我們所想所求
[00:00:14.000 --> 00:00:17.000]  在尖沙咀浸信教會
[00:00:17.000 --> 00:00:22.000]  立會八十週年紀念的日子裏
[00:00:22.000 --> 00:00:25.000]  我能夠再一次返到
[00:00:25.000 --> 00:00:29.000]  我侍奉三十六年的尖浸教會
[00:00:29.000 --> 00:00:31.000]  與各位弟兄姊妹
[00:00:31.000 --> 00:00:36.000]  藉著神的說話彼此勉勵
[00:00:36.000 --> 00:00:41.000]  今日我要與各位思想的題目
[00:00:41.000 --> 00:00:46.000]  很熟悉 但我們需要知道
[00:00:46.000 --> 00:00:52.000]  是裏面包含的教導的真理
[00:00:52.000 --> 00:00:58.000]  非常非常地深奧
[00:00:58.000 --> 00:01:03.000]  耶穌一次吩咐門徒
[00:01:03.000 --> 00:01:10.000]  賜給門徒這條新命令
[00:01:10.000 --> 00:01:16.000]  祂不是對所有的門徒說的
[00:01:16.000 --> 00:01:23.000]  也不是對七十個門徒說的
[00:01:23.000 --> 00:01:28.000]  也不是對十二個門徒說的
[00:01:28.000 --> 00:01:31.000]  你的眼睛睜大了
[00:01:31.000 --> 00:01:36.000]  那是對十一個門徒說的
[00:01:36.000 --> 00:01:40.000]  因為在十二個門徒當中
[00:01:40.000 --> 00:01:45.000]  那一位賣主賣友的嘉律人猶大
[00:01:45.000 --> 00:01:48.000]  不在其中
[00:01:48.000 --> 00:01:53.000]  只有十一個門徒
[00:01:53.000 --> 00:01:57.000]  所以主耶穌賜這條新命令的時候
[00:01:57.000 --> 00:02:04.000]  就是對著這十一個門徒所說的
[00:02:04.000 --> 00:02:07.000]  包括這個最大的使命
[00:02:07.000 --> 00:02:11.000]  你們望普天下去傳福音
[00:02:11.000 --> 00:02:15.000]  使萬民作我的門徒
[00:02:15.000 --> 00:02:19.000]  都是對十一個門徒說的
[00:02:19.000 --> 00:02:21.000]  因為十一個門徒
[00:02:21.000 --> 00:02:23.000]  王嘉利離去
[00:02:23.000 --> 00:02:26.000]  到了耶穌約定的山上
[00:02:26.000 --> 00:02:29.000]  他們見了耶穌就拜祂
[00:02:29.000 --> 00:02:31.000]  然而還有人疑惑
[00:02:31.000 --> 00:02:35.000]  耶穌進前來對他們說
[00:02:35.000 --> 00:02:40.000]  天上地下所有的權柄都賜給我了
[00:02:40.000 --> 00:02:44.000]  所以你們要去使萬民作我的門徒
[00:02:44.000 --> 00:02:47.000]  奉父子聖靈的名
[00:02:47.000 --> 00:02:49.000]  給他們使朕
[00:02:49.000 --> 00:02:51.000]  我就尚與你們同在
[00:02:51.000 --> 00:02:54.000]  直到世界的末了
[00:02:54.000 --> 00:02:56.000]  所以最新的命令
[00:02:56.000 --> 00:02:59.000]  是對十一個門徒說的
[00:02:59.000 --> 00:03:01.000]  最大的使命
[00:03:01.000 --> 00:03:04.000]  也是對十一個門徒說的
[00:03:04.000 --> 00:03:08.000]  為什麼要另一次的培靈會
[00:03:08.000 --> 00:03:11.000]  可以和各位思想
[00:03:11.000 --> 00:03:13.000]  你們自己都明白
[00:03:13.000 --> 00:03:17.000]  但我們應該為著耶穌基督
[00:03:17.000 --> 00:03:21.000]  當日賜給門徒
[00:03:21.000 --> 00:03:23.000]  也是賜給歷世歷代
[00:03:23.000 --> 00:03:28.000]  跟隨祂、忠心侍奉祂的人
[00:03:28.000 --> 00:03:33.000]  一條新命令
[00:03:33.000 --> 00:03:35.000]  在聖經裏面
[00:03:35.000 --> 00:03:41.000]  豈不是有最大的誡命
[00:03:41.000 --> 00:03:50.000]  你們要盡心盡性盡義盡力愛主你的神
[00:03:50.000 --> 00:03:55.000]  其次也相仿要愛人如己
[00:03:55.000 --> 00:03:57.000]  或者單數也一樣
[00:03:57.000 --> 00:04:05.000]  你要盡心盡性盡義盡力愛你的神
[00:04:05.000 --> 00:04:10.000]  其次也相仿你要愛人如己
[00:04:10.000 --> 00:04:14.000]  既然有了最大的誡命
[00:04:14.000 --> 00:04:21.000]  為什麼又需要主耶穌親自
[00:04:21.000 --> 00:04:24.000]  賜下這條新的命令呢?
[00:04:24.000 --> 00:04:26.000]  新在哪裡呢?
[00:04:26.000 --> 00:04:32.000]  為什麼我們要照著耶穌基督的吩咐
[00:04:32.000 --> 00:04:34.000]  在神的家中
[00:04:34.000 --> 00:04:37.000]  在基督徒的群體裏面
[00:04:37.000 --> 00:04:39.000]  在門徒的群體裏面
[00:04:39.000 --> 00:04:45.000]  我們要彼此切實地相愛呢?
[00:04:45.000 --> 00:04:47.000]  我們要知道
[00:04:47.000 --> 00:04:49.000]  要很清楚
[00:04:49.000 --> 00:04:56.000]  再一次深入去思想這個題目
[00:04:56.000 --> 00:04:59.000]  我們一般的領受
[00:04:59.000 --> 00:05:01.000]  或者過往我們的領受
[00:05:01.000 --> 00:05:05.000]  或者我們平常在崇拜裏面
[00:05:05.000 --> 00:05:07.000]  在團契當中
[00:05:07.000 --> 00:05:10.000]  我們常常聽到
[00:05:10.000 --> 00:05:12.000]  我們弟兄和睦同居
[00:05:12.000 --> 00:05:15.000]  我們要彼此相愛
[00:05:15.000 --> 00:05:22.000]  我們要彼此相愛
[00:05:22.000 --> 00:05:26.000]  但我們知道
[00:05:26.000 --> 00:05:30.000]  彼此相愛這條新命令
[00:05:30.000 --> 00:05:33.000]  和最大的誡命
[00:05:33.000 --> 00:05:36.000]  你們要盡心盡性盡義盡力愛著你的神
[00:05:36.000 --> 00:05:38.000]  彼此要相訪
[00:05:38.000 --> 00:05:41.000]  你們要愛人如己
[00:05:41.000 --> 00:05:43.000]  的分別
[00:05:43.000 --> 00:05:49.000]  就是最大的誡命
[00:05:49.000 --> 00:05:55.000]  是以人為本
[00:05:55.000 --> 00:05:59.000]  主耶穌基督賜給門徒
[00:05:59.000 --> 00:06:01.000]  這條新命令
[00:06:01.000 --> 00:06:07.000]  是以神為本
[00:06:07.000 --> 00:06:17.000]  你們要盡心盡性盡義盡力愛著你的神
[00:06:17.000 --> 00:06:19.000]  彼此要相訪
[00:06:19.000 --> 00:06:26.000]  你們要愛人如己
[00:06:26.000 --> 00:06:31.000]  他是以人為本
[00:06:31.000 --> 00:06:34.000]  沒有將一個標準
[00:06:34.000 --> 00:06:40.000]  沒有將一個最高的標準
[00:06:40.000 --> 00:06:43.000]  包含在裏面
[00:06:43.000 --> 00:06:46.000]  但是耶穌基督
[00:06:46.000 --> 00:06:49.000]  賜下這條新命令的時候
[00:06:49.000 --> 00:06:52.000]  之所以為新命令
[00:06:52.000 --> 00:06:56.000]  實身就是以神為本
[00:06:56.000 --> 00:06:58.000]  你要盡心盡性
[00:06:58.000 --> 00:07:00.000]  你們要盡心盡性
[00:07:00.000 --> 00:07:02.000]  愛神愛人
[00:07:02.000 --> 00:07:04.000]  都是你,你
[00:07:04.000 --> 00:07:06.000]  你就是以人為本
[00:07:06.000 --> 00:07:11.000]  就是以你,你,你們
[00:07:11.000 --> 00:07:15.000]  但是賜下這條新命令
[00:07:15.000 --> 00:07:19.000]  就是你們要彼此相愛
[00:07:19.000 --> 00:07:22.000]  你還說那又不是你們
[00:07:22.000 --> 00:07:24.000]  你要彼此相愛
[00:07:24.000 --> 00:07:26.000]  那又是你
[00:07:26.000 --> 00:07:29.000]  留意
[00:07:29.000 --> 00:07:35.000]  你們要彼此相愛
[00:07:35.000 --> 00:07:39.000]  我怎樣愛你們
[00:07:39.000 --> 00:07:46.000]  你們也要怎樣相愛
[00:07:46.000 --> 00:07:51.000]  怎樣,怎樣
[00:07:51.000 --> 00:07:58.000]  《楊廣福音》十五章十二節更清楚
[00:07:58.000 --> 00:08:02.000]  十三章三十四節那一段
[00:08:02.000 --> 00:08:05.000]  你們,你們
[00:08:05.000 --> 00:08:08.000]  怎樣,怎樣
[00:08:08.000 --> 00:08:10.000]  有兩個怎樣
[00:08:10.000 --> 00:08:19.000]  這個是以神的愛為本
[00:08:19.000 --> 00:08:23.000]  十五章十二節就說
[00:08:23.000 --> 00:08:26.000]  你們要彼此相愛
[00:08:26.000 --> 00:08:30.000]  將我
[00:08:30.000 --> 00:08:32.000]  就是主耶穌
[00:08:32.000 --> 00:08:36.000]  愛你們一樣
[00:08:36.000 --> 00:08:40.000]  你聽我講,你用你的思想
[00:08:40.000 --> 00:08:42.000]  深入去思想下
[00:08:42.000 --> 00:08:48.000]  聖經裏面隱藏的真理豐富到令我們驚奇
[00:08:48.000 --> 00:08:52.000]  是你們要彼此相愛
[00:08:52.000 --> 00:09:00.000]  將我愛你們一樣
[00:09:00.000 --> 00:09:03.000]  將我愛你們一樣
[00:09:03.000 --> 00:09:07.000]  所以不是說你挨和我挨你
[00:09:07.000 --> 00:09:09.000]  講客家話坐在那裏
[00:09:09.000 --> 00:09:12.000]  你挨和我挨你就叫彼此相愛
[00:09:12.000 --> 00:09:16.000]  是將我,主耶穌說
[00:09:16.000 --> 00:09:20.000]  將我愛你們一樣
[00:09:20.000 --> 00:09:24.000]  因此我就留下一個功課給各位弟兄姊妹
[00:09:24.000 --> 00:09:26.000]  你們去思想
[00:09:26.000 --> 00:09:29.000]  首先你從四福音裏面找
[00:09:29.000 --> 00:09:32.000]  整本的新約聖經裏面去找
[00:09:32.000 --> 00:09:39.000]  找尋主耶穌怎樣愛我們
[00:09:39.000 --> 00:09:42.000]  主耶穌怎樣愛我們
[00:09:42.000 --> 00:09:45.000]  因為主耶穌說我怎樣愛你們
[00:09:45.000 --> 00:09:49.000]  你們也要怎樣相愛
[00:09:49.000 --> 00:09:54.000]  我首先要來到主的面前
[00:09:54.000 --> 00:09:56.000]  來到聖經的面前
[00:09:56.000 --> 00:10:01.000]  我們要尋找主耶穌怎樣怎樣愛我們
[00:10:01.000 --> 00:10:04.000]  耶穌到底怎樣愛我們
[00:10:04.000 --> 00:10:09.000]  我就有一個以神為本的愛
[00:10:09.000 --> 00:10:13.000]  就有一個最高的最高的標準
[00:10:13.000 --> 00:10:15.000]  我就向著這個目標
[00:10:15.000 --> 00:10:17.000]  向著這個標竿
[00:10:17.000 --> 00:10:20.000]  就是主耶穌怎樣愛我
[00:10:20.000 --> 00:10:28.000]  我也要怎樣在教會當中
[00:10:28.000 --> 00:10:31.000]  去彼此相愛
[00:10:31.000 --> 00:10:33.000]  不是用你自己的愛
[00:10:33.000 --> 00:10:37.000]  但是要用主耶穌怎樣愛我
[00:10:37.000 --> 00:10:39.000]  那個的愛
[00:10:39.000 --> 00:10:41.000]  舉例
[00:10:41.000 --> 00:10:43.000]  人子來
[00:10:43.000 --> 00:10:49.000]  我要尋找拯救失喪的人
[00:10:49.000 --> 00:10:51.000]  人子來
[00:10:51.000 --> 00:10:53.000]  不是要受人的伺候
