
[00:00:00.000 --> 00:00:02.140]  孔子明問候弟兄姊妹平安
[00:00:02.140 --> 00:00:04.000]  孔子問候弟兄姊妹平安
[00:00:04.000 --> 00:00:05.420]  今天是感恩節
[00:00:05.420 --> 00:00:06.680]  今天是感恩節
[00:00:06.680 --> 00:00:08.440]  我今天的講道題目呢
[00:00:08.440 --> 00:00:09.940]  我今天講到的題目
[00:00:09.940 --> 00:00:11.660]  是講感恩節的反面
[00:00:11.660 --> 00:00:13.420]  是講感恩節的反面
[00:00:13.420 --> 00:00:14.880]  一個不感恩的王
[00:00:14.880 --> 00:00:16.280]  一個不感恩的王
[00:00:16.280 --> 00:00:18.160]  下場我們今天就提出了
[00:00:18.160 --> 00:00:19.620]  我們就看到他的下場
[00:00:19.620 --> 00:00:24.120]  所以我給的題目是一個暗中與巴比倫私通的希西伽
[00:00:24.120 --> 00:00:28.000]  我給的題目是一個暗中與巴比倫私通的希西伽
[00:00:28.000 --> 00:00:30.760]  我今天講的是希西伽最後的講
[00:00:30.760 --> 00:00:32.560]  這是講希西伽最後一講
[00:00:32.560 --> 00:00:33.500]  OK
[00:00:33.500 --> 00:00:37.300]  那我就想開場講幾句話
[00:00:37.300 --> 00:00:39.840]  就是在開始的時候我想先講幾句話
[00:00:39.840 --> 00:00:42.680]  我認識一個比我大的人兄
[00:00:42.680 --> 00:00:44.680]  我認識一個比我大的人兄
[00:00:44.680 --> 00:00:45.980]  他聽過福音
[00:00:45.980 --> 00:00:46.820]  他聽過福音
[00:00:46.820 --> 00:00:47.680]  但是沒有接受
[00:00:47.680 --> 00:00:48.680]  但是沒有接受
[00:00:48.680 --> 00:00:49.920]  他來加拿大很多年
[00:00:49.920 --> 00:00:51.160]  他來加拿大很多年
[00:00:51.160 --> 00:00:53.180]  要在事業上大有所為
[00:00:53.180 --> 00:00:54.760]  要在事業上大有所為
[00:00:54.760 --> 00:00:55.660]  一生努力
[00:00:55.660 --> 00:00:56.500]  一生努力
[00:00:56.500 --> 00:00:57.860]  但是遇到阻力很多
[00:00:57.860 --> 00:01:00.200]  但是遇到阻力很多
[00:01:00.200 --> 00:01:01.900]  阻力也很大
[00:01:01.900 --> 00:01:03.000]  阻力也很大
[00:01:03.000 --> 00:01:04.200]  最後他患病
[00:01:04.200 --> 00:01:05.500]  最後他患病
[00:01:05.500 --> 00:01:06.540]  患很重的病
[00:01:06.540 --> 00:01:08.700]  患很重的病
[00:01:08.700 --> 00:01:09.940]  幸好得到醫治
[00:01:09.940 --> 00:01:11.640]  幸好得到醫治
[00:01:11.640 --> 00:01:15.140]  得到醫治後我就講一句話給他聽
[00:01:15.140 --> 00:01:16.480]  得到醫治後我就講一句話給他聽
[00:01:16.480 --> 00:01:19.980]  我這個是上帝給你的第二週約
[00:01:19.980 --> 00:01:22.120]  這是上帝給你的第二週約
[00:01:22.120 --> 00:01:29.460]  中文是The Second Least on Life
[00:01:29.460 --> 00:01:34.300]  意思是上帝給你第二次機會去認識祂
[00:01:34.300 --> 00:01:37.560]  意思是上帝給你第二次機會去認識祂
[00:01:37.560 --> 00:01:39.300]  他知道有上帝
[00:01:39.300 --> 00:01:41.700]  不過他不想信
[00:01:41.700 --> 00:01:47.240]  但是他想說上帝給我機會去完成我沒有完成的事
[00:01:47.240 --> 00:01:50.780]  但是他想說上帝給我機會去完成我沒有完成的事
[00:01:50.780 --> 00:01:52.940]  我以前想完成的現在沒有辦法
[00:01:52.940 --> 00:01:55.080]  現在有機會了還有生命了
[00:01:55.080 --> 00:01:57.320]  現在有機會了有生命他就完成了
[00:01:57.320 --> 00:02:01.060]  所以大展拳腳希望事業成功
[00:02:01.060 --> 00:02:02.160]  希望事業成功
[00:02:02.160 --> 00:02:05.660]  事業成功後他想增加知名度
[00:02:05.660 --> 00:02:07.420]  希望增加知名度
[00:02:07.420 --> 00:02:10.100]  讓那些人不可以小看他
[00:02:10.100 --> 00:02:13.800]  讓別人不可小看他
[00:02:13.800 --> 00:02:16.000]  之後怎樣我就不知道了
[00:02:16.000 --> 00:02:17.440]  後來怎麼樣我就不知道了
[00:02:17.440 --> 00:02:18.800]  其實這個心態呢
[00:02:18.800 --> 00:02:19.840]  這個心態呢
[00:02:19.840 --> 00:02:21.780]  二千七百年的希西加
[00:02:21.780 --> 00:02:23.740]  而且七位年輕的西西加
[00:02:23.740 --> 00:02:24.720]  都有
[00:02:24.720 --> 00:02:26.680]  也有
[00:02:26.680 --> 00:02:28.920]  他重病獲得醫治
[00:02:28.920 --> 00:02:30.720]  他重病得到醫治
[00:02:30.720 --> 00:02:34.820]  他又知道耶路撒冷會有十五年的平安
[00:02:34.820 --> 00:02:37.420]  他知道耶路撒冷有十五年的平安
[00:02:37.420 --> 00:02:40.120]  這個是二十章六席那裏告訴我們的
[00:02:40.120 --> 00:02:42.060]  這是二十章六席告訴我們的
[00:02:42.060 --> 00:02:44.260]  那麽現在希西加在這個時候
[00:02:44.260 --> 00:02:49.640]  有遠方的巴比里人來向他招手求助
[00:02:49.640 --> 00:02:53.940]  有遠方的巴比里人來向他招手求助
[00:02:53.940 --> 00:02:58.420]  因為他們想去共同對付一個強人
[00:02:58.420 --> 00:02:59.980]  想共同對付一個強人
[00:02:59.980 --> 00:03:02.120]  這個強人就是我們一直
[00:03:02.120 --> 00:03:06.020]  這十九章十八十九章所說的強人
[00:03:06.020 --> 00:03:08.520]  亞瑟王西那基那
[00:03:08.520 --> 00:03:13.160]  就是我們所講的亞瑟王西那基那
[00:03:13.160 --> 00:03:15.200]  那麽希西加按不住
