
[00:00:00.000 --> 00:00:02.000]  問一下大家一個問題
[00:00:02.000 --> 00:00:04.040]  在你家裡
[00:00:04.040 --> 00:00:05.760]  誰最大?
[00:00:05.760 --> 00:00:13.040]  我家裡以前我跟爺爺奶奶住的
[00:00:13.040 --> 00:00:16.720]  我們很怕爺爺
[00:00:16.720 --> 00:00:19.480]  很有尊嚴
[00:00:19.480 --> 00:00:23.240]  他當然在家裡是最大的
[00:00:23.240 --> 00:00:25.640]  到他退休了
[00:00:25.640 --> 00:00:29.840]  就變成另一個人了
[00:00:31.000 --> 00:00:33.320]  我一點都不怕他
[00:00:33.320 --> 00:00:34.840]  整天都要黏著他
[00:00:34.840 --> 00:00:37.680]  當然他變成不是最大了
[00:00:37.680 --> 00:00:40.320]  到時那時候就奶奶最大了
[00:00:40.320 --> 00:00:43.600]  現在我家裡
[00:00:43.600 --> 00:00:45.960]  誰最大呢?
[00:00:45.960 --> 00:00:48.120]  通常是兩個層次的
[00:00:48.120 --> 00:00:49.840]  一個表面上最大
[00:00:49.840 --> 00:00:52.160]  一個實際上最大的
[00:00:52.160 --> 00:00:57.360]  人就是很喜歡
[00:00:57.360 --> 00:00:59.280]  特別是中國文化
[00:00:59.640 --> 00:01:01.640]  排支輪迴
[00:01:01.640 --> 00:01:03.560]  所以呢
[00:01:03.560 --> 00:01:08.880]  在《馬拉福音》裡面
[00:01:08.880 --> 00:01:12.080]  門徒就問耶穌一個有關天國的問題
[00:01:12.080 --> 00:01:13.640]  是什麼問題呢?
[00:01:13.640 --> 00:01:17.000]  天國裡面誰最大?
[00:01:17.000 --> 00:01:21.720]  那你想一下
[00:01:21.720 --> 00:01:23.840]  耶穌怎麼回答呢?
[00:01:23.840 --> 00:01:25.640]  如果平心而論
[00:01:25.640 --> 00:01:27.760]  當你不知道聖經的答案的話
[00:01:28.560 --> 00:01:31.400]  那你會想是不是主教
[00:01:31.400 --> 00:01:33.400]  牧師
[00:01:33.400 --> 00:01:35.280]  神職人員最大呢?
[00:01:35.280 --> 00:01:41.280]  又或者會不會是那些
[00:01:41.280 --> 00:01:44.160]  行善最多
[00:01:44.160 --> 00:01:46.520]  道德最高的人最大呢?
[00:01:46.520 --> 00:01:48.240]  很自然會這樣想的
[00:01:48.240 --> 00:01:54.600]  又或者是那些對人類最有貢獻的人最大呢?
[00:01:54.600 --> 00:01:57.520]  但是耶穌的回答呢
[00:01:57.520 --> 00:01:58.400]  我們來看看
[00:01:58.920 --> 00:02:03.440]  他就不是直接回答這個問題的
[00:02:03.440 --> 00:02:04.960]  他只是說
[00:02:04.960 --> 00:02:06.880]  如果你們不迴轉
[00:02:06.880 --> 00:02:10.720]  變回好像小孩子一樣
[00:02:10.720 --> 00:02:12.920]  一定不能進天國
[00:02:12.920 --> 00:02:15.640]  其實這樣聽是很嚴重的
[00:02:15.640 --> 00:02:18.200]  他說如果跟那些門徒說
[00:02:18.200 --> 00:02:20.280]  你們不迴轉
[00:02:20.280 --> 00:02:26.120]  好像反而變成了一個警告
[00:02:26.120 --> 00:02:27.520]  如果你們不迴轉
[00:02:29.440 --> 00:02:31.040]  因為他們這樣問
[00:02:31.040 --> 00:02:36.200]  顯然他們中間是有一個價值取向在裡面的
[00:02:36.200 --> 00:02:40.160]  他們還以為神的國裡面
[00:02:40.160 --> 00:02:44.560]  仍然好像現今的世界一樣
[00:02:44.560 --> 00:02:46.920]  都是台資論輩的
[00:02:46.920 --> 00:02:49.400]  所以
[00:02:49.400 --> 00:02:52.960]  我們經常看到耶穌的門徒在爭論
[00:02:52.960 --> 00:02:54.920]  他們當中哪一個是最大的
[00:02:56.720 --> 00:02:58.680]  而這種想法
[00:02:58.680 --> 00:03:05.160]  偏偏就是跟天國的觀念背道而馳的
[00:03:05.160 --> 00:03:07.480]  所以
[00:03:07.480 --> 00:03:10.720]  耶穌就用了近乎警告的語氣
[00:03:10.720 --> 00:03:12.240]  如果你們不迴轉
[00:03:12.240 --> 00:03:15.560]  變回好像小孩子一樣
[00:03:15.560 --> 00:03:17.000]  一定不能進天國
[00:03:17.000 --> 00:03:21.480]  接著他就說
[00:03:21.480 --> 00:03:25.040]  他這個答案是什麼呢?
