
[00:00:00.000 --> 00:00:03.180]  再次多謝您讓我們知道
[00:00:03.180 --> 00:00:08.020]  我們一生裡必須向著標竿直跑
[00:00:08.020 --> 00:00:11.620]  是為了得著將來的獎賞
[00:00:11.620 --> 00:00:13.920]  我們祈求天父繼續幫助我們
[00:00:13.920 --> 00:00:16.060]  讓我們一生當中
[00:00:16.060 --> 00:00:19.220]  能夠向著耶穌基督這個標竿
[00:00:19.220 --> 00:00:21.520]  跑我們人生的路
[00:00:21.520 --> 00:00:23.620]  祢知道有祢這個目標
[00:00:23.620 --> 00:00:25.100]  我們去跑的時候
[00:00:25.100 --> 00:00:29.960]  讓我們能夠整個人生得著更加豐盛
[00:00:29.960 --> 00:00:31.500]  我們能夠有平安
[00:00:31.500 --> 00:00:33.640]  我們有很深的喜樂
[00:00:33.640 --> 00:00:36.700]  也經歷耶穌基督對我們的寬恕
[00:00:36.700 --> 00:00:39.500]  求祢親自閲立我們的祈禱
[00:00:39.500 --> 00:00:41.740]  閲立我們全人的敬拜
[00:00:41.740 --> 00:00:44.040]  聽我們的禱告奉主明求
[00:00:44.040 --> 00:00:45.280]  Amen
[00:00:45.280 --> 00:00:48.120]  其實今天我們會說馬克福音第六章
[00:00:48.120 --> 00:00:50.280]  由第一節到第六節
[00:00:50.280 --> 00:00:51.280]  我們很深信去年
[00:00:51.280 --> 00:00:54.220]  我們有同工說過這段聖經
[00:00:54.220 --> 00:00:56.320]  當然我們在不同的同工
[00:00:56.320 --> 00:00:58.400]  去看同一段聖經的時候
[00:00:58.400 --> 00:01:01.400]  我們很深信真理是不會變
[00:01:01.400 --> 00:01:03.060]  不過在演繹當中
[00:01:03.060 --> 00:01:05.000]  或者我們在分享那一邊
[00:01:05.000 --> 00:01:07.700]  或許在我們不同的經歷當中
[00:01:07.700 --> 00:01:10.300]  或許在同一個真理當中
[00:01:10.300 --> 00:01:12.080]  讓我們在不同的角度
[00:01:12.080 --> 00:01:15.840]  可以有很多不同的學習的方向
[00:01:15.840 --> 00:01:17.740]  今天的經文其實很簡單
[00:01:17.740 --> 00:01:21.420]  是說到耶穌當祂完成了祂第一個階段
[00:01:21.420 --> 00:01:25.320]  在加利利境內的服侍之後
[00:01:25.320 --> 00:01:26.920]  祂去到尾聲的時候
[00:01:26.920 --> 00:01:28.860]  就是祂回到自己的家鄉
[00:01:28.860 --> 00:01:30.260]  回到自己的家鄉的時候
[00:01:30.260 --> 00:01:33.260]  碰巧也碰到安息日
[00:01:33.260 --> 00:01:34.800]  於是祂就很自然的
[00:01:34.800 --> 00:01:37.500]  就在會堂那邊去教訓人
[00:01:37.500 --> 00:01:39.000]  當時其實很有趣的
[00:01:39.000 --> 00:01:43.400]  當時的會堂其實是容讓某一些拉比
[00:01:43.400 --> 00:01:47.240]  可以很自由地上到台上來講道
[00:01:47.240 --> 00:01:48.580]  當然那些拉比
[00:01:48.580 --> 00:01:50.020]  有些拉比可能很出名
[00:01:50.020 --> 00:01:53.220]  也可以邀請祂在會堂那邊
[00:01:53.220 --> 00:01:55.320]  在安息日當中來教訓
[00:01:55.320 --> 00:01:57.780]  當時在會堂那邊聚集的一些人
[00:01:57.780 --> 00:01:59.480]  所以耶穌很自然
[00:01:59.480 --> 00:02:01.020]  因為耶穌基督在第一章
