
[00:00:00.000 --> 00:00:01.540]  (主席)各位電影姊妹早晨
[00:00:01.540 --> 00:00:05.760]  (主席)一直都在說舊約的禱告系列
[00:00:05.760 --> 00:00:09.260]  (主席)上一次跟大家分享的題目就是
[00:00:09.260 --> 00:00:11.320]  (主席)「以咒報怨」
[00:00:11.320 --> 00:00:13.700]  (主席)我們說到當我們面對一些人
[00:00:13.700 --> 00:00:16.720]  (主席)對我們的凌辱、欺負
[00:00:16.720 --> 00:00:19.320]  (主席)而我們沒有能力去反抗
[00:00:19.320 --> 00:00:22.240]  (主席)我們的權利被剝奪的時候
[00:00:22.240 --> 00:00:24.420]  (主席)我們可以怎樣做呢?
[00:00:24.420 --> 00:00:26.440]  (主席)我們可不可以透過禱告
[00:00:26.440 --> 00:00:28.120]  (主席)去求神
[00:00:28.120 --> 00:00:29.640]  (主席)去責罰這些人
[00:00:29.640 --> 00:00:31.380]  (主席)懲治這些人
[00:00:31.380 --> 00:00:34.180]  (主席)甚至在禱告裡面去咒詛祂呢?
[00:00:34.180 --> 00:00:36.460]  (主席)那時候我們即使想
[00:00:36.460 --> 00:00:38.460]  (主席)就是不可能、不應該的
[00:00:38.460 --> 00:00:41.640]  (主席)但原來我們看到詩篇裡面有咒詛詩
[00:00:41.640 --> 00:00:43.780]  (主席)原來我們是可以藉著禱告
[00:00:43.780 --> 00:00:45.780]  (主席)將我們這種不滿的情緒
[00:00:45.780 --> 00:00:47.780]  (主席)向神來傾訴
[00:00:47.780 --> 00:00:49.780]  (主席)神是會閱立
[00:00:49.780 --> 00:00:53.500]  (主席)但未必會按我們所要求的來做到
[00:00:53.500 --> 00:00:55.500]  (主席)但是更加的
[00:00:55.500 --> 00:00:57.200]  (主席)我們去到神的面前的時候
[00:00:57.200 --> 00:01:00.440]  (主席)神可以使我們得到這份的安靜
[00:01:00.440 --> 00:01:05.020]  (主席)今天會從大家從另一個角度去看
[00:01:05.020 --> 00:01:07.020]  (主席)你愛一個人
[00:01:07.020 --> 00:01:09.520]  (主席)但你看到他失落
[00:01:09.520 --> 00:01:11.400]  (主席)你看到他犯錯
[00:01:11.400 --> 00:01:13.400]  (主席)你可不可以祈禱求神
[00:01:13.400 --> 00:01:15.400]  (主席)叫他壞
