
[00:00:00.000 --> 00:00:08.000]  我只想想,整年裡,圍繞我心裡的一個方向,神同在的方向,說了些什麼呢?
[00:00:08.000 --> 00:00:15.000]  當我想起一月的時候,因為是新年,所以我用了一個「前行」這個訊息
[00:00:15.000 --> 00:00:23.000]  當時用雅各,他的人生來到一個位置,他要「前行」而入為題
[00:00:23.000 --> 00:00:29.000]  說到他在《創世紀》28章,他因為哥哥的追殺
[00:00:29.000 --> 00:00:34.000]  或者這麼說,迫於無奈,他要「向前行」
[00:00:34.000 --> 00:00:39.000]  後面有追兵,所以唯有「向前行」
[00:00:39.000 --> 00:00:45.000]  但這位上帝真是好,在人不知走去那裡,一無所有的時候
[00:00:45.000 --> 00:00:53.000]  神在伯達利與雅各相遇,這個相遇帶給雅各生命裡一個很大的更新
[00:00:53.000 --> 00:01:01.000]  他更加能夠敬拜上帝,他更加能夠真真正正親自在上帝裡得到真實的祝福
[00:01:01.000 --> 00:01:07.000]  他更加能夠在上帝面前立一個生命的宣言,他以耶和華為他一生的神
[00:01:07.000 --> 00:01:13.000]  輾轉二十年,我今天很想說他的下半集
[00:01:13.000 --> 00:01:20.000]  二十年過去,雅各在拉班的舅父家裡寄居
[00:01:20.000 --> 00:01:26.000]  寄居的日子不容易,為了愛情,為了他愛拉傑
[00:01:26.000 --> 00:01:31.000]  他付出了十四年功架,十四年後他很想走
[00:01:31.000 --> 00:01:36.000]  不過他學會了一件事,上帝沒有叫你走,你就不要走
[00:01:36.000 --> 00:01:42.000]  他就在等候,再等候多六年,神給他這六年,風風滿滿
[00:01:42.000 --> 00:01:50.000]  從這個狡猾的拉班,想在他生命裡得到好處的拉班手下,拿回他自己應得的家產
[00:01:50.000 --> 00:01:55.000]  二十年後神再一次呼喚他,返回自己的地方去
[00:01:55.000 --> 00:02:00.000]  雅各就是這樣再前行,他再前行需要什麼呢?
[00:02:00.000 --> 00:02:05.000]  他需要一份更大的勇氣,今天讓我們再一次在經文裡學習
[00:02:05.000 --> 00:02:09.000]  雖然不完美,雅各也是
[00:02:09.000 --> 00:02:13.000]  在他的生命裡有很多不夠完美的地方
[00:02:13.000 --> 00:02:17.000]  不過上帝說,再前行,因為我要與你同行
[00:02:17.000 --> 00:02:20.000]  我們看看《創世紀》第32章1至12節
[00:02:20.000 --> 00:02:25.000]  第32章1至12節,請聽我讀出這段經文
[00:02:25.000 --> 00:02:28.000]  雅各營救閒路,神的使者遇見他
[00:02:28.000 --> 00:02:33.000]  雅各看見,對他們說,這是神的軍兵
[00:02:33.000 --> 00:02:36.000]  於是被那個地方起名叫馬哈廉
[00:02:36.000 --> 00:02:41.000]  雅各打發人先往西爾地方去,因為那個地方是他哥哥居住的地方
[00:02:41.000 --> 00:02:45.000]  他就吩咐人跟他哥哥說,你們對我的主已訴說
[00:02:45.000 --> 00:02:50.000]  你的僕人雅各這人說,我在拉班裡寄居直到如今
[00:02:50.000 --> 00:02:54.000]  有牛奴羊群瀑被,現在打發人來報告我主
[00:02:54.000 --> 00:02:56.000]  說要在你眼前蒙恩
[00:02:56.000 --> 00:02:59.000]  所打發的人又回到雅各那裡說
[00:02:59.000 --> 00:03:03.000]  我們到了你哥哥那裡了,他帶著四百人正迎著你來
[00:03:03.000 --> 00:03:07.000]  雅各聽見這個消息就產生很大的懼怕
[00:03:07.000 --> 00:03:09.000]  雅各就甚懼怕而且愁煩
[00:03:09.000 --> 00:03:13.000]  便把那與他同在的人口等等的事分成兩隊
[00:03:13.000 --> 00:03:18.000]  他跟自己說,如果耶穌來擊殺這一隊,剩下一隊還可以逃避
[00:03:18.000 --> 00:03:23.000]  然後雅各就向著上帝有一個禱告,他這樣祈禱
[00:03:23.000 --> 00:03:27.000]  耶和說,我祖阿伯拉罕的神,我父親以撒的神
[00:03:27.000 --> 00:03:33.000]  你曾對我說,回你本地本族去,我要厚待你
[00:03:33.000 --> 00:03:37.000]  你向僕人所施的一切慈愛和誠實,我一點都不配得
[00:03:37.000 --> 00:03:42.000]  我先前只是拿著我的將過這個約旦河,如今卻成為了兩隊
[00:03:42.000 --> 00:03:47.000]  求你救我脫離我哥哥耳掃的手,因為我怕他來殺我
[00:03:47.000 --> 00:03:49.000]  連妻子帶兒女一同去殺
[00:03:49.000 --> 00:03:54.000]  你曾經說,我必定厚待你,使你的後裔如同海邊的沙
[00:03:54.000 --> 00:03:57.000]  多得不可生數
[00:03:57.000 --> 00:04:01.000]  那個猶蒼世紀二十八章出發,輾轉經過二十年
[00:04:01.000 --> 00:04:05.000]  當日出發,我要再說,因為他無路可走
[00:04:05.000 --> 00:04:11.000]  帶著那份勇氣,唯有向前行,才能得到他能安居的地方
[00:04:11.000 --> 00:04:16.000]  昔日他帶著這份很魯莽的勇氣,不過上帝用他的英許
[00:04:16.000 --> 00:04:22.000]  去包住這份勇氣,能夠使他得到,是他沒有想過的豐富
[00:04:22.000 --> 00:04:26.000]  今日他再次要前行,他要拿一份勇氣
