
[00:00:00.000 --> 00:00:02.040]  各位弟兄姊妹 祖內平安
[00:00:02.040 --> 00:00:03.580]  各位大英姐妹平安
[00:00:03.580 --> 00:00:07.180]  很高興今天再一次跟大家一起來敬拜祖
[00:00:07.180 --> 00:00:10.760]  很高興今天能夠再一次跟大家一起來敬拜祖
[00:00:10.760 --> 00:00:13.820]  非常感謝袁牧師還有各位長老
[00:00:13.820 --> 00:00:16.900]  特別是這裏周長老為我做翻譯
[00:00:16.900 --> 00:00:19.720]  很感謝袁牧師和各位長老
[00:00:19.720 --> 00:00:22.280]  給我機會在這裏跟大家講到
[00:00:22.280 --> 00:00:26.620]  我就是發現我就是最大的弱點
[00:00:26.620 --> 00:00:28.160]  永遠學不會廣東話
[00:00:28.160 --> 00:00:31.240]  我發現我最大的弱點就是永遠學不會廣東話
[00:00:31.240 --> 00:00:35.580]  但是袁牧師還有剛才長老的廣東話
[00:00:35.580 --> 00:00:38.400]  我還是能夠聽多聽懂一點
[00:00:38.400 --> 00:00:42.760]  不過剛才袁牧師的禱告和長老的講話
[00:00:42.760 --> 00:00:44.800]  都懂得少少的
[00:00:44.800 --> 00:00:48.640]  所以謝謝大家給我的包容
[00:00:48.640 --> 00:00:50.680]  所以多謝大家給我包容
[00:00:50.680 --> 00:00:53.500]  我今天還是跟大家分享
[00:00:53.500 --> 00:00:56.840]  我最近的講到系列當中的一篇
[00:00:56.840 --> 00:01:01.440]  我今天繼續跟大家分享我最近一個講到系列的其中的一篇
[00:01:01.440 --> 00:01:05.040]  就是主耶穌在樓房上的講論
[00:01:05.040 --> 00:01:07.860]  就是耶穌在樓房上的講論
[00:01:07.860 --> 00:01:11.440]  其實今天的經文已經是離開了樓房
[00:01:11.440 --> 00:01:14.760]  其實今天的經文已經離開了樓房
[00:01:14.760 --> 00:01:18.860]  已經是主耶穌在最後的時刻
[00:01:18.860 --> 00:01:21.920]  祂向貼附上帝謝上禱告
[00:01:21.920 --> 00:01:26.540]  是耶穌基督在祂最後的一刻向天父上帝獻上的禱告
[00:01:26.540 --> 00:01:30.380]  如果我們看約翰福音17章
[00:01:30.380 --> 00:01:32.680]  如果我們看約翰福音17章
[00:01:32.680 --> 00:01:36.780]  整章經文都是記載了主耶穌基督的禱告
[00:01:36.780 --> 00:01:39.600]  整章的經文都記載了耶穌基督的禱告
[00:01:39.600 --> 00:01:45.480]  通常解經學者把這一章稱為是大祭司的禱告
[00:01:45.480 --> 00:01:50.600]  通常那些解經家把這一章的經文叫做大祭司的禱告
[00:01:50.600 --> 00:01:52.140]  這位大祭司是誰呢?
[00:01:52.140 --> 00:01:53.680]  這位大祭司是誰呢?
[00:01:53.680 --> 00:01:54.700]  就是主耶穌
[00:01:54.700 --> 00:01:55.720]  就是主耶穌
[00:01:55.720 --> 00:01:58.280]  這個時候主耶穌還沒有定十字架
[00:01:58.280 --> 00:02:00.580]  這個時候主耶穌還沒當十字架
[00:02:00.580 --> 00:02:03.400]  但是祂馬上就要上十字架
[00:02:03.400 --> 00:02:05.700]  但是祂馬上就要上十字架
[00:02:05.700 --> 00:02:07.760]  所以當主耶穌在這裡
[00:02:07.760 --> 00:02:12.100]  我們看到祂的三重的身份
[00:02:12.100 --> 00:02:16.460]  祭司、君王、蠍子等都差不多已經寫明出來了
[00:02:16.460 --> 00:02:21.320]  我們在這裡看到耶穌基督三重的身份
[00:02:21.320 --> 00:02:28.740]  蠍子、君王、祭司三重的身份都差不多顯露出來了
[00:02:28.740 --> 00:02:31.820]  這說明我普通話也不夠好
[00:02:31.820 --> 00:02:36.160]  不是他的普通話不夠好,我不記得
[00:02:36.160 --> 00:02:41.300]  所以甚至有人把整章的約翰福音17章
[00:02:41.300 --> 00:02:44.360]  稱為是聖經當中的自聖所
[00:02:44.360 --> 00:02:49.220]  所以有人說約翰福音17章是聖經裡面的自聖所
[00:02:49.220 --> 00:02:54.080]  這個是超越了舊約時代的自聖所和大祭司
[00:02:54.080 --> 00:02:58.440]  這個是超越了舊約時代的自聖所的一位大祭司
[00:02:58.440 --> 00:03:03.560]  那麼主耶穌這位大祭司祂究竟是如何禱告?向誰禱告呢?
