
[00:00:00.000 --> 00:00:06.520]  今天是五堂的時間會有一些聖禮
[00:00:06.520 --> 00:00:10.340]  亦都是一個很特別的日子
[00:00:10.340 --> 00:00:11.960]  每逢這些日子
[00:00:11.960 --> 00:00:17.040]  雖然不是自己洗禮或者自己奉獻
[00:00:17.040 --> 00:00:19.320]  其實都令我自己去回想一下
[00:00:19.320 --> 00:00:22.700]  自己的信主的年日
[00:00:22.700 --> 00:00:24.900]  或者自己受浸的時候
[00:00:24.900 --> 00:00:27.540]  那種感覺又會是怎樣呢?
[00:00:27.540 --> 00:00:30.800]  雖然都有一段日子
[00:00:30.800 --> 00:00:34.920]  不過每一次想起這些情景都是很感動的
[00:00:34.920 --> 00:00:39.760]  我盼望我們都有這樣的想法
[00:00:39.760 --> 00:00:42.460]  每一次想起你怎樣信耶穌
[00:00:42.460 --> 00:00:45.180]  每一次想起你洗禮的時候
[00:00:45.180 --> 00:00:48.960]  都是成為你一個很好的激勵和提醒
[00:00:48.960 --> 00:00:52.320]  今天來跟大家思想一個題目
[00:00:52.320 --> 00:00:55.720]  叫做「你的信救了你甚麼?」
[00:00:55.720 --> 00:00:58.320]  其實這個題目不是我想的
[00:00:58.320 --> 00:00:59.480]  不是我作的
[00:00:59.480 --> 00:01:01.560]  事實上來自一段經文
[00:01:01.560 --> 00:01:05.960]  《路加福音》第十七章第十一至十九節
[00:01:05.960 --> 00:01:10.860]  這段是三代經課裡面今天的福音經課
[00:01:10.860 --> 00:01:12.860]  跟大家一起思想
[00:01:12.860 --> 00:01:15.500]  我發現原來都很適合
[00:01:15.500 --> 00:01:19.020]  今天一起讓我們明白
[00:01:19.020 --> 00:01:22.320]  到底我們的信救了我們甚麼呢?
[00:01:22.320 --> 00:01:26.220]  有經文或者聖經我們也試試打開
[00:01:26.220 --> 00:01:29.220]  經文的內頁
[00:01:29.220 --> 00:01:30.440]  一起讀
[00:01:30.440 --> 00:01:32.580]  在大家手上的聖經一百二十頁
[00:01:32.580 --> 00:01:34.460]  新約的一百二十一頁
[00:01:34.460 --> 00:01:36.460]  就找到這段聖經了
[00:01:36.460 --> 00:01:38.400]  或者你覺得方便的話
[00:01:38.400 --> 00:01:40.720]  可以看看螢光幕也可以
[00:01:40.720 --> 00:01:44.120]  我們一起讀這九節的經文好不好?
[00:01:44.120 --> 00:01:45.720]  我們一起讀
[00:01:45.720 --> 00:01:47.020]  預備起
[00:01:47.020 --> 00:01:50.000]  耶穌往耶路撒冷去
[00:01:50.000 --> 00:01:55.220]  經過撒瑪利亞和加利利中間的地區
[00:01:55.220 --> 00:01:58.360]  他進入了一個村子
[00:01:58.360 --> 00:02:02.380]  有十個麻風病人迎面而來
[00:02:02.380 --> 00:02:04.380]  遠遠地站著
[00:02:04.380 --> 00:02:08.000]  高聲說:耶穌,老師啊
[00:02:08.000 --> 00:02:10.000]  可憐我們吧!
[00:02:10.000 --> 00:02:11.500]  耶穌看見
[00:02:11.500 --> 00:02:13.500]  就對他們說:
[00:02:13.500 --> 00:02:17.800]  你們去把身體給祭司檢查
[00:02:17.800 --> 00:02:21.600]  他們正去的時候就潔淨了
[00:02:21.600 --> 00:02:25.600]  其中有一個看見自己已經好了
[00:02:25.600 --> 00:02:29.720]  就回來大聲歸榮耀給上帝
[00:02:29.720 --> 00:02:34.180]  又俯伏在耶穌腳前感謝他
[00:02:34.180 --> 00:02:36.960]  這人是撒瑪利亞人
[00:02:36.960 --> 00:02:38.960]  耶穌回答說
[00:02:38.960 --> 00:02:42.340]  潔淨了的不是十個人嗎?
[00:02:42.340 --> 00:02:44.760]  那九個在哪裡呢?
[00:02:44.760 --> 00:02:48.700]  除了這外族人,再沒有別人
[00:02:48.700 --> 00:02:51.800]  回來歸榮耀給上帝嗎?
[00:02:51.800 --> 00:02:54.620]  於是他對那人說:
[00:02:54.620 --> 00:02:58.780]  起來!走吧!你的信救了你
[00:02:58.780 --> 00:03:01.520]  這是一個醫治的神蹟
[00:03:01.520 --> 00:03:03.800]  不過很獨特
[00:03:03.800 --> 00:03:07.760]  是四方裡面路加所獨有的記載
[00:03:07.760 --> 00:03:10.980]  你在其他三卷或四卷方書裡面
[00:03:10.980 --> 00:03:17.020]  是找不到同樣有記載的
[00:03:17.020 --> 00:03:20.640]  只是在路加裡面有記載
[00:03:20.640 --> 00:03:25.580]  路加將整個神蹟分成上下部分
[00:03:25.580 --> 00:03:26.900]  其實也不難
[00:03:26.900 --> 00:03:29.140]  第十一至第十四節
[00:03:29.140 --> 00:03:31.140]  還有第十五至第十九節
[00:03:31.140 --> 00:03:34.300]  我們也嘗試從這兩個方面思想
[00:03:34.300 --> 00:03:40.420]  上半部是說醫治神蹟的整個過程
[00:03:40.420 --> 00:03:45.220]  下半部是說醫治神蹟的結果
[00:03:45.220 --> 00:03:53.700]  包括被醫治者和醫治者的反應
[00:03:53.700 --> 00:03:58.120]  裡面可以簡單分為這兩個部分
[00:03:58.120 --> 00:04:05.000]  而我也嘗試從這兩個部分思想兩個方向
[00:04:05.000 --> 00:04:08.040]  我說我們的信救了我們什麼
[00:04:08.040 --> 00:04:13.460]  上半部是思想我們信得醫治
[00:04:13.460 --> 00:04:17.980]  下半部是思想我們的信得重建
[00:04:17.980 --> 00:04:22.260]  我們嘗試從這個角度去理解這段聖經
[00:04:22.260 --> 00:04:24.240]  不過我自己讀完之後發現
[00:04:24.240 --> 00:04:27.560]  其實我們絕大部分人
[00:04:27.560 --> 00:04:30.500]  我坐在這裡的絕大部分人
[00:04:30.500 --> 00:04:35.580]  我們都沒有這個故事裡面這十個主人翁的經驗
[00:04:35.580 --> 00:04:38.020]  如果你有大麻風經驗
[00:04:38.020 --> 00:04:42.120]  我想你的機會應該不是坐在這裡
[00:04:42.120 --> 00:04:44.540]  雖然我們絕大部分人都沒有
[00:04:44.540 --> 00:04:48.180]  但其實我們也不要說大麻風
[00:04:48.180 --> 00:04:54.580]  我們不是每個人都有經歷過驚天地泣鬼神的經驗
[00:04:54.580 --> 00:04:57.720]  我們的信也是很平淡的
[00:04:57.720 --> 00:05:01.920]  也是很普通的
[00:05:01.920 --> 00:05:04.080]  剛才我說今天是洗禮
[00:05:04.080 --> 00:05:09.120]  今年這屆葵福之堂有兩位老人家洗禮
[00:05:09.120 --> 00:05:14.520]  我很記得其中一堂教他們寫德教見證
[00:05:14.520 --> 00:05:17.460]  上洗禮班的時候教他們寫德教見證
[00:05:17.460 --> 00:05:19.980]  我就說德教見證很簡單
[00:05:19.980 --> 00:05:21.680]  就是將你信耶穌的經歷
[00:05:21.680 --> 00:05:23.540]  信耶穌之後有什麼改變
[00:05:23.540 --> 00:05:28.260]  然後寫出來跟頂智慧分享感謝神
[00:05:28.260 --> 00:05:30.340]  其中一個姐妹就回答我
[00:05:30.340 --> 00:05:32.060]  其中一個是老友記
[00:05:32.060 --> 00:05:35.340]  牧師我沒有什麼改變
[00:05:35.340 --> 00:05:38.160]  我一輩子都不拜偶像
[00:05:38.160 --> 00:05:43.960]  我在天主教的地方工作了三十多二十年
[00:05:43.960 --> 00:05:46.460]  我經常都聽道理
[00:05:46.460 --> 00:05:49.300]  修女、神父對我很好
[00:05:49.300 --> 00:05:50.440]  我對人也很好
[00:05:50.440 --> 00:05:52.780]  我不立壞心腸
[00:05:52.780 --> 00:05:54.800]  沒有什麼經歷
[00:05:54.800 --> 00:05:56.800]  我又不是大病一場
[00:05:56.800 --> 00:06:01.020]  又不是作奸犯科
[00:06:01.020 --> 00:06:03.480]  我沒有什麼見證
[00:06:03.480 --> 00:06:05.640]  她說完之後我真的想回應她一句
[00:06:05.640 --> 00:06:07.880]  那不用洗了
[00:06:07.880 --> 00:06:09.200]  那當然不行了
[00:06:09.200 --> 00:06:10.400]  上洗禮班了
[00:06:10.400 --> 00:06:12.180]  你要解釋給她聽
[00:06:12.180 --> 00:06:13.780]  告訴她
[00:06:13.780 --> 00:06:15.400]  於是我就跟她說
[00:06:15.400 --> 00:06:17.540]  我就說放心,姐妹
[00:06:17.540 --> 00:06:19.240]  你一定有的
[00:06:19.240 --> 00:06:21.000]  你一定有改變的
[00:06:21.000 --> 00:06:22.800]  問題是你沒有察覺
[00:06:22.800 --> 00:06:25.600]  或者你沒有懷疑而已
[00:06:25.600 --> 00:06:27.200]  那一刻的我
[00:06:27.200 --> 00:06:29.640]  突然很有信心地對她說
[00:06:29.640 --> 00:06:33.320]  你的信已經救了你
[00:06:33.320 --> 00:06:35.440]  我認識她不是很久
[00:06:35.440 --> 00:06:39.200]  她來教會也是兩年左右而已
[00:06:39.200 --> 00:06:41.600]  當然我看著她信主
[00:06:41.600 --> 00:06:45.620]  怎麼跟她上洗禮班呢?
[00:06:45.620 --> 00:06:46.960]  你說她是不是有很多經歷?
[00:06:46.960 --> 00:06:48.200]  也不是的
[00:06:48.200 --> 00:06:49.600]  很平淡的
[00:06:49.600 --> 00:06:51.640]  我曾經也坐著想
[00:06:51.640 --> 00:06:54.860]  到底怎麼幫她寫見證呢?
[00:06:54.860 --> 00:06:56.560]  怎麼引導她
[00:06:56.560 --> 00:06:57.580]  我經常開玩笑
[00:06:57.580 --> 00:06:58.460]  我作見證
[00:06:58.460 --> 00:06:59.320]  我們要作見證
[00:06:59.320 --> 00:07:00.860]  我不是跟你作的
[00:07:00.860 --> 00:07:02.520]  我真的要告訴你
[00:07:02.520 --> 00:07:03.480]  要引導你
