
[00:00:00.000 --> 00:00:02.000]  我們一起做一個禱告
[00:00:02.000 --> 00:00:07.940]  主耶穌,多謝祢
[00:00:07.940 --> 00:00:15.940]  當普世在慶祝祢的降生的時候
[00:00:15.940 --> 00:00:19.880]  我們不忘記祢來這個世界的目的
[00:00:19.880 --> 00:00:22.480]  祢未降生
[00:00:22.480 --> 00:00:26.960]  先知的預言已經多次多方預言祢的來臨
[00:00:26.960 --> 00:00:28.940]  祢是以馬來尼
[00:00:29.160 --> 00:00:30.500]  祢是全能的神
[00:00:30.500 --> 00:00:32.880]  但祢要成為永在的父
[00:00:32.880 --> 00:00:34.160]  和平的君
[00:00:34.160 --> 00:00:36.000]  祢來到這個世界
[00:00:36.000 --> 00:00:38.560]  就是要將平安和喜樂
[00:00:38.560 --> 00:00:40.080]  來慈悲世人
[00:00:40.080 --> 00:00:43.480]  只要人的心裡面有空處
[00:00:43.480 --> 00:00:44.760]  是給過祢
[00:00:44.760 --> 00:00:48.280]  祢就能夠將這種出人意外的平安
[00:00:48.280 --> 00:00:49.560]  來給過祂
[00:00:49.560 --> 00:00:51.920]  我們為一切獻上感恩
[00:00:51.920 --> 00:00:54.240]  祢不僅是為我們降生
[00:00:54.240 --> 00:00:57.040]  受難節、復活節
[00:00:57.640 --> 00:00:59.640]  也很清楚顯明
[00:00:59.640 --> 00:01:01.840]  祢來世的目的
[00:01:01.840 --> 00:01:04.760]  就是要為我們眾人的罪
[00:01:04.760 --> 00:01:05.760]  寫十字架上
[00:01:05.760 --> 00:01:10.520]  以致我們和神之間約的規定
[00:01:10.520 --> 00:01:12.840]  祢一次過成就
[00:01:12.840 --> 00:01:14.960]  將我們一切的罪孽
[00:01:14.960 --> 00:01:16.360]  日不嘔笑
[00:01:16.360 --> 00:01:18.480]  我們為一切感恩
[00:01:18.480 --> 00:01:21.080]  求祢幫助我們不忘記祢的恩典
[00:01:21.080 --> 00:01:23.000]  特別在這個佳節期間
[00:01:23.200 --> 00:01:28.080]  記得祢來世的目的是為了什麼
[00:01:28.080 --> 00:01:30.160]  以致我們傳揚的時候
[00:01:30.160 --> 00:01:32.160]  更多的人有機會聽到福音
[00:01:32.160 --> 00:01:33.440]  和相信祢
[00:01:33.440 --> 00:01:35.200]  聽我們禱告
[00:01:35.200 --> 00:01:37.000]  奉耶穌基督的命強
[00:01:37.000 --> 00:01:40.920]  兩天前
[00:01:40.920 --> 00:01:43.240]  連香港
[00:01:43.240 --> 00:01:45.720]  一個
[00:01:45.720 --> 00:01:47.840]  這麼先進
[00:01:47.840 --> 00:01:49.960]  這麼多資訊
[00:01:49.960 --> 00:01:51.960]  這麼發達的地方
[00:01:52.640 --> 00:01:54.560]  竟然都有二百多人
[00:01:54.560 --> 00:01:56.480]  預備好他們自己
[00:01:56.480 --> 00:01:59.440]  去吃一個叫做末日大餐
[00:01:59.440 --> 00:02:02.080]  排隊地排
[00:02:02.080 --> 00:02:06.640]  另外中國大陸有成千以上的人
[00:02:06.640 --> 00:02:08.040]  湧了來香港
[00:02:08.040 --> 00:02:09.640]  就是因為
[00:02:09.640 --> 00:02:10.880]  他們知道
[00:02:10.880 --> 00:02:13.960]  2012年12月21日
[00:02:13.960 --> 00:02:15.160]  下午六點
[00:02:15.160 --> 00:02:16.600]  就是世界末日
