
[00:00:00.000 --> 00:00:02.560]  各位長安堂的弟兄姊妹平安
[00:00:02.560 --> 00:00:06.880]  看到敬拜我都很起敬的
[00:00:06.880 --> 00:00:09.240]  多謝江牧師帶我們
[00:00:09.240 --> 00:00:13.120]  那麼在我們去下一站之前
[00:00:13.120 --> 00:00:14.480]  我問一下大家
[00:00:14.480 --> 00:00:17.480]  大家等不等著想去旅行
[00:00:17.480 --> 00:00:19.600]  還是習慣了留在這裡都不想動了?
[00:00:19.600 --> 00:00:25.480]  我前幾天因為太太生日
[00:00:25.480 --> 00:00:28.080]  我有生以來第一次的Staycation
[00:00:28.080 --> 00:00:30.160]  我也沒有試過
[00:00:30.160 --> 00:00:32.400]  原來在香港住一間酒店挺有趣的
[00:00:32.400 --> 00:00:34.240]  我自己也從來沒有試過
[00:00:34.240 --> 00:00:35.280]  又沒有隔離過
[00:00:35.280 --> 00:00:37.400]  所以就不知道住酒店隔離
[00:00:37.400 --> 00:00:40.360]  我剛剛有一個宣教士回來
[00:00:40.360 --> 00:00:42.720]  隔離了十幾天
[00:00:42.720 --> 00:00:44.720]  他覺得很難受
[00:00:44.720 --> 00:00:46.320]  我不知道我們現在
[00:00:46.320 --> 00:00:48.800]  在香港幸好是我們家裡
[00:00:48.800 --> 00:00:51.400]  要不然當隔離也是很辛苦的一件事
[00:00:51.400 --> 00:00:54.920]  所以我想帶大家去一下雅典
[00:00:54.920 --> 00:00:56.320]  有誰去過雅典的?
[00:00:58.800 --> 00:00:59.960]  今早有一個
[00:00:59.960 --> 00:01:01.480]  今早的主席去
[00:01:01.480 --> 00:01:04.400]  今早還有兩個
[00:01:04.400 --> 00:01:05.640]  那真是好了
[00:01:05.640 --> 00:01:08.240]  因為我跟大家都沒有去過
[00:01:08.240 --> 00:01:09.560]  這樣也好一點
[00:01:09.560 --> 00:01:10.320]  那麼
[00:01:10.320 --> 00:01:11.920]  雅典在什麼地方呢?
[00:01:11.920 --> 00:01:14.120]  我們這次就看看保羅
[00:01:14.120 --> 00:01:16.280]  去雅典做什麼了
[00:01:16.280 --> 00:01:17.160]  如果大家知道
[00:01:17.160 --> 00:01:19.480]  保羅有幾次的宣教旅程
[00:01:19.480 --> 00:01:22.000]  他的旅程就不是一般的旅行
[00:01:22.000 --> 00:01:24.000]  他那些是使命旅遊
[00:01:24.000 --> 00:01:25.680]  這些使命旅遊
[00:01:25.680 --> 00:01:27.640]  到處還要建立教會
[00:01:27.640 --> 00:01:29.320]  傳福音
[00:01:29.320 --> 00:01:31.120]  第二次有一個特色
[00:01:31.120 --> 00:01:33.440]  第二次是緊接第一次
[00:01:33.440 --> 00:01:34.640]  第一次去完之後
[00:01:34.640 --> 00:01:36.200]  他就覺得
[00:01:36.200 --> 00:01:38.080]  很掛念他們
[00:01:38.080 --> 00:01:41.680]  我想用一個反方向的形式
[00:01:41.680 --> 00:01:44.320]  回去鞏固那些教會
[00:01:44.320 --> 00:01:45.840]  然後就
[00:01:45.840 --> 00:01:48.280]  跟回第一次旅程一起的人
[00:01:48.280 --> 00:01:49.280]  巴拿巴
[00:01:49.280 --> 00:01:51.280]  不如我們走吧
[00:01:51.280 --> 00:01:52.600]  巴拿巴說不要
[00:01:52.600 --> 00:01:56.320]  帶著馬凱、約翰一起去
[00:01:56.320 --> 00:01:58.960]  大家就在那裡有不同的意見了
[00:01:58.960 --> 00:02:00.320]  很多時候我們都說
[00:02:00.320 --> 00:02:01.760]  保羅、巴拿巴都分開了
[00:02:01.760 --> 00:02:04.480]  我們喜歡不妥就分開了
[00:02:04.480 --> 00:02:06.960]  其實我們未必是這樣看的
[00:02:06.960 --> 00:02:08.160]  重點不在這裡
[00:02:08.160 --> 00:02:09.600]  而是
[00:02:09.600 --> 00:02:11.560]  保羅就想去建立
[00:02:11.560 --> 00:02:14.920]  回去加強那裡教會的信仰
[00:02:14.920 --> 00:02:16.400]  所以保羅回去的時候
[00:02:16.400 --> 00:02:17.520]  他希望能夠
[00:02:17.520 --> 00:02:19.000]  當然是走得快
[00:02:19.000 --> 00:02:20.800]  事情可以做得準確
[00:02:20.800 --> 00:02:22.720]  做好一些見證
[00:02:22.720 --> 00:02:24.200]  但是因為上一次
[00:02:24.200 --> 00:02:26.720]  就馬凱、約翰脫底了
[00:02:26.720 --> 00:02:29.600]  以及在第一次旅程不是太乖
[00:02:29.600 --> 00:02:30.720]  保羅就說
[00:02:30.720 --> 00:02:32.360]  我現在回去是鞏固教會
[00:02:32.360 --> 00:02:34.800]  我不是去帶短孫隊
[00:02:34.800 --> 00:02:36.880]  所以就拒絕
[00:02:36.880 --> 00:02:39.640]  巴拿巴說既然你不帶
[00:02:39.640 --> 00:02:40.600]  那就沒辦法了
[00:02:40.600 --> 00:02:42.320]  那保羅就分開了
[00:02:42.320 --> 00:02:44.800]  所以有時候我們看這些分開
[00:02:44.800 --> 00:02:47.960]  其實只不過可能是那個行程
[00:02:47.960 --> 00:02:50.240]  大家的想法有些不同而已
[00:02:50.240 --> 00:02:52.720]  巴拿巴有一個牧羊的心情
[00:02:52.720 --> 00:02:56.600]  那我繼續帶馬凱、約翰去做他的短孫
[00:02:56.600 --> 00:02:59.320]  讓他的信仰好一些
[00:02:59.320 --> 00:03:00.920]  他的牧羊心態
[00:03:00.920 --> 00:03:03.560]  但是保羅就因為他是一個宣教士
[00:03:03.560 --> 00:03:05.640]  他要繼續走
[00:03:05.640 --> 00:03:07.960]  這個行程不能夠說帶著帶著
[00:03:07.960 --> 00:03:09.360]  我真的要去做宣教
[00:03:09.360 --> 00:03:11.120]  不是跟巴拿巴
[00:03:11.120 --> 00:03:11.880]  我牧羊他
[00:03:11.880 --> 00:03:14.200]  所以就走不同方向了
[00:03:14.200 --> 00:03:15.760]  所以跟巴拿巴就分開
[00:03:15.760 --> 00:03:17.080]  巴拿巴就去了
[00:03:17.080 --> 00:03:17.920]  高比路
[00:03:17.920 --> 00:03:19.640]  就是塞浦路斯
[00:03:19.640 --> 00:03:20.720]  去了那邊
[00:03:20.720 --> 00:03:22.680]  其實神有時候很特別
[00:03:22.680 --> 00:03:24.400]  將我們的人去不同的地方
[00:03:24.400 --> 00:03:26.640]  今天可能有些教會
[00:03:26.640 --> 00:03:31.520]  會有些弟兄姊妹選擇去英國
[00:03:31.520 --> 00:03:34.360]  還有一些我們準備要祝福他們要去台灣的
[00:03:34.360 --> 00:03:37.080]  有些要去別的地方
