
[00:00:00.000 --> 00:00:07.440]  雖然我相信現代科技對我們的生活真的有相當大的幫助
[00:00:07.440 --> 00:00:16.600]  不過可能有不同的人仍然會選擇一些比較古老的工具
[00:00:16.600 --> 00:00:19.640]  我不知道在座當中的弟兄姊妹
[00:00:19.640 --> 00:00:29.880]  如果你在家裡有煮飯的話,你會用什麼鑊來炒菜?
[00:00:29.880 --> 00:00:39.960]  有人會選擇不鏽鋼,不過有些人會覺得很麻煩
[00:00:39.960 --> 00:00:43.400]  所以就選擇易潔鑊會比較好
[00:00:43.400 --> 00:00:47.560]  易潔鑊也有很多種類,頭也會頭暈
[00:00:47.560 --> 00:00:51.600]  不過有人會選擇不鏽鋼
[00:00:51.600 --> 00:00:57.160]  他仍然喜歡用生鐵鑊
[00:00:57.160 --> 00:00:59.920]  有沒有人用生鐵鑊呢?我不知道
[00:00:59.920 --> 00:01:03.480]  生鐵鑊有一個特質,如果你煮飯就知道了
[00:01:03.480 --> 00:01:09.160]  它傳熱比較快,夠鑊氣
[00:01:09.160 --> 00:01:18.800]  不過很重,而且容易生鏽,要保養得好才行
[00:01:18.800 --> 00:01:26.640]  我家裡曾經用過生鐵鑊,最終放棄了
[00:01:26.640 --> 00:01:31.760]  因為一生鏽就要散散散
[00:01:31.760 --> 00:01:39.840]  洗乾淨,風乾,再塗上一層油
[00:01:39.840 --> 00:01:46.000]  讓它慢慢滲入鑊內,形成一個保護層
[00:01:46.000 --> 00:01:48.480]  讓它不會再生鏽
[00:01:48.480 --> 00:01:51.360]  你沒理由把鏽都吃進肚子裡
[00:01:51.360 --> 00:01:54.880]  所以弄了一陣子還是弄不定
[00:01:54.880 --> 00:01:58.800]  所以放棄了,不用生鐵鑊了
[00:01:58.800 --> 00:02:03.120]  今天我跟大家分享這一段經文
[00:02:03.120 --> 00:02:07.080]  是去到《以西傑書》第24章
[00:02:07.080 --> 00:02:10.680]  其實《以西傑書》第24章
[00:02:10.680 --> 00:02:16.600]  就是承卷《以西傑書》的轉捩點
[00:02:16.600 --> 00:02:19.560]  在這章聖經的頭一半
[00:02:19.560 --> 00:02:25.000]  即是我要跟大家分享的第一至第十四節
[00:02:25.000 --> 00:02:29.360]  是講到先知去預言審判
[00:02:29.360 --> 00:02:33.840]  臨到猶大,終於變成事實了
[00:02:33.840 --> 00:02:37.920]  猶大的末日來到
[00:02:37.920 --> 00:02:43.720]  先知就用了一個鍋的比喻
[00:02:43.720 --> 00:02:49.960]  燒熱了,去比喻猶大將要滅亡
[00:02:49.960 --> 00:02:56.200]  接著下半章第15至第27節
[00:02:56.200 --> 00:02:58.400]  我今天就沒時間講了
[00:02:58.400 --> 00:03:05.520]  其實是講到用以西傑的太太離世
[00:03:05.520 --> 00:03:08.320]  去表達猶大的下場
[00:03:08.320 --> 00:03:09.800]  我沒時間講
[00:03:09.800 --> 00:03:15.080]  不過我仍然鼓勵大家回家可以自己看
[00:03:15.080 --> 00:03:18.920]  這個燒熱了的鍋究竟是怎樣的呢?
[00:03:18.920 --> 00:03:24.400]  請大家先聽我讀出頭五節的經文
[00:03:24.400 --> 00:03:26.400]  聖經是這樣說
[00:03:26.400 --> 00:03:28.920]  24章第一節
[00:03:28.920 --> 00:03:31.560]  「第九年十月初十日
[00:03:31.560 --> 00:03:34.520]  耶護華的話又臨到我說
