
[00:00:00.000 --> 00:00:02.000]  大英姐妹們早晨
[00:00:02.000 --> 00:00:06.000]  很感恩我們可以一起去早上崇拜
[00:00:06.000 --> 00:00:10.000]  今天跟大家去看一些講題
[00:00:10.000 --> 00:00:14.000]  是和我們一般講到的系列暫時停一停
[00:00:14.000 --> 00:00:17.000]  原因是我們教會都有一個主題
[00:00:17.000 --> 00:00:19.000]  大家知不知道教會
[00:00:19.000 --> 00:00:23.000]  上年或者現在接下來的主題是什麼
[00:00:23.000 --> 00:00:28.000]  我知道是比較長一點
[00:00:28.000 --> 00:00:33.000]  同心 持守信仰 同行 承擔使命
[00:00:33.000 --> 00:00:35.000]  如果你說同心同行
[00:00:35.000 --> 00:00:37.000]  都已經答對了
[00:00:37.000 --> 00:00:40.000]  所以大家記住同心同行
[00:00:40.000 --> 00:00:42.000]  所以我很希望在這個時候
[00:00:42.000 --> 00:00:45.000]  我們都是和大家彼此的勸勉
[00:00:45.000 --> 00:00:47.000]  我們這間教會是同心同行
[00:00:47.000 --> 00:00:50.000]  特別我們今天想和大家講
[00:00:50.000 --> 00:00:52.000]  教會裏面的彼此相愛
[00:00:52.000 --> 00:00:58.000]  我們的心在神的恩典裏面
[00:00:58.000 --> 00:01:01.000]  我們成為一個同心同行的群體
[00:01:01.000 --> 00:01:03.000]  我們一起禱告
[00:01:03.000 --> 00:01:07.000]  天父多謝祢給我們今天早上
[00:01:07.000 --> 00:01:09.000]  我們一起去敬拜祢
[00:01:09.000 --> 00:01:11.000]  一起學習祢的話語
[00:01:11.000 --> 00:01:13.000]  求主祢的聖靈在我們當中
[00:01:13.000 --> 00:01:16.000]  是藉著祢自己的話
[00:01:16.000 --> 00:01:20.000]  去幫助我們更加學習彼此相愛的功課
[00:01:20.000 --> 00:01:23.000]  祈禱奉主耶穌基督的名 阿門
[00:01:23.000 --> 00:01:24.000]  有一首詩歌
[00:01:24.000 --> 00:01:26.000]  我們當中大家都很熟悉的
[00:01:26.000 --> 00:01:28.000]  就是《以愛相憐》
