
[00:00:00.000 --> 00:00:02.000]  那麼下面我們一起禱告
[00:00:02.000 --> 00:00:04.000]  我們把我們這段時間
[00:00:04.000 --> 00:00:07.000]  我們不管是講的或者是聽的
[00:00:07.000 --> 00:00:08.000]  我們都交給聖靈
[00:00:08.000 --> 00:00:10.000]  讓祂來使用
[00:00:10.000 --> 00:00:12.000]  然後來帶領我們每一個人的心
[00:00:12.000 --> 00:00:13.000]  我們一起禱告
[00:00:13.000 --> 00:00:14.000]  我們在天上的父神
[00:00:14.000 --> 00:00:16.000]  愛我們的主耶穌基督
[00:00:16.000 --> 00:00:18.000]  我們滿心的感謝祢
[00:00:18.000 --> 00:00:19.000]  感謝祢
[00:00:19.000 --> 00:00:21.000]  祢自己真的是告訴我們
[00:00:21.000 --> 00:00:23.000]  祢為了我們的緣故
[00:00:23.000 --> 00:00:25.000]  祢自己要成為聖潔
[00:00:25.000 --> 00:00:27.000]  祢自己被釘死在十字架上
[00:00:27.000 --> 00:00:30.000]  為了就是要行完
[00:00:30.000 --> 00:00:32.000]  父神所教託祢的旨意
[00:00:32.000 --> 00:00:34.000]  真的是讓我們知道
[00:00:34.000 --> 00:00:35.000]  我們有一個把握
[00:00:35.000 --> 00:00:38.000]  我們可以跟你一同死
[00:00:38.000 --> 00:00:39.000]  讓我們能夠承受
[00:00:39.000 --> 00:00:40.000]  祢自己的聖潔
[00:00:40.000 --> 00:00:42.000]  讓我們能夠與祢一同復活
[00:00:42.000 --> 00:00:43.000]  讓我們知道
[00:00:43.000 --> 00:00:46.000]  我們有一個復活活潑的盼望
[00:00:46.000 --> 00:00:47.000]  主我們謝謝祢
[00:00:47.000 --> 00:00:48.000]  主我們把我們在座的
[00:00:48.000 --> 00:00:49.000]  每一位弟兄姊妹
[00:00:49.000 --> 00:00:51.000]  都交在祢自己的手中
[00:00:51.000 --> 00:00:53.000]  祢讓我們常常思想
[00:00:53.000 --> 00:00:55.000]  祢自己為我們所成就的事情
[00:00:55.000 --> 00:00:58.000]  真的是讓我們能夠更深的
[00:00:58.000 --> 00:01:00.000]  能夠認識祢
[00:01:00.000 --> 00:01:01.000]  我們感謝禱告
[00:01:01.000 --> 00:01:02.000]  奉耶穌基督的聖名
[00:01:02.000 --> 00:01:04.000]  阿們
[00:01:04.000 --> 00:01:14.000]  我們一直都在講基督徒的言語
[00:01:14.000 --> 00:01:15.000]  那麼基督徒的言語
[00:01:15.000 --> 00:01:17.000]  其實是從以夫所說那邊
[00:01:17.000 --> 00:01:19.000]  或者是哥羅西書那邊告訴我們
[00:01:19.000 --> 00:01:21.000]  還有就是菲利比書那邊告訴我們
[00:01:21.000 --> 00:01:23.000]  我們是屬於光明的
[00:01:23.000 --> 00:01:25.000]  所以我們要行在光明當中
[00:01:25.000 --> 00:01:26.000]  所以我們所討論的這些事情
[00:01:26.000 --> 00:01:28.000]  都有一個前提
[00:01:28.000 --> 00:01:29.000]  這個前提是什麼呢
[00:01:29.000 --> 00:01:32.000]  就是我們是屬於光明的子女
[00:01:32.000 --> 00:01:34.000]  神的靈在我們裡面
[00:01:34.000 --> 00:01:35.000]  那麼今天呢
[00:01:35.000 --> 00:01:37.000]  我們要藉著哥羅西書
[00:01:37.000 --> 00:01:39.000]  還有馬太福音第五章
[00:01:39.000 --> 00:01:40.000]  哥林多前書
[00:01:40.000 --> 00:01:42.000]  我們一起來思想這個問題
[00:01:42.000 --> 00:01:44.000]  如果你有聖經的話
[00:01:44.000 --> 00:01:46.000]  或者是電子版的聖經
[00:01:46.000 --> 00:01:49.000]  請你打開到哥羅西書第四章
[00:01:49.000 --> 00:01:52.000]  第五節到第六節
[00:01:52.000 --> 00:01:54.000]  哥羅西書第四章
[00:01:54.000 --> 00:01:56.000]  第五節到第六節
[00:01:56.000 --> 00:01:58.000]  我們一起來念
[00:01:58.000 --> 00:02:05.000]  你們的言語
[00:02:05.000 --> 00:02:14.000]  好我們再讀馬太福音第五章
[00:02:14.000 --> 00:02:16.000]  二十一到二十二節
[00:02:22.000 --> 00:02:45.000]  好我們再讀哥林多前書第六章
[00:02:45.000 --> 00:02:47.000]  第九節到第十節
[00:02:47.000 --> 00:02:49.000]  哥林多前書第六章
[00:02:53.000 --> 00:02:55.000]  二十一到二十二節
[00:02:55.000 --> 00:03:14.000]  聖經裡面常常提醒我們
[00:03:14.000 --> 00:03:15.000]  我們也常常看到
[00:03:15.000 --> 00:03:18.000]  提醒我們基督徒的言語
[00:03:18.000 --> 00:03:19.000]  還有就是說
[00:03:19.000 --> 00:03:21.000]  他告訴我們那個重要性
[00:03:21.000 --> 00:03:24.000]  說真的我們自己好好想一下
[00:03:24.000 --> 00:03:25.000]  說真的我們心裡面
[00:03:25.000 --> 00:03:27.000]  其實都有數對不對
[00:03:27.000 --> 00:03:29.000]  我們都知道這些事情
[00:03:29.000 --> 00:03:31.000]  但是在實際生活當中
[00:03:31.000 --> 00:03:34.000]  我們常常覺得不是那麼容易
[00:03:34.000 --> 00:03:36.000]  聖經裡面也告訴我們說
[00:03:36.000 --> 00:03:38.000]  他舌頭是很小的
[00:03:38.000 --> 00:03:40.000]  在整個白體之中
[00:03:40.000 --> 00:03:42.000]  那麼跟其他的器官來比的話
[00:03:42.000 --> 00:03:45.000]  就是常常動的器官來比的話
[00:03:45.000 --> 00:03:46.000]  那麼舌頭其實是一個
[00:03:46.000 --> 00:03:48.000]  蠻小的一個器官
[00:03:48.000 --> 00:03:53.000]  但是卻是最難控制的
[00:03:53.000 --> 00:03:55.000]  我不知道你是怎麼想
[00:03:55.000 --> 00:03:57.000]  我不知道你在每天的生活當中
