
[00:00:00.000 --> 00:00:02.880]  今早時間的關係
[00:00:02.880 --> 00:00:08.120]  我就用心法和劍法這個題目
[00:00:08.120 --> 00:00:11.760]  因為我自小喜歡看武俠小說
[00:00:11.760 --> 00:00:14.880]  但我不是武林高手
[00:00:14.880 --> 00:00:20.680]  只是欣賞中國很獨特的一個
[00:00:20.680 --> 00:00:24.800]  透過武林的恩怨
[00:00:24.800 --> 00:00:28.400]  讓我們更深認識自己
[00:00:28.400 --> 00:00:34.920]  心法和劍法在屬靈角度來說好像很抽象
[00:00:34.920 --> 00:00:38.440]  好像聽了那麼多年都沒有人教我們
[00:00:38.440 --> 00:00:42.840]  劍法、拳法、刀法、兵法那些
[00:00:42.840 --> 00:00:45.240]  突然間一提起這個題目
[00:00:45.240 --> 00:00:50.320]  都不知道是要聽我講武俠小說還是聖經
[00:00:50.320 --> 00:00:54.240]  我用一些實際的例子希望一說就明白
[00:00:54.240 --> 00:00:58.960]  昨天去過神國好漢的弟兄
[00:00:58.960 --> 00:01:02.320]  我曾經很簡單用了兩個例子
[00:01:02.320 --> 00:01:08.840]  來帶出劍法和心法的分別
[00:01:08.840 --> 00:01:13.200]  陳生和李生有一天在街上碰到
[00:01:13.200 --> 00:01:17.160]  陳生就跟李生說
[00:01:17.160 --> 00:01:19.520]  我決定要離婚
[00:01:19.520 --> 00:01:21.760]  李生就說
[00:01:21.760 --> 00:01:25.840]  是嗎?這麼嚴重?你結婚了多少年?
[00:01:25.840 --> 00:01:27.680]  他說結婚25年
[00:01:27.680 --> 00:01:31.200]  但我受不了,一定要離婚
[00:01:31.200 --> 00:01:35.360]  他就問為甚麼?25年都熬過了
[00:01:35.360 --> 00:01:40.960]  他說你不知道我太太兇猛得像老虎一樣
[00:01:40.960 --> 00:01:44.080]  脾氣一暴躁就拍桌子
[00:01:44.080 --> 00:01:48.160]  桌子上有甚麼拿起來就扔過來
[00:01:48.160 --> 00:01:51.920]  他說她練了25年的飛碟
[00:01:51.920 --> 00:01:55.680]  現在很準,每一次一定打到頭上
[00:01:55.680 --> 00:02:01.240]  所以現在不離婚就快點走,連命都沒有
[00:02:01.240 --> 00:02:08.000]  這對夫妻是用劍法、刀法、拳法、兵法
[00:02:08.000 --> 00:02:14.080]  來解決他們中間的恩怨情仇
[00:02:14.080 --> 00:02:16.640]  但讓我再用一個故事
[00:02:16.640 --> 00:02:22.080]  簡單的,生活化的,大家一聽就明白
[00:02:22.080 --> 00:02:26.720]  張太遇到王太
[00:02:26.720 --> 00:02:30.400]  然後張太就問他
[00:02:30.400 --> 00:02:33.520]  你先生有沒有缺點?
[00:02:33.520 --> 00:02:35.520]  王太想都不用想
[00:02:35.520 --> 00:02:40.640]  當然有,多,多而有多
[00:02:40.640 --> 00:02:42.880]  真的太多他的缺點
[00:02:42.880 --> 00:02:52.560]  多到好像晚上天空的繁星那麼多
[00:02:52.560 --> 00:03:01.360]  張太繼續問他,他有沒有優點?
[00:03:01.360 --> 00:03:08.400]  他想了半天,然後就說少
[00:03:08.400 --> 00:03:13.520]  少,真的少,沒有甚麼優點
[00:03:13.520 --> 00:03:21.200]  少到好像早上只有一個太陽
[00:03:21.200 --> 00:03:25.280]  張太就問他,你結婚多少年?
[00:03:25.280 --> 00:03:26.720]  30年
[00:03:26.720 --> 00:03:31.600]  30年你怎麼熬?
[00:03:31.600 --> 00:03:36.560]  王太微笑,說很簡單
[00:03:36.560 --> 00:03:39.440]  當太陽一出來的時候
[00:03:39.440 --> 00:03:44.080]  所有繁星都不見了
[00:03:44.080 --> 00:03:48.880]  這位太太是操練心法的
[00:03:48.880 --> 00:03:56.880]  她懂得將背偶的弱點縮小
[00:03:56.880 --> 00:04:02.960]  將對方不多的優點放大
[00:04:02.960 --> 00:04:06.320]  主耶穌基督今天看我們每一個罪人
[00:04:06.320 --> 00:04:09.920]  基本上他不是看我們的軟弱
[00:04:09.920 --> 00:04:11.760]  我們的罪惡的本性
[00:04:11.760 --> 00:04:13.440]  我們的自私自大
[00:04:13.440 --> 00:04:16.880]  我們要叻要弱要贏
[00:04:16.880 --> 00:04:19.840]  他看愛我們
[00:04:19.840 --> 00:04:27.040]  因為我們是按照天父神的形象來生出來
[00:04:27.040 --> 00:04:30.160]  沒有一個爸爸不愛子女
[00:04:30.160 --> 00:04:36.000]  所以因此耶穌基督用甚麼眼光來看我們
[00:04:36.000 --> 00:04:39.600]  我希望今天30分鐘之後
[00:04:39.600 --> 00:04:42.000]  我們結束聚會
[00:04:42.000 --> 00:04:43.760]  離開教堂
[00:04:43.760 --> 00:04:45.360]  回去的路上
[00:04:45.360 --> 00:04:50.480]  你真的帶著滿心的感恩微笑
[00:04:50.480 --> 00:04:54.400]  多謝神將一個這麼好的背偶賜給我們
[00:04:54.400 --> 00:04:57.840]  你一定要用耶穌基督的眼光
[00:04:57.840 --> 00:05:03.040]  來看人間的萬事萬物
[00:05:03.040 --> 00:05:05.280]  否則你不會開心
[00:05:05.280 --> 00:05:08.080]  信了主也不會開心
[00:05:08.080 --> 00:05:12.160]  如果大家都針對對方的弱點
[00:05:12.160 --> 00:05:14.160]  怎樣捱下去
[00:05:14.160 --> 00:05:16.240]  但是靠著主
[00:05:16.240 --> 00:05:19.040]  用主耶穌基督的眼光
[00:05:19.040 --> 00:05:24.080]  操練內心的另外一個觀點角度
[00:05:24.080 --> 00:05:26.640]  是透過耶穌基督的眼睛
[00:05:26.640 --> 00:05:33.120]  來看世間萬人萬物萬事
[00:05:33.120 --> 00:05:37.040]  這個主題我用生活化
[00:05:37.040 --> 00:05:39.520]  記得這兩個例子
[00:05:39.520 --> 00:05:44.000]  這裡不是講婚姻家庭的principle
[00:05:44.000 --> 00:05:47.040]  也不是講心理學人際關係
[00:05:47.040 --> 00:05:49.440]  我們是回歸聖經
[00:05:49.440 --> 00:05:51.360]  聖經有沒有甚麼提示
[00:05:51.360 --> 00:05:55.280]  有關心法和見法
[00:05:55.280 --> 00:05:58.640]  我們一起來讀一讀
[00:05:58.640 --> 00:06:00.640]  這一節聖經
[00:06:00.640 --> 00:06:10.560]  是皇下六章十五十七節
[00:06:10.560 --> 00:06:14.160]  或者會不會太遠看不清楚
[00:06:14.160 --> 00:06:18.800]  不要緊,我讀一讀
[00:06:18.800 --> 00:06:22.720]  我們同心敬畏的來聽一聽
[00:06:22.720 --> 00:06:27.280]  寶貴的神自己在聖經的啟示
[00:06:27.280 --> 00:06:31.600]  神人的僕人清早起來出去
[00:06:31.600 --> 00:06:36.000]  看見車馬軍兵圍困了城
[00:06:36.000 --> 00:06:38.480]  僕人對神人說:
[00:06:38.480 --> 00:06:44.320]  「哀哉我主呀!我們怎樣行才好呢?」
[00:06:44.320 --> 00:06:46.000]  神人說:
[00:06:46.000 --> 00:06:50.240]  「不要懼怕,與我們同在的
[00:06:50.240 --> 00:06:53.840]  比與他們同在的更多。」
[00:06:53.840 --> 00:07:00.960]  伊麗莎禱告說:「耶和華求你開這少年人的眼目
[00:07:00.960 --> 00:07:04.160]  使他能看見。」
[00:07:04.160 --> 00:07:06.720]  耶和華開他的眼目
[00:07:06.720 --> 00:07:14.240]  他就看見滿山有火車火馬圍繞伊麗莎
[00:07:14.240 --> 00:07:16.720]  我們同心低頭
[00:07:16.720 --> 00:07:20.640]  仰望神求聖靈向我們更深的啟示
[00:07:20.640 --> 00:07:27.200]  這個短短的記載對我們的生命有什麼幫助
[00:07:27.200 --> 00:07:31.520]  天父我們感謝你今天能來到你的殿中
[00:07:31.520 --> 00:07:34.160]  我們還有健康的身體
[00:07:34.160 --> 00:07:38.720]  我們還可以來到教會
[00:07:38.720 --> 00:07:41.200]  主這個全系恩典
[00:07:41.200 --> 00:07:43.200]  是靠著主耶穌基督
[00:07:43.200 --> 00:07:46.800]  你自己的寶貴的祝福
[00:07:46.800 --> 00:07:48.080]  你的恩惠
[00:07:48.080 --> 00:07:49.600]  你的憐憫
[00:07:49.600 --> 00:07:52.560]  我們今天還可以坐在這裡
[00:07:52.560 --> 00:07:54.160]  所以我們感謝你
[00:07:54.160 --> 00:07:56.160]  主我們心中渴慕你
[00:07:56.160 --> 00:08:00.480]  因為我知道人間的愛是多變化
[00:08:00.480 --> 00:08:03.040]  但是你的愛恆古不變
[00:08:03.040 --> 00:08:05.920]  昨日今日直到永遠
[00:08:05.920 --> 00:08:10.400]  所以我們何等有幸能夠蒙受你的大愛
[00:08:10.400 --> 00:08:12.000]  成為你的兒女
[00:08:12.000 --> 00:08:13.680]  繼續幫助我們
[00:08:13.680 --> 00:08:17.120]  在我們餘生在地上的歲月
[00:08:17.120 --> 00:08:21.280]  我們能夠舉目仰望耶和華
[00:08:21.280 --> 00:08:23.520]  每一天我們依靠你
[00:08:23.520 --> 00:08:25.920]  使人說我要向山舉目
[00:08:25.920 --> 00:08:28.640]  我的幫助從何而來
[00:08:28.640 --> 00:08:31.600]  主我的幫助是從你而來
[00:08:31.600 --> 00:08:33.120]  主我們需要你
[00:08:33.120 --> 00:08:35.120]  求你進入我們的心中
[00:08:35.120 --> 00:08:37.120]  開我們的心眼
[00:08:37.120 --> 00:08:42.480]  來看我們現今這個世界和環境
[00:08:42.480 --> 00:08:44.480]  讓我們有平安喜樂
[00:08:44.480 --> 00:08:47.360]  因為你是那位賜平安的主
[00:08:47.360 --> 00:08:50.240]  我們同心仰望、交托、祈禱
[00:08:50.240 --> 00:08:54.320]  是奉主耶穌基督德性的名義而求
[00:08:54.320 --> 00:08:55.600]  Amen
[00:08:55.600 --> 00:08:56.800]  OK
[00:08:56.800 --> 00:08:59.280]  這段經文其實很簡單
[00:08:59.280 --> 00:09:03.280]  先知以利沙帶著他的徒弟
[00:09:03.280 --> 00:09:07.360]  一個年輕的門徒復日
[00:09:07.360 --> 00:09:10.960]  他們來到多灘城
[00:09:10.960 --> 00:09:12.960]  是逃難來的
[00:09:12.960 --> 00:09:24.240]  因為以色列國和阿蘭人這個國家在爭戰
[00:09:24.240 --> 00:09:31.120]  阿蘭王要追殺擊敗以色列王和他的士兵
[00:09:31.120 --> 00:09:34.320]  但是每一次安排好
[00:09:34.320 --> 00:09:39.360]  都事先讓以色列王知道
[00:09:39.360 --> 00:09:43.360]  他們大兵是怎樣部署、戰略在哪裏
