
[00:00:00.000 --> 00:00:10.000]  哥勒西書第一章二十七節這句話是跟上面這些經節是有關係的
[00:00:10.000 --> 00:00:22.000]  因為從第一章的二十五節到二十五節一直說到基督的超越跟他的工作
[00:00:22.000 --> 00:00:26.000]  在講到基督的超越他講了幾個方面
[00:00:26.000 --> 00:00:34.000]  講到每一方面的話他都是有兩個內容有雙重的內容
[00:00:34.000 --> 00:00:38.000]  他講到基督是居首位
[00:00:38.000 --> 00:00:47.000]  在一開始第十五節開始的話就講到基督居首位
[00:00:47.000 --> 00:00:54.000]  一方面就講到基督是在萬有之上
[00:00:54.000 --> 00:00:59.000]  在第一章的第十六節就說到了
[00:00:59.000 --> 00:01:02.000]  因為萬有都是靠他造的
[00:01:02.000 --> 00:01:08.000]  還說一概都是接著他造的又是為他造的
[00:01:08.000 --> 00:01:16.000]  所以這個基督在萬有之上他是在萬有之上居首位
[00:01:16.000 --> 00:01:24.000]  因為萬有都是靠著他造的而且是接著他造的又是為了他造的
[00:01:24.000 --> 00:01:31.000]  所以這樣的話耶穌基督在萬有之上他是居首位的
[00:01:31.000 --> 00:01:40.000]  在第一章下面接下來第十八節講到他是教會的元首
[00:01:40.000 --> 00:01:46.000]  他是在教會的元首就講到他是教會的主宰
[00:01:46.000 --> 00:01:52.000]  所以在第十八節就說他也是教會全體之首
[00:01:52.000 --> 00:01:57.000]  他是原始自從十里首先復生的
[00:01:57.000 --> 00:02:00.000]  使他可以在凡事上居首位
[00:02:00.000 --> 00:02:03.000]  所以他在教會裡頭他也居首位
[00:02:03.000 --> 00:02:08.000]  所以他在萬有之上他在萬有中間他也是居首位
[00:02:08.000 --> 00:02:12.000]  這是我們上一次信息所談到的
[00:02:12.000 --> 00:02:15.000]  我在這裡就不再重複
[00:02:15.000 --> 00:02:22.000]  然後接下來就是和好了
[00:02:22.000 --> 00:02:24.000]  他居首位的目的什麼呢
[00:02:24.000 --> 00:02:27.000]  就是要叫一千多位和好
[00:02:27.000 --> 00:02:30.000]  和好裡頭也有兩個和好
[00:02:30.000 --> 00:02:38.000]  一個是在第二十節是萬有於神和好
[00:02:38.000 --> 00:02:41.000]  他叫萬有於神和好
[00:02:41.000 --> 00:02:48.000]  第二十節說既然藉著他在十字架上所流的血
[00:02:48.000 --> 00:02:52.000]  成就了和平便藉著他叫萬有
[00:02:52.000 --> 00:02:58.000]  這萬有什麼無論是地上的天上的都於自己和好了
[00:02:58.000 --> 00:03:01.000]  萬有要於神和好
[00:03:01.000 --> 00:03:05.000]  那麼這個是一個非常大的事情
[00:03:05.000 --> 00:03:11.000]  就是因為全宇宙都是受到罪的影響
[00:03:11.000 --> 00:03:16.000]  天使犯罪人犯罪都影響到整個的宇宙
[00:03:16.000 --> 00:03:21.000]  所以在羅馬書裡說到的萬物都是一同的嘆息牢骨
[00:03:21.000 --> 00:03:24.000]  不但人活在世上他嘆息牢骨
[00:03:24.000 --> 00:03:31.000]  他說萬物都是跟人一同的嘆息牢骨
[00:03:31.000 --> 00:03:37.000]  所以萬有是受到罪的影響
