
[00:00:00.000 --> 00:00:02.400]  我們繼續講加拉太斯
[00:00:02.400 --> 00:00:06.100]  其實我們已經講了一半本書
[00:00:06.100 --> 00:00:08.200]  相信大家都知道
[00:00:08.200 --> 00:00:10.500]  保羅寫加拉太斯的原因
[00:00:10.500 --> 00:00:12.800]  就是因為有一群猶太教的人
[00:00:12.800 --> 00:00:15.200]  混入了加拉太的教會
[00:00:15.200 --> 00:00:18.200]  他們就跟加拉太人說
[00:00:18.200 --> 00:00:21.600]  你們單是憑恩訊、清義是不夠的
[00:00:21.600 --> 00:00:24.600]  還要行國禮和遵守律法
[00:00:24.600 --> 00:00:27.400]  或者你會問牧師
[00:00:27.400 --> 00:00:30.200]  為什麼這些猶太人這麼麻煩
[00:00:30.200 --> 00:00:31.900]  到處找人入教
[00:00:31.900 --> 00:00:34.500]  他們是不是很空閒
[00:00:34.500 --> 00:00:37.300]  這些猶太人的確是相當麻煩
[00:00:37.300 --> 00:00:41.000]  但是他們的熱心是值得嘉許的
[00:00:41.000 --> 00:00:43.500]  我們就沒有他們這麼麻煩
[00:00:43.500 --> 00:00:45.500]  但是我們的熱心又沒有他們那麼多
[00:00:45.500 --> 00:00:47.500]  這個值得我們反思
[00:00:47.500 --> 00:00:51.700]  要明白為什麼猶太教的人是這麼牢騷
[00:00:51.700 --> 00:00:52.700]  要人入教
[00:00:52.700 --> 00:00:56.000]  其實有一些歷史背景我要跟大家講一下
[00:00:56.000 --> 00:00:59.300]  在耶穌出生之前50年
[00:00:59.300 --> 00:01:02.300]  羅馬帝國就陷入了一個內戰當中
[00:01:02.300 --> 00:01:04.300]  因為有幾個人都想做皇帝
[00:01:04.300 --> 00:01:06.300]  你打我,我打你
[00:01:06.300 --> 00:01:07.800]  打了20年
[00:01:07.800 --> 00:01:10.800]  直到在公元前27年
[00:01:10.800 --> 00:01:13.300]  有個人叫阿古斯都
[00:01:13.300 --> 00:01:14.800]  英文是Augustus
[00:01:14.800 --> 00:01:16.800]  聖經將他翻譯為阿古斯都
[00:01:16.800 --> 00:01:18.800]  他統一天下
[00:01:18.800 --> 00:01:20.800]  這個所謂天下
[00:01:20.800 --> 00:01:26.300]  其實就是中海一帶的地方國家
[00:01:26.300 --> 00:01:29.800]  但是那裡已經佔了全世界三分之一的人口
[00:01:29.800 --> 00:01:32.300]  大約是一億人
[00:01:32.300 --> 00:01:36.300]  那時候全世界加起來大約是三億
