
[00:00:00.000 --> 00:00:03.980]  丁師妹早晨,很高興能夠再次和大家一起在主日崇拜的時間
[00:00:03.980 --> 00:00:07.680]  一起分享主的說話,這是一份榮幸
[00:00:07.680 --> 00:00:10.080]  讓我們先在開始聽主的導議
[00:00:10.080 --> 00:00:12.780]  讓我們再次一起同心低頭禱告
[00:00:12.780 --> 00:00:15.860]  仰望在我們主,我們的神的面前
[00:00:15.860 --> 00:00:19.760]  I am so happy once again that I can have this opportunity
[00:00:19.760 --> 00:00:24.360]  to share the word of God with all our brothers and sisters
[00:00:24.360 --> 00:00:28.200]  So let us bow our head and prepare our heart through the prayer
[00:00:28.200 --> 00:00:33.000]  So let the Holy Spirit guide us through this sermon time
[00:00:33.000 --> 00:00:36.000]  讓我們能夠一起再次透過禱告
[00:00:36.000 --> 00:00:40.180]  來預備我們新鮮來到一起聆聽主的導理
[00:00:40.180 --> 00:00:43.640]  讓聖靈帶領我們在這個聽到的時間
[00:00:43.640 --> 00:00:47.680]  完全在神的帶領當中明白祂的先例
[00:00:47.680 --> 00:00:50.180]  讓我們同心低頭禱告
[00:00:50.180 --> 00:00:51.320]  親愛的天父,多謝祢
[00:00:51.320 --> 00:00:55.900]  讓我們能夠再次回來在主祢的說話裡面
[00:00:55.900 --> 00:00:57.760]  一起同心的學習
[00:00:57.760 --> 00:01:00.300]  求主祢與我們同在
[00:01:00.300 --> 00:01:02.340]  讓祢的靈陪伴著我們
[00:01:02.340 --> 00:01:06.900]  好想我們能夠真的更加的清楚明白
[00:01:06.900 --> 00:01:09.080]  祢那份悉心的教導
[00:01:09.080 --> 00:01:11.440]  祢那份悉心的照顧
[00:01:11.440 --> 00:01:12.940]  求祢幫助我們
[00:01:12.940 --> 00:01:14.340]  我們親愛的父神,感謝祢
[00:01:14.340 --> 00:01:16.920]  讓我們能夠再次由這一段
[00:01:16.920 --> 00:01:20.820]  一起來到認識主祢的時間
[00:01:20.820 --> 00:01:25.320]  讓祢的聖靈帶領我們在這一段時間的當中
[00:01:25.320 --> 00:01:28.960]  讓我們能夠清楚更明白主祢是怎麼樣的一位主
[00:01:28.960 --> 00:01:30.160]  怎麼樣的一位神
[00:01:30.160 --> 00:01:33.860]  也許我們能夠全年在祢的引導當中
[00:01:33.860 --> 00:01:36.760]  過我們這條人生的道路
[00:01:36.760 --> 00:01:38.840]  預備走到永恆的當中
[00:01:38.840 --> 00:01:40.140]  親愛的天父
[00:01:40.140 --> 00:01:42.040]  我們想再次向祢道歉
[00:01:42.040 --> 00:01:44.380]  因為祢讓我們有另一天
[00:01:44.380 --> 00:01:45.940]  我們可以一起禱告
[00:01:45.940 --> 00:01:47.380]  我們可以學習祢的說話
[00:01:47.380 --> 00:01:49.780]  讓我們可以知道祢是誰
[00:01:49.780 --> 00:01:53.820]  同時祢的聖靈可以帶領我們
[00:01:53.820 --> 00:01:57.620]  在我們還活著的那一刻
[00:01:57.620 --> 00:01:58.560]  在地球上
[00:01:58.560 --> 00:02:01.060]  讓我們可以證明
[00:02:01.060 --> 00:02:02.860]  祢是誰
[00:02:02.860 --> 00:02:04.420]  還有祢是誰
[00:02:04.420 --> 00:02:08.600]  讓所有的人可以再次承擔他們的生命
[00:02:08.600 --> 00:02:10.600]  透過悔改他們的罪
[00:02:10.600 --> 00:02:12.600]  幫助我們在這一段時間
[00:02:12.600 --> 00:02:14.160]  我們在名字上祈禱
[00:02:14.160 --> 00:02:15.500]  主耶穌基督
[00:02:15.500 --> 00:02:16.500]  阿們
[00:02:16.500 --> 00:02:22.480]  在英語世界裡有一句言語
[00:02:22.480 --> 00:02:24.740]  就是Give a man a fish
[00:02:24.740 --> 00:02:27.980]  and you feed him for a day
[00:02:27.980 --> 00:02:29.880]  Teach a man to fish
[00:02:29.880 --> 00:02:32.820]  and you feed him for a lifetime
[00:02:32.820 --> 00:02:34.720]  中文有句類似的翻譯
[00:02:34.720 --> 00:02:39.820]  叫做「受人以魚不如受人以魚」
[00:02:39.820 --> 00:02:42.360]  寧願教一個人如何捕魚
[00:02:42.360 --> 00:02:45.660]  總比只給人吃一條魚好
[00:02:45.660 --> 00:02:47.760]  意思類似就是說
[00:02:47.760 --> 00:02:49.800]  治標不治本
[00:02:49.800 --> 00:02:52.200]  其實是不好的一件事
[00:02:52.200 --> 00:02:57.000]  寧願幫助一個人如何處理根本的問題
[00:02:57.000 --> 00:03:00.040]  很多時候很多人對信仰都只認為
[00:03:00.040 --> 00:03:04.280]  信仰只是為了解決當前的困難
[00:03:04.280 --> 00:03:06.220]  而去找一條出路
[00:03:06.220 --> 00:03:09.120]  於是對於信仰
[00:03:09.120 --> 00:03:12.020]  他就去尋找一些出路
[00:03:12.020 --> 00:03:14.620]  例如去查閱通勝
[00:03:14.620 --> 00:03:17.360]  大家知道通勝嗎?
[00:03:17.360 --> 00:03:19.360]  通勝的英文就是通勝
[00:03:19.360 --> 00:03:22.360]  不是,是普通話翻譯
[00:03:22.360 --> 00:03:25.360]  正式的叫做Emilek
[00:03:25.360 --> 00:03:27.740]  很多中國人當遇見一些什麼問題
[00:03:27.740 --> 00:03:29.840]  大小事項就可以查通勝
[00:03:29.840 --> 00:03:32.300]  看看今天疑於做什麼
[00:03:32.300 --> 00:03:33.980]  今天不疑於做什麼
[00:03:33.980 --> 00:03:36.780]  希望能夠透過這樣的方法
[00:03:36.780 --> 00:03:39.680]  去找到一條比較妥當
[00:03:39.680 --> 00:03:43.280]  或者順利的人生路
[00:03:43.280 --> 00:03:46.060]  但是我們作為基督徒
[00:03:46.060 --> 00:03:49.720]  也不要取笑那些只是有民間信仰的人
[00:03:49.720 --> 00:03:52.160]  其實我們取笑他們只不過是
[00:03:52.160 --> 00:03:55.200]  50步取笑100步而已
[00:03:55.200 --> 00:03:57.100]  今天很多基督徒
[00:03:57.100 --> 00:03:59.640]  就是說他們去讀聖經的時候
[00:03:59.640 --> 00:04:02.400]  也只是當自己遇上一些問題
