
[00:00:00.000 --> 00:00:05.000]  弟兄姊妹,請我們一齊祈禱
[00:00:05.000 --> 00:00:08.000]  天父求你用你的話語去提醒我們
[00:00:08.000 --> 00:00:11.000]  我們今天處於一個怎樣的時代
[00:00:11.000 --> 00:00:14.000]  叫我們去警醒,我們謹守,好好地侍奉祢
[00:00:14.000 --> 00:00:18.000]  願以祢自己的話去讓我們明白
[00:00:18.000 --> 00:00:20.000]  讓我們看到祢的心意
[00:00:20.000 --> 00:00:21.000]  我們這樣祈禱
[00:00:21.000 --> 00:00:26.000]  奉主耶穌基督的名,阿門
[00:00:26.000 --> 00:00:28.000]  相信大家都會看到報章
[00:00:28.000 --> 00:00:32.000]  看到近日在中東所發生的事情
[00:00:32.000 --> 00:00:36.000]  我們知道有些極端的回教的組織
[00:00:36.000 --> 00:00:40.000]  在組織一個叫伊斯蘭國
[00:00:40.000 --> 00:00:44.000]  攻打了敘利亞的東部
[00:00:44.000 --> 00:00:46.000]  佔領了一些地方
[00:00:46.000 --> 00:00:50.000]  在伊拉克的北部和西部都有
[00:00:50.000 --> 00:00:53.000]  我們知道收到一些消息
[00:00:53.000 --> 00:00:57.000]  就是伊斯蘭教徒這些極端的分子
[00:00:57.000 --> 00:01:01.000]  他們去迫害基督徒,屠殺他們
[00:01:01.000 --> 00:01:04.000]  根據他們的想法,他們的做法
[00:01:04.000 --> 00:01:07.000]  就是所有這些基督徒
[00:01:07.000 --> 00:01:12.000]  要叫他們歸服伊斯蘭教
[00:01:12.000 --> 00:01:15.000]  否則可能就要將他們處決
[00:01:15.000 --> 00:01:19.000]  又或者要他們給一些特別的稅項
[00:01:19.000 --> 00:01:23.000]  這些基督徒是一個很大的逼迫
[00:01:23.000 --> 00:01:25.000]  我相信大家都知道這件事情
[00:01:25.000 --> 00:01:29.000]  甚至我聽到一些報道說
[00:01:29.000 --> 00:01:31.000]  將他們斬首
[00:01:31.000 --> 00:01:36.000]  實在是一個很嚴酷的迫害
[00:01:36.000 --> 00:01:39.000]  我想我們看到這樣的情況很不幸
[00:01:39.000 --> 00:01:43.000]  但我們同時也看到基督徒被人迫害當中
[00:01:43.000 --> 00:01:45.000]  基督徒的身份有一種很特別的
[00:01:45.000 --> 00:01:49.000]  造光造炎的一種生命力在裡面
[00:01:49.000 --> 00:01:51.000]  我們知道這兩個國家的地方
[00:01:51.000 --> 00:01:57.000]  有很多的難民,數以萬計
[00:01:57.000 --> 00:02:00.000]  他們就從這些國家走到鄰近的國家
[00:02:00.000 --> 00:02:03.000]  這一刻有些難民就走到
[00:02:03.000 --> 00:02:07.000]  這一刻其他的地方,譬如南部這些地方
[00:02:07.000 --> 00:02:10.000]  有一批的基督徒就去他們那裡
[00:02:10.000 --> 00:02:15.000]  去到當中去分享主的愛
[00:02:15.000 --> 00:02:19.000]  他們預備一些衣物,一些食物
[00:02:19.000 --> 00:02:23.000]  去幫助這些難民,災民
[00:02:23.000 --> 00:02:26.000]  並且將福音向他們傳講
[00:02:26.000 --> 00:02:31.000]  有很多的難民受到這些恩惠
[00:02:31.000 --> 00:02:33.000]  這些基督徒的愛感動
[00:02:33.000 --> 00:02:35.000]  有一個統計數字
[00:02:35.000 --> 00:02:37.000]  在這件事情發生之後
[00:02:37.000 --> 00:02:42.000]  有大概六百多的伊斯蘭教徒
[00:02:42.000 --> 00:02:44.000]  歸順了主耶穌
