
[00:00:00.000 --> 00:00:03.220]  以下的書裏面有三個主題
[00:00:03.220 --> 00:00:06.200]  第一個主題就是神藉着
[00:00:06.200 --> 00:00:09.240]  這位神所揀選的先知
[00:00:09.240 --> 00:00:11.540]  特別的論說
[00:00:11.540 --> 00:00:14.220]  以現在的百姓的罪惡
[00:00:14.220 --> 00:00:19.340]  從40章到55章
[00:00:19.340 --> 00:00:22.580]  是特別的講到神對着這個百姓
[00:00:22.580 --> 00:00:25.720]  釋放了祂的安慰,祂的盼望
[00:00:25.720 --> 00:00:29.400]  然後最後的一個段落是特別的講到
[00:00:29.400 --> 00:00:34.100]  那些願意信靠聖寵神話語的人
[00:00:34.100 --> 00:00:36.100]  他要得罪的喜樂
[00:00:36.100 --> 00:00:39.800]  所以以下的書第六章特別的講到
[00:00:39.800 --> 00:00:42.820]  這個神所給他的安慰,這個安慰背後
[00:00:42.820 --> 00:00:45.960]  神所給他們的這個的應許
[00:00:45.960 --> 00:00:51.500]  剛纔念過的路加福音第四章
[00:00:51.500 --> 00:00:55.700]  講到主耶穌在聖所敬拜的時候
[00:00:56.040 --> 00:01:00.520]  把以下的書所言論到的
[00:01:00.520 --> 00:01:04.220]  這個的再來的這個迷彩
[00:01:04.220 --> 00:01:07.580]  放在祂的本位來說
[00:01:07.580 --> 00:01:10.400]  主的靈在我的身上
[00:01:10.400 --> 00:01:16.120]  因爲神用膏膏了我
[00:01:16.120 --> 00:01:20.080]  叫我能夠傳揚福音給貧窮的人
[00:01:20.940 --> 00:01:26.940]  猜測我這個報道被擄的要得釋放
[00:01:26.940 --> 00:01:29.440]  瞎眼的要得看見
[00:01:29.440 --> 00:01:34.640]  拿手壓抑的得只有報告神與越南的信念
[00:01:34.640 --> 00:01:41.300]  其實聖誕節有很多時候不需要別的
[00:01:41.300 --> 00:01:45.600]  我們都能夠經歷聖誕節中的喜樂
[00:01:45.600 --> 00:01:50.400]  聖誕節不需要別的,爲什麼?
[00:01:50.600 --> 00:01:53.900]  因爲聖誕節就是一個喜悅的時候
[00:01:53.900 --> 00:01:56.000]  有點像中國的新年
[00:01:56.000 --> 00:02:01.180]  你大概不需要特別有什麼讓你覺得新年的喜悅
[00:02:01.180 --> 00:02:04.100]  同樣的在我們的生活裏面
[00:02:04.100 --> 00:02:09.000]  一到了聖誕節就是一種喜樂的一種表達
[00:02:09.000 --> 00:02:14.800]  那我最少有看到有十個事情是讓我們的心裏面可以得喜悅的
[00:02:14.800 --> 00:02:17.600]  看看你同不同意我的講法
[00:02:17.600 --> 00:02:23.000]  第一個,聖誕節之前有一個叫做Black Friday
[00:02:23.000 --> 00:02:27.200]  你有沒有買到便宜的東西啊?
[00:02:27.200 --> 00:02:33.200]  12月份呢,油價特別便宜,對嗎?
[00:02:33.200 --> 00:02:35.200]  你看到是嗎?
[00:02:35.200 --> 00:02:42.200]  聖誕節家人回家高興嗎?
[00:02:45.400 --> 00:02:50.800]  在家裏面開始佈置聖誕的燈飾,美麗嗎?
[00:02:50.800 --> 00:02:57.400]  能夠慶祝又過一個年頭,滿足嗎?
[00:02:57.400 --> 00:03:06.200]  能夠在聖誕節的時候能夠放下了一切一年的辛勞
[00:03:06.200 --> 00:03:11.800]  能夠享受一下長假期當中的這種安詳
[00:03:11.800 --> 00:03:15.000]  你覺得你會喜樂嗎?
[00:03:15.600 --> 00:03:22.000]  能夠看一個很好的球賽
[00:03:22.000 --> 00:03:30.600]  能夠在當中看一下鄰居所佈置的燈飾
[00:03:30.600 --> 00:03:31.600]  你覺得滿足嗎?
[00:03:31.600 --> 00:03:33.800]  這個不需要,其實聖誕節不需要別的
[00:03:33.800 --> 00:03:37.400]  就我剛纔提到的十個東西都可以讓我們滿足
[00:03:37.400 --> 00:03:42.200]  那麼對我們來說,其實還有一些事情也讓我們滿足
[00:03:42.800 --> 00:03:47.000]  在屬靈聖命裏面,好像到了聖誕節我們自然就興奮起來
[00:03:47.000 --> 00:03:49.000]  舉個例子來說
[00:03:49.000 --> 00:03:53.000]  你到聖誕節的時候,是不是有很多弟兄姊妹請你出去喫飯?
[00:03:53.000 --> 00:03:54.000]  有沒有?
[00:03:54.000 --> 00:04:00.000]  他們講的話也特別比較常合
[00:04:00.000 --> 00:04:04.000]  若是你在公司裏面,公司的老闆說
