
[00:00:00.000 --> 00:00:04.000]  好,弟兄姐妹早晨,很高興和大家分享上帝的話語
[00:00:04.000 --> 00:00:11.000]  我們先讀一段聖經,在聶王記上第十九章一至十節
[00:00:11.000 --> 00:00:16.000]  我們做一個輪流重讀的方式,單節數我讀,雙節數請會眾
[00:00:16.000 --> 00:00:26.000]  阿哈將以利亞一切所恨的,和他用刀殺眾先之的事,都告數夜洗別
[00:00:26.000 --> 00:00:49.000]  以利亞見者光景,就起來逃命,到了猶大的滅時巴,將僕人留在那裏
[00:00:49.000 --> 00:01:13.000]  他就躺在羅騰樹下,睡著了,有一個天使拍他,說起來吃吧
[00:01:13.000 --> 00:01:29.000]  耶和華的使者第二次來拍他,說起來吃吧,因為你當就的路甚遠
[00:01:29.000 --> 00:01:39.000]  他在那裏進了一個洞,就住在洞中,耶和華的話臨到他,說
[00:01:39.000 --> 00:01:44.000]  以利亞你在這裏做甚麽?
[00:01:44.000 --> 00:02:07.000]  好,謝謝,大家可以留意到過去幾個月,不時在新聞上都會聽到一些打鬥事件
[00:02:07.000 --> 00:02:13.000]  因為情緒有些失控,於是有些人打架,甚至會導致命案
[00:02:13.000 --> 00:02:21.000]  這裏就講到一些事件,甚至連家人都會發生衝突,甚至傷害對方
[00:02:21.000 --> 00:02:28.000]  當然這些都是普通人,情緒一來到的時候,就會過份一點,會出手傷人
[00:02:28.000 --> 00:02:38.000]  但如果一個屬靈的人,像以利亞的仙子那樣,在神面前罵情緒,說要生要死
[00:02:38.000 --> 00:02:42.000]  那你覺得他是否屬靈的人呢?
[00:02:42.000 --> 00:02:51.000]  或者另一個作道,我們可以了解到,所謂一個屬靈的人,他也是一個人
[00:02:51.000 --> 00:02:58.000]  他也曾經去過情緒低落的時候,就像仙子那樣,說要死就算了
[00:02:58.000 --> 00:03:02.000]  當然我們也會問,為什麽仙子會這樣說呢?
[00:03:02.000 --> 00:03:09.000]  究竟什麽原因,發生了什麽事,導致他情緒低落,導致他死了
[00:03:09.000 --> 00:03:16.000]  面對見到這樣的情況,上帝又怎麽幫助仙子走出情緒的低谷?
[00:03:16.000 --> 00:03:22.000]  當中要怎麽去學習?假如有一天情緒很高漲,或者很低落的時候
[00:03:22.000 --> 00:03:31.000]  我可以在當中學習到,幫助自己走出情緒低谷,從而重新來得利
[00:03:31.000 --> 00:03:41.000]  關於仙子以利亞和哈王的事蹟,其實有一個較重要的記載,段樂記載在《獵王記》十七十八章
[00:03:41.000 --> 00:03:50.000]  有一些背景,十七章第一節講到仙子奉神的命去跟哈王說
[00:03:50.000 --> 00:03:57.000]  這幾年若我不祈禱,整個以色列境裏面不會下雨,即是發生旱災
[00:03:57.000 --> 00:04:04.000]  真的沒有祈禱,結果十八章過了三年之久,其實應該不止的
[00:04:04.000 --> 00:04:12.000]  《亞國書》五章十七節說,應該是三年零六個月都沒有降雨,發生旱災饑荒
[00:04:12.000 --> 00:04:20.000]  於是耶和華叫以利亞和仙子去見哈說,之後我就會降雨水了
[00:04:20.000 --> 00:04:28.000]  三年零六個月旱災饑荒的時候,對於整個以色列國是一個很嚴重的影響,生活經濟
[00:04:28.000 --> 00:04:38.000]  不需要這樣對付他們,當然一個很核心的原因就是阿哈王城和整個以色列國都離棄了真神
[00:04:38.000 --> 00:04:48.000]  上帝一個懲罰,要他們要迴轉歸向,於是仙子就被差派去見哈哈
[00:04:48.000 --> 00:04:59.000]  相約他們的敬拜的假神巴力仙子有四百五十位去到加密山上做一個對戰,證明誰是真神
[00:04:59.000 --> 00:05:07.000]  做法是怎樣呢?以利亞和仙子捉了一個壇,巴力仙子也捉了一個壇
[00:05:07.000 --> 00:05:20.000]  他們祈禱,祈禱求神從天降火下來,那個神是真神,於是四百五十位巴力仙子先捉了壇,去跳舞做很多儀式
[00:05:20.000 --> 00:05:28.000]  結果大半天都沒有火降下來,輪到仙子一個人,於是捉好了壇,倒了幾桶水
[00:05:28.000 --> 00:05:38.000]  他一祈禱,火從天降臨,燒了整個祭壇,證明誰是真神,耶和華是真神,於是仙子跟他說
