
[00:00:00.000 --> 00:00:07.500]  各位主席,剛才跟我們讀了第一第二節,特別是第二節的前面要說,接著你們怎樣說呢?
[00:00:07.500 --> 00:00:09.500]  是什麼來的?
[00:00:09.500 --> 00:00:12.500]  好叻,主土文。
[00:00:12.500 --> 00:00:14.500]  第一句是什麼呢?
[00:00:14.500 --> 00:00:19.500]  我門在天上的符,不過這段是在《馬太福音》的。
[00:00:19.500 --> 00:00:23.500]  這段路加封不是這樣說,符啊,願人都尊你的名為姓。
[00:00:23.500 --> 00:00:26.500]  不過不要緊,今天我就不是說主土文。
[00:00:27.000 --> 00:00:30.500]  我準備未來的崇拜裡面會說主土文。
[00:00:30.500 --> 00:00:37.500]  希望每一句跟大家去分享,能夠幫助大家更認識土告。
[00:00:37.500 --> 00:00:46.500]  剛才在這份書裡面記載耶穌曾經有兩次教導土告。
[00:00:46.500 --> 00:00:53.500]  第一次就是剛才我說的《馬太福音》登山寶訓,第六章九到十三節的主土文。
[00:00:53.500 --> 00:00:55.500]  我們都很熟悉的。
[00:00:56.000 --> 00:00:58.500]  這是大概耶穌傳到頭一年裡面。
[00:00:58.500 --> 00:01:04.500]  而這次是耶穌應門徒所求,教我土告。
[00:01:04.500 --> 00:01:06.500]  於是耶穌就教他們土告。
[00:01:06.500 --> 00:01:11.500]  當然這兩段經文都是類似的,都是主土文的內容。
[00:01:11.500 --> 00:01:16.500]  所以今天我跟大家說的題目是《祈禱》,其實很簡單。
[00:01:16.500 --> 00:01:20.500]  我們分開三方面,祈禱是很簡單。
[00:01:20.500 --> 00:01:23.500]  第二方面,天父是聽土告。
[00:01:24.000 --> 00:01:28.500]  第三方面,記得講衙門。
[00:01:28.500 --> 00:01:33.500]  祈禱這麼簡單,當然我們希望大家都能夠土告。
[00:01:33.500 --> 00:01:36.500]  很簡單的事情。
[00:01:36.500 --> 00:01:40.500]  首先耶穌在一個地方去土告。
[00:01:40.500 --> 00:01:46.500]  在第一節講,土告完了,門徒就問。
[00:01:46.500 --> 00:01:52.500]  其實在《路加封》裡面,記載耶穌,有關耶穌的土告。
[00:01:53.000 --> 00:01:56.500]  有些內容或者片段實在是很多。
[00:01:56.500 --> 00:01:59.500]  無論是獨自土告,無論是祂個人的退休,
[00:01:59.500 --> 00:02:03.500]  敬拜的生活,或者是公開的土告,
[00:02:03.500 --> 00:02:06.500]  或者祝福,超過三十多次。
[00:02:06.500 --> 00:02:11.500]  在這個段落裡面講到耶穌的土告。
[00:02:11.500 --> 00:02:16.500]  所以門徒應該對耶穌的土告是不陌生的。
[00:02:17.000 --> 00:02:25.500]  但是為什麼門徒看了耶穌的圈套之後竟然問,主啊,教我們土告吧。
[00:02:25.500 --> 00:02:29.500]  好像施浸若汗教他的門徒一樣。
[00:02:29.500 --> 00:02:34.500]  我就想,是不是門徒不懂得土告呢?
[00:02:34.500 --> 00:02:36.500]  跟了耶穌幾年了。
[00:02:36.500 --> 00:02:43.500]  這裡其實已經是耶穌最後半年的時間出來傳道。
[00:02:44.000 --> 00:02:48.500]  祈禱應該可以偷屍的,以前我也是偷屍的。
[00:02:48.500 --> 00:02:52.500]  特別是有些很特別的祈禱情況。
[00:02:52.500 --> 00:02:55.500]  其實我最怕是什麼情況,大家知道嗎?
[00:02:55.500 --> 00:03:00.500]  是安息禮的祈禱,最怕講錯人名。
[00:03:00.500 --> 00:03:08.500]  又怕有些不太得體,很小心的說話。
[00:03:08.500 --> 00:03:11.500]  我偷屍,偷了廖志勤牧師。
[00:03:12.000 --> 00:03:16.500]  跟了他多了,也偷了很多,學了很多。
[00:03:16.500 --> 00:03:22.500]  看到土告也懂得怎樣去祈禱,起碼在那個情況裡面。
[00:03:22.500 --> 00:03:28.500]  門徒也應該偷屍的,為什麼要教他祈禱呢?
[00:03:28.500 --> 00:03:36.500]  當然,門徒說,好像施浸若汗教他的門徒一樣。
[00:03:37.000 --> 00:03:43.500]  可能似乎他是看到一套祈禱的方法,
[00:03:43.500 --> 00:03:53.500]  或者是一種祈禱的用語,或者是一種祈禱的表達的過程,流程。
[00:03:53.500 --> 00:03:58.500]  說到方法,理論,技巧就很複雜了。
[00:03:58.500 --> 00:04:05.500]  因為這樣看來會比較專業一點,所以看來有水準一點。
[00:04:06.000 --> 00:04:11.500]  這個門徒也覺得,我在學一套的圖告,能夠有板有眼,
[00:04:11.500 --> 00:04:16.500]  即是有一技旁身,你出來傳道,去跟別人祈禱,
[00:04:16.500 --> 00:04:21.500]  也令到別人覺得很有水準,很有專業。
[00:04:21.500 --> 00:04:27.500]  今天社會上很需要專業的,才能夠高言一等。
[00:04:27.500 --> 00:04:34.500]  因為有一個專業的銜頭,譬如有專業的律師,專業的攝影師,
