
[00:00:00.000 --> 00:00:04.000]  今天我們就跳到約翰福音第九章
[00:00:04.000 --> 00:00:10.000]  這是標誌第三大段的第二個神蹟
[00:00:10.000 --> 00:00:12.500]  希望大家還記得我說過
[00:00:12.500 --> 00:00:16.500]  約翰福音裡面是用兩個神蹟做一組的
[00:00:16.500 --> 00:00:18.500]  中間夾著真理
[00:00:18.500 --> 00:00:21.500]  形成一個漢堡包的結構
[00:00:21.500 --> 00:00:25.500]  這個神蹟是耶穌洗一個
[00:00:25.500 --> 00:00:29.000]  一生出來就失明的人
[00:00:29.000 --> 00:00:31.000]  一個盲人得到醫治
[00:00:31.000 --> 00:00:38.000]  是和第六章十六節到二十一節的神蹟
[00:00:38.000 --> 00:00:42.000]  是形成一對並且是有關係的
[00:00:42.000 --> 00:00:45.000]  在六章十六節到二十一節
[00:00:45.000 --> 00:00:49.000]  是耶穌在水上行走
[00:00:49.000 --> 00:00:53.000]  耶穌是去到門徒那隻船
[00:00:53.000 --> 00:00:58.000]  然後他們就馬上去到目的地
[00:00:58.000 --> 00:01:04.000]  今天這個神蹟是開了盲人的眼
[00:01:04.000 --> 00:01:07.000]  他們的共同點在哪裡呢?
[00:01:07.000 --> 00:01:11.000]  就是這兩個神蹟的受助者
[00:01:11.000 --> 00:01:13.000]  接受幫助的人
[00:01:13.000 --> 00:01:18.000]  都是在黑暗中掙扎的人
[00:01:18.000 --> 00:01:22.000]  人生在世
[00:01:22.000 --> 00:01:27.000]  很多時候都會遇到突如其來的風浪
[00:01:27.000 --> 00:01:34.000]  以六章十六節到二十一節記載中的門徒來做個例子
[00:01:34.000 --> 00:01:39.000]  他們本來都是職業漁夫
[00:01:39.000 --> 00:01:44.000]  時時在加利利湖行船
[00:01:44.000 --> 00:01:47.000]  風浪都見過不少
[00:01:47.000 --> 00:01:51.000]  但這一次的風浪是非常大
[00:01:51.000 --> 00:01:58.000]  聖經形容是狂風大作,路途翻騰
[00:01:58.000 --> 00:02:05.000]  他們要拼命,拼命和風浪搏鬥都無濟於事
[00:02:05.000 --> 00:02:08.000]  但耶穌就在這個時候
[00:02:08.000 --> 00:02:11.000]  在水面上走過去,上了他們的船
[00:02:11.000 --> 00:02:14.000]  他們突然間就去到目的地
[00:02:14.000 --> 00:02:17.000]  解決了他們的困難
[00:02:17.000 --> 00:02:21.000]  很多基督徒信主之後
[00:02:21.000 --> 00:02:24.000]  都一樣會遇到困難
[00:02:24.000 --> 00:02:29.000]  但亦都會經歷到耶穌的幫助
[00:02:29.000 --> 00:02:32.000]  而加深了他們的信心
[00:02:32.000 --> 00:02:37.000]  倚靠上帝並不是一件可恥的行為
[00:02:37.000 --> 00:02:40.000]  很多時候不信耶穌的人
[00:02:40.000 --> 00:02:44.000]  會有一種人定聖天的想法
[00:02:44.000 --> 00:02:48.000]  認為信耶穌、靠耶穌
