
[00:00:00.000 --> 00:00:10.160]  每年近年底 美國時代雜誌都會選出那個年度的風雲人物
[00:00:10.160 --> 00:00:12.160]  The Man of the Year
[00:00:12.160 --> 00:00:15.440]  這些風雲人物通常都有一些特質
[00:00:15.440 --> 00:00:20.360]  他們可能是有頭有臉 有影響力
[00:00:20.360 --> 00:00:24.760]  又或者在那一年有些特殊的貢獻
[00:00:24.760 --> 00:00:29.760]  如果你納一納第十六章全章的聖經
[00:00:29.760 --> 00:00:33.280]  你必然會發現這章裏面
[00:00:33.280 --> 00:00:39.080]  保羅是由第一至第二十四節
[00:00:39.080 --> 00:00:43.760]  除了中間夾著的十七至二十節
[00:00:43.760 --> 00:00:46.760]  提醒我們要防備
[00:00:46.760 --> 00:00:50.080]  有些人可能叫我們跌倒之外
[00:00:50.080 --> 00:00:56.480]  幾乎每一節他都在問候一些不同的人
[00:00:56.480 --> 00:00:59.440]  保羅提名問候這麼多人
[00:00:59.440 --> 00:01:04.960]  似乎每一個都是他心裏面的風雲人物
[00:01:04.960 --> 00:01:07.440]  名單這麼長
[00:01:07.440 --> 00:01:11.760]  是這麼多保羅書信裏面讀有的
[00:01:11.760 --> 00:01:15.040]  你不會再在其他的書卷裏面
[00:01:15.040 --> 00:01:20.560]  找到保羅問候這麼多的人物
[00:01:20.560 --> 00:01:26.520]  那些名字可能你讀到頭暈了
[00:01:26.520 --> 00:01:31.080]  所以我們總是有一個小的試探
[00:01:31.080 --> 00:01:33.400]  就是快點讀完,快點讀完
[00:01:33.400 --> 00:01:35.520]  真的搞定了,讀完了
[00:01:35.520 --> 00:01:39.160]  但是其實在最後四世紀
[00:01:39.160 --> 00:01:43.720]  君士坦丁堡的大主教約翰一世
[00:01:43.720 --> 00:01:47.560]  他曾經這樣提醒我們
[00:01:47.560 --> 00:01:53.080]  他說有很多人都會匆匆略過這本書的部分
[00:01:53.080 --> 00:01:55.280]  認為它無關重要
[00:01:55.280 --> 00:01:59.520]  但是就像一個金匠,一個打金的人
[00:01:59.520 --> 00:02:03.720]  他必然會連最微細的金舌
[00:02:03.720 --> 00:02:06.960]  都很小心翼翼地處理
[00:02:06.960 --> 00:02:12.160]  所以即使這些名單好像是不加修飾
[00:02:12.160 --> 00:02:16.000]  但是當我們仔細看的時候
[00:02:16.000 --> 00:02:20.200]  我們會在裏面找到極大的寶藏
[00:02:20.200 --> 00:02:22.480]  另一個二十世紀的神學家
[00:02:22.480 --> 00:02:24.560]  卜人納伊繆·布魯納
[00:02:24.560 --> 00:02:30.640]  他更加提到羅馬書第十六章這一段聖經
[00:02:30.640 --> 00:02:36.480]  他稱之為新約最具啟發性的幾章經文之一
[00:02:36.480 --> 00:02:40.240]  很厲害吧?提升到這個層次
[00:02:40.240 --> 00:02:44.000]  因為他鼓勵了我們在教會裏
[00:02:44.000 --> 00:02:50.160]  怎樣學習人與人之間相愛的關係
[00:02:50.160 --> 00:02:54.440]  由於我沒有辦法在今天短短的時間
[00:02:54.440 --> 00:02:58.920]  講完這章聖經裏面所提及的每一個人
