
[00:00:00.000 --> 00:00:04.680]  好,今天我們就去到這個新的講題
[00:00:04.680 --> 00:00:06.680]  就是約書亞記第一章
[00:00:06.680 --> 00:00:10.680]  講題叫做「重新出發」
[00:00:10.680 --> 00:00:13.680]  當然「重新出發」也包含兩個含義
[00:00:13.680 --> 00:00:16.080]  「重新」就是有舊的
[00:00:16.080 --> 00:00:18.880]  有些東西是不行的,或者要改變的
[00:00:18.880 --> 00:00:22.080]  「出發」是停了再次走前
[00:00:22.080 --> 00:00:23.680]  停了再次走前
[00:00:23.680 --> 00:00:26.080]  就好像有時候我們病了
[00:00:26.080 --> 00:00:28.080]  有些是大一點的病
[00:00:28.080 --> 00:00:30.080]  停了長時間
[00:00:30.080 --> 00:00:32.680]  再次重整再次出發
[00:00:32.680 --> 00:00:34.680]  又或者有些意外
[00:00:34.680 --> 00:00:39.480]  運動員我們停了要重新的裝備訓練
[00:00:39.480 --> 00:00:42.280]  又或者我們上班轉工
[00:00:42.280 --> 00:00:44.880]  轉感覺、轉行業
[00:00:44.880 --> 00:00:48.680]  更加要停久一點去整合
[00:00:48.680 --> 00:00:51.880]  又或者我們有時候在醫院或者探病
[00:00:51.880 --> 00:00:53.880]  同弟兄姊妹或者朋友都是
[00:00:53.880 --> 00:00:55.680]  特別有些長一點的病
[00:00:55.680 --> 00:00:59.280]  她發現可能她病之前有些人生
[00:00:59.280 --> 00:01:02.280]  或者有些時間表、工作內容
[00:01:02.280 --> 00:01:04.280]  是不再吻合了、不再符合了
[00:01:04.280 --> 00:01:06.680]  不對了,要再重整改變
[00:01:06.680 --> 00:01:09.480]  所以在那個停留的時間不是沒用的
[00:01:09.480 --> 00:01:13.080]  重整是再次更新、再次思想
[00:01:13.080 --> 00:01:15.080]  人生之後可以怎樣走
[00:01:15.080 --> 00:01:17.080]  約書亞記也是
[00:01:17.080 --> 00:01:19.080]  它是一個重整之後
[00:01:19.080 --> 00:01:22.080]  一個長時間的停頓
[00:01:22.080 --> 00:01:24.080]  再次起步
[00:01:24.080 --> 00:01:26.080]  如果大家一直在
[00:01:26.080 --> 00:01:28.080]  我們藉堂這間教會
[00:01:28.080 --> 00:01:30.080]  2014年開始
[00:01:30.080 --> 00:01:31.280]  都在的話
[00:01:31.280 --> 00:01:33.280]  你就知道我們不斷
[00:01:33.280 --> 00:01:35.280]  一張一張這樣說
[00:01:35.280 --> 00:01:36.280]  一卷一卷書
[00:01:36.280 --> 00:01:38.680]  在舊約我們說了創世記
[00:01:38.680 --> 00:01:40.680]  說了春埃及記
[00:01:40.680 --> 00:01:42.680]  說了文素記
[00:01:42.680 --> 00:01:43.680]  說了新明記
[00:01:43.680 --> 00:01:46.080]  在新約我們說了馬太福音
[00:01:46.080 --> 00:01:47.480]  說了約翰福音
[00:01:47.480 --> 00:01:49.280]  說了士徒行傳
[00:01:49.280 --> 00:01:51.280]  哥林多前書後書
[00:01:51.280 --> 00:01:55.080]  所以今天我們剛剛完了新約回到舊約
[00:01:55.080 --> 00:01:58.080]  我們從上次完了新明記
[00:01:58.080 --> 00:02:00.880]  都兩三年前了
[00:02:00.880 --> 00:02:02.880]  我們回到舊約
[00:02:02.880 --> 00:02:05.880]  就到約書亞記
[00:02:05.880 --> 00:02:09.080]  當然我們有一點重溫背景
[00:02:09.080 --> 00:02:12.280]  你就更加明白約書亞記進入的時候
[00:02:12.280 --> 00:02:14.280]  它在面對什麼狀態
[00:02:14.280 --> 00:02:15.880]  它的心情又是怎樣
[00:02:15.880 --> 00:02:17.880]  在約書亞記之前
[00:02:17.880 --> 00:02:21.880]  是一個非常有名的摩西幾多經
[00:02:21.880 --> 00:02:23.880]  摩西五經
[00:02:23.880 --> 00:02:24.880]  摩西五經
[00:02:24.880 --> 00:02:27.880]  我和教友說摩西是五經
[00:02:27.880 --> 00:02:29.880]  大家都呆滯
[00:02:29.880 --> 00:02:30.880]  摩西五經
[00:02:30.880 --> 00:02:31.880]  從創世記開始
[00:02:31.880 --> 00:02:33.880]  如果大家熟悉聖經
[00:02:33.880 --> 00:02:37.880]  知道創世記是在說上帝創造天地
[00:02:37.880 --> 00:02:41.880]  而且當人犯罪沉淪之後
[00:02:41.880 --> 00:02:43.880]  上帝再揀選阿伯拉罕
[00:02:43.880 --> 00:02:45.880]  成為他的選民
[00:02:45.880 --> 00:02:49.880]  藉著他祝福萬國萬民萬族
[00:02:49.880 --> 00:02:52.880]  而在創世記的結尾
[00:02:52.880 --> 00:02:55.880]  說到雅各的兒子約什麼
[00:02:55.880 --> 00:02:57.880]  約什麼
[00:02:57.880 --> 00:02:59.880]  約瑟
[00:02:59.880 --> 00:03:00.880]  或者什麼瑟
[00:03:00.880 --> 00:03:02.880]  約瑟
[00:03:02.880 --> 00:03:04.880]  說下去
[00:03:04.880 --> 00:03:07.880]  當時去了埃及做了宰相
[00:03:07.880 --> 00:03:11.880]  幫了當時一個很大的危機
[00:03:11.880 --> 00:03:12.880]  就是一個饑荒
[00:03:12.880 --> 00:03:13.880]  幫了他
[00:03:13.880 --> 00:03:15.880]  所以當時因為饑荒
[00:03:15.880 --> 00:03:16.880]  幫了他之後
[00:03:16.880 --> 00:03:20.880]  雅各的後代就住在埃及
[00:03:20.880 --> 00:03:22.880]  這個就是創世記的結尾
[00:03:22.880 --> 00:03:24.880]  為什麼又要在埃及
[00:03:24.880 --> 00:03:26.880]  又要出埃及走呢
[00:03:26.880 --> 00:03:28.880]  因為當時幾百年之後
[00:03:28.880 --> 00:03:29.880]  人家忘記了
[00:03:29.880 --> 00:03:32.880]  埃及忘記了約瑟的貢獻
