
[00:00:00.000 --> 00:00:03.000]  不知道大家有多少個喜歡回祖堂的呢?
[00:00:03.000 --> 00:00:04.200]  可不可以舉一舉手?
[00:00:04.200 --> 00:00:08.200]  你很喜歡回早上的,可不可以舉一舉手?
[00:00:08.200 --> 00:00:12.200]  看起來又不是真的很多而已
[00:00:12.200 --> 00:00:15.200]  我再給你一次機會舉一個
[00:00:15.200 --> 00:00:18.200]  很想回祖堂的,早上的
[00:00:18.200 --> 00:00:20.800]  從這個舉手裏面可以放下
[00:00:20.800 --> 00:00:23.800]  從這個舉手裏面我目測了,目測了
[00:00:23.800 --> 00:00:28.400]  年輕的一代是比較少舉手的
[00:00:28.400 --> 00:00:32.400]  其實也明白的,因爲要這麼早起牀
[00:00:32.400 --> 00:00:35.000]  11點要到場的話,你要幾點起牀?
[00:00:35.000 --> 00:00:37.000]  沒理由10點多吧
[00:00:37.000 --> 00:00:41.000]  我猜你應該也要10點吧,10點起牀
[00:00:41.000 --> 00:00:44.800]  有些住得更遠的可能要9點多起牀
[00:00:44.800 --> 00:00:48.800]  其實已經遲過上學了,坦白說
[00:00:48.800 --> 00:00:51.400]  Anyway,我也希望大家來享受一下
[00:00:51.400 --> 00:00:54.400]  我們這麼難得的早上崇拜
[00:00:54.400 --> 00:00:58.200]  其實我不知道大家有沒有去過河呢?
[00:00:58.200 --> 00:01:00.200]  過河你會怎麼過呢?
[00:01:00.200 --> 00:01:04.200]  有些人過河可能是走過去
[00:01:04.200 --> 00:01:06.200]  但是走過去的問題
[00:01:06.200 --> 00:01:09.200]  走路過河,你不知道河有多深
[00:01:09.200 --> 00:01:12.200]  分分鐘踩下去走多兩步已經很深了
[00:01:12.200 --> 00:01:16.200]  因爲河未必會將深度告訴你
[00:01:16.200 --> 00:01:19.200]  還有,有些人說不如把石頭扔下去
[00:01:19.200 --> 00:01:21.200]  用石頭跨過去
[00:01:21.200 --> 00:01:23.200]  可以,不是不可以
[00:01:23.200 --> 00:01:26.200]  問題是你也不知道河有多深
[00:01:26.200 --> 00:01:30.200]  石頭掉下去,分分鐘是沉大河的
[00:01:30.200 --> 00:01:34.200]  那你要多少塊石頭才能一個個跳過去呢?
[00:01:34.200 --> 00:01:37.200]  有些人就說,不如坐船過去就行
[00:01:37.200 --> 00:01:39.200]  划艇過去也行
[00:01:39.200 --> 00:01:41.200]  大家都見到那些難民
[00:01:41.200 --> 00:01:43.200]  他們都是坐那些小艇
[00:01:43.200 --> 00:01:46.200]  幾十人一起過來的
[00:01:46.200 --> 00:01:48.200]  不是不行,是可以的
[00:01:48.200 --> 00:01:51.200]  但是要搬到那麼多艇纔行
[00:01:51.200 --> 00:01:53.200]  還要你知不知道當時以色列人
[00:01:53.200 --> 00:01:56.200]  過約旦河的時候有多少人
[00:01:56.200 --> 00:01:59.200]  分分鐘跨了一百萬人以上
[00:01:59.200 --> 00:02:01.200]  要幾隻大飛纔行
[00:02:01.200 --> 00:02:06.200]  根本是不可能用船可以帶他們過去
[00:02:06.200 --> 00:02:08.200]  河是怎樣過的呢?
[00:02:08.200 --> 00:02:09.200]  你想象不到
[00:02:09.200 --> 00:02:11.200]  原來經文告訴我們
[00:02:11.200 --> 00:02:16.200]  是祭司抬着那些約會先走
[00:02:16.200 --> 00:02:18.200]  然後地就幹了
[00:02:18.200 --> 00:02:20.200]  然後人們就跟着過河
[00:02:20.200 --> 00:02:23.200]  人們想到河是怎樣過的
[00:02:23.200 --> 00:02:25.200]  所以你千萬不要過河的時候
[00:02:25.200 --> 00:02:27.200]  就叫Benny拿着一本聖經
[00:02:27.200 --> 00:02:30.200]  然後叫Benny先走
[00:02:30.200 --> 00:02:33.200]  我告訴你,是不可行的
[00:02:33.200 --> 00:02:37.200]  歷史裏面這樣過河的方法只有一次
[00:02:37.200 --> 00:02:39.200]  沒得翻炒了
[00:02:39.200 --> 00:02:41.200]  只有那次是這樣
[00:02:41.200 --> 00:02:44.200]  河不是這樣過的
[00:02:44.200 --> 00:02:48.200]  約書亞記從第一章到第七章
